,File Number,Explicit Connective1,Explicit Connective2,Arg1 Complete,Arg2 Complete,Exp Sense1,Exp Sense2
31,wsj_0284,and,because,Mrs. Marcos had claimed that she didn't have to turn over the documents because she was brought here involuntarily,providing the materials would violate her marital privilege.,Expansion.Conjunction,Contingency.Cause.Reason
32,wsj_0286,but,when,One group of middle-aged manufacturing men from the company's Zama plant outside Tokyo was supposed to check out a trendy restaurant in the city.,"they arrived at the door, all were afraid to go in, fearing that they would be out of place.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
33,wsj_0296,and,if,"In such an arrangement, ""all benefit,"" he said. ""","the Europeans come in, they benefit too.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
34,wsj_0296,and,yet,I really do not understand how it is that Filipinos feel so passionately involved in this father figure that they want to dispose of,they need.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
35,wsj_0296,and,when,To get the Khmer Rouge as part of a process for elections.,"they lose, then we can expect China to stop aid.",Expansion.Conjunction,Temporal.Synchronous
36,wsj_0305,yet,although,"Over the next 20 years, California Plant Protection opened 125 offices around the country.",California Plant Protection was netting bigger and bigger clients -- the firm provided security for the 1984 Summer Olympics in Los Angeles -- it still didn't have the name recognition of Pinkerton's.,Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
37,wsj_0309,but,even if,A group of 27 Senators has written Mr. Kemp urging him to reject Cranston-Mitchell and focus on programs that empower the poor rather than create vast new government obligations.,"he agrees, Mr. Kemp doesn't write the nation's housing law -- Congress does.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
38,wsj_0326,but,even before,"The campaign, a patriotic celebration of the 200th anniversary of the Bill of Rights, doesn't mention cigarettes or smoking; cigarette ads have been prohibited on television since 1971.","it begins, the campaign is drawing fire from anti-smoking advocates, who criticize Philip Morris's attempt to bolster its beleaguered image by wrapping itself in the document that is a cornerstone of American democracy.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
39,wsj_0328,and,while,"A string of costly projects, including the high-speed national aerospace plane and the advanced communications technology satellite, would continue to be developed within these limits.","imposing a statutory cap of $1.6 billion on future spending, the bill would give NASA $30 million for the start-up of the CRAF-Cassini mission, a successor to the Voyager space probe.",Expansion.Conjunction,Temporal.Synchronous
40,wsj_0328,and,while,"Separately, the National Science Foundation is promised a 7.7% increase to bring its appropriations to $2.07 billion.","pursuing these initiatives, Congress and the White House are squeezed too by steady increases -- $551 million -- in veteran's medical care.",Expansion.Conjunction,Temporal.Synchronous
41,wsj_0336,and,while,"He isn't convinced, though, that the price decline reflects falling demand because the world economy remains relatively strong.","customers such as steel service centers are continuing to reduce inventories through the fourth quarter, they eventually will begin stocking up again, he notes.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
42,wsj_0409,but,rather than,She's trying to sell a $150 exercise bike she bought about five years ago for her roommate.,"write off home fitness equipment, she traded up: Ms. Igdaloff just paid about $900 for a fancier stationary bike, with a timer, dials showing average and maximum speeds and a comfortable seat that feels almost like a chair.",Comparison.Concession.Arg2-as-denier,Expansion.Substitution.Arg1-as-subst
43,wsj_0409,and,by,"It's an activity she feels she can do for life,","pulling a golf cart, she still gets a good workout.",Expansion.Conjunction,Contingency.Cause.Reason
44,wsj_0415,but,after,"The favorite remains Fernando Collor de Mello, a 40-year-old former governor of the state of Alagoas. He came out of nowhere to grab the lead in opinion polls, probably less because of his vague program to ""build a new Brazil"" than because of his good looks, the open backing of the powerful Rede Globo television network and his reputation as a hunter of ""maharajahs,"" or overpaid and underworked civil servants.","building up a commanding lead, the moderate to conservative Mr. Collor has slipped to about 30% in the polls from a high of about 43% only a few weeks ago.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
45,wsj_0422,but,if,"Net sales of stock funds in September totaled $839.4 million, down from $1.1 billion in August, the institute said.","reinvested dividends are excluded, investors put in only $340 million more than they pulled out for the month.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
46,wsj_0426,but,if,"Mr. Kennedy failed to get his amendment incorporated into last year's anti-drug legislation, and it will be severely attacked on the Senate floor this time around.","it survives, it could prompt other statutory changes, according to the Mr. Burr.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
47,wsj_0437,but,as,"Recently, Japan has been buying copper elsewhere.","Highland Valley and Cananea begin operating, they are expected to resume their roles as Japan's suppliers.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
48,wsj_0445,and,because,"Though no formal trade barriers exist, the Japanese computer industry is difficult for outsiders to enter. ""If it were an open market, we would have been in in 1983 or 1984,"" says Eckhard Pfeiffer, who heads Compaq Computer Corp. 's European and international operations. His company, without any major effort, sells more machines in China than in Japan. Although it has opened a New Zealand subsidiary, it is still only ""studying"" Japan, the only nation that hasn't adopted IBM-oriented specifications.","general retail centers such as ComputerLand have little presence in Japan, sales remain in the iron grip of established computer makers.",Expansion.Conjunction,Contingency.Cause.Reason
49,wsj_0453,and,by,"While the campaign was Mr. Gibbons's idea, however, he won't be paying for it: The donations will come out of the chain's national advertising fund, which is financed by the franchisees.","basing donations on BK Doubles, a new double-hamburger line the fast-food chain is trying to push, Burger King works a sales pitch into its public-service message.",Expansion.Conjunction,Expansion.Manner.Arg2-as-manner
50,wsj_0465,but,if,"When functioning normally, they make proteins that hold a cell's growth in check.","the genes are damaged -- perhaps by radiation, a chemical or through a chance accident in cell division -- their growth-suppressing proteins no longer work, and cells normally under control turn malignant.",Comparison.Contrast,Contingency.Condition.Arg2-as-cond
51,wsj_0469,but,when,"The woman appeared in court Thursday to enter her plea,","she started to approach the bench, she was stopped by Judge Hancock.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
52,wsj_0504,and,with,"Value Line added, ""With discounts widening on business papers,","newsprint and corrugated shipments flat, we expect negative earnings comparisons through next year.""",Expansion.Conjunction,Contingency.Cause.Reason
53,wsj_0515,and,with,"They only know of one use for the crop, as a laxative,","psyllium prices currently languishing in the wake of a bumper crop, they think of the seed as a marginal crop, something to grow between summer wheat crops.",Expansion.Conjunction,Contingency.Cause.Reason
54,wsj_0524,but,with,It may experience an upswing or two in between.,"local investors shaken by China's political and economic turmoil, she says, a genuine recovery may not arrive until Hong Kong can prove itself secure under Chinese sovereignty.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
55,wsj_0524,but,if,The market has grown relatively quiet since the China crisis.,"the Japanese return in force, their financial might could compensate to some extent for local investors' waning commitment.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
56,wsj_0525,and,while,The 190-point plunge in the stock market Oct. 13 has heightened concerns about volatility.,"signs of an economic slowdown, softer corporate earnings and troubles with takeover financing all have contributed to the stock market's recent weakness, many investors rushed to blame program trading for aggravating market swings.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
57,wsj_0530,but,with,"Since its founding in 1818, Brooks Brothers, the standard-bearer of the Ivy League look, has eschewed flashy sales promotions and fashion trends -- the rules that most retailers live by.","sales growth sluggish and other men's stores putting on the heat, the venerable retailer can no longer afford such a smug attitude.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
58,wsj_0553,and,instead of,"In the end, neither policy was followed,",learning anything we are left with a mystery.,Expansion.Conjunction,Expansion.Substitution.Arg1-as-subst
59,wsj_0554,and,while,"Under his watch, office politicking was often rampant in the agency's New York operation and the office there has had a dismal new-business record for more than a year.","last week the agency hired a top Chiat/Day/Mojo executive, Bill Hamilton, to try to bolster its work, ""Graham has to get the revenue of that New York office moving,"" says James Dougherty, an analyst with County NatWest Securities.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
60,wsj_0558,but,because,The insurer has started processing claims from the Northern California earthquake nearly two weeks ago.,"these claims are more difficult to evaluate and have been coming in more slowly, the company has no estimate of the impact of the earthquake on fourth-quarter results.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
61,wsj_0562,but,instead of,"""We needed contributions from all these departments to generate the proposal,"" says Carl Anton, configuration-data manager for Grumman's A-6 combat aircraft program. ""","gathering their input piecemeal, we formed the team, which reached consensus on the proposal objectives and produced a statement of work to guide all the functions that were involved.""",Expansion.Conjunction,Expansion.Substitution.Arg1-as-subst
62,wsj_0583,and,while,"He said Polly Peck will greatly expand Sansui's product line, using Sansui's engineers to design the new products, and will move Sansui's production of most products other than sophisticated audio gear offshore into Polly Peck's own factories.   ""Whatever capital it (Sansui) needs so it can compete and become a totally global entity capable of competing with the best in the world, that capital will be injected,"" Mr. Nadir said.","Polly Peck isn't jettisoning the existent top-management structure of Sansui, it is bringing in a former Toshiba Corp. executive as executive vice president and chief operating officer.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
63,wsj_0589,and,since,"Cosmetics companies roll out new makeup colors several times a year,","most products can be easily copied by competitors, they're loath to test them with consumers.",Expansion.Conjunction,Contingency.Cause.Reason
64,wsj_0590,but,if,"At the same time, some congressional liberals will accuse Sens. Boren and Cohen of wimping out, and they will warn that the lawmakers' concessions raise the specter of more internationally embarrassing covert operations like the mining of Nicaraguan harbors and the Iran arms sales.","the cooperative attitude holds and there is greater consultation on covert activities, the country could be entering an era when such hare-brained schemes are scrapped before they get off the drawing boards, while risky but well-planned secret operations can be undertaken without fear that a panicky Congress will balk.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
65,wsj_0598,and,when,"After thoroughly digesting reams of information, he often concludes that more data are needed,","he finally decides to act, his movements sometimes seem excrutiatingly small.",Expansion.Conjunction,Temporal.Synchronous
66,wsj_0598,but,if,"Inflation may be stable at the moment, running at about 4.5%.","the Fed eases too soon, Mr. Greenspan fears, prices may begin to accelerate again next year.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
67,wsj_0609,and,before,"They base their argument on a clause buried in Article I, Section 7, of the Constitution that states: ""Every order, resolution, or vote to which the concurrence of the Senate and House of Representatives may be necessary (except on a question of adjournment) shall be presented to the President of the United States;","the same shall take effect, shall be approved by him or . . . disapproved by him. . . .""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
68,wsj_0609,and,before,"""Every order, resolution, or vote to which the concurrence of the Senate and House of Representatives may be necessary (except on a question of adjournment) shall be presented to the President of the United States;","the same shall take effect, shall be approved by him, or being disapproved by him, shall be repassed by two-thirds of the Senate and House of Representatives, according to the rules and limitations prescribed in the case of a bill.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
69,wsj_0610,and,as,"""As we regain our leadership level where we have been,","we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.",Expansion.Conjunction,Temporal.Synchronous
70,wsj_0629,and,even when,"Unlike other companies, it hasn't pin-pointed specific projects for the funds.","specific projects are described in prospectuses, the money often is used elsewhere, according to analysts.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
71,wsj_0671,but,while,"Individuals eager for tax-free income drove up bond prices, making state and local government debt one of the best-performing types of fixed-income investments during the period.","analysts say that municipal bonds still offer good value, you wouldn't know it by the way institutional investors are rushing to dump their holdings.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
72,wsj_0681,but,because,"He forecasts that the emphasis in mergers and acquisitions may soon return to what he calls ""strategic deals, in which somebody is taking over a company not to milk the cash flow,","it's a good fit.""",Comparison.Contrast,Contingency.Cause.Reason
73,wsj_0681,and,with,Third-quarter earnings have been generally disappointing,"economic data showing a clear slowing, the outlook for earnings in the fourth quarter and all of 1990 is getting worse.",Expansion.Conjunction,Contingency.Cause.Reason
74,wsj_0686,and,as,"Appropriations committees have used an assortment of devices to disguise as much as $1 billion in spending,","critics have awakened to these devices, the bill can seem like a wounded caribou trying to make it past ice and wolves to reach safer winter grazing.",Expansion.Conjunction,Temporal.Asynchronous.Succession
75,wsj_0687,and,when,"Farmers in the Midwest and other areas have suffered, but those along the Mississippi continue to prosper with holdings that were built with the sweat of men and women living in economic slavery.","they were no longer needed, they were turned loose unprepared to build lives of their own.",Expansion.Conjunction,Temporal.Asynchronous.Succession
76,wsj_0687,and,now that,"For years, we tried to ignore the problem of poverty,",it has gotten out of hand it's a new crusade for the media and our Democratic Congress.,Expansion.Conjunction,Contingency.Cause.Reason
77,wsj_0687,but,when,"Nobody should have to live in such poor conditions as in ""Sugar Ditch,""","you travel to Washington, Boston, Chicago or New York, the same problems exist.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
78,wsj_0693,but,once,The rise came as traders continued to dump the pound after the sudden resignation Thursday of British Chancellor of the Exchequer Nigel Lawson.,"the pound steadied with help from purchases by the Bank of England and the Federal Reserve Bank of New York, the dollar was dragged down, traders say, by the stock-market slump that left the Dow Jones Industrial Average with a loss of 17.01 points.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
79,wsj_0742,and,although,"Many investment managers say futures are useful as a way to hedge portfolios. If managers fear that the overall stock market will fall, but want to continue owning stocks, they can hold on to specific stocks and sell a corresponding amount of futures contracts.","criticism of futures generally comes from Wall Street, one Chicago futures trader notes that brokerage firms rely on futures as hedging tools when they buy and sell big blocks of stocks from institutions.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
80,wsj_0758,and,when,"His hero signed photographs of the homer and diplomatically called Ralph Branca ""a very fine pitcher.""","Mr. Engelken asked him why he took time off from work for somebody he didn't even know, Bobby Thomson replied: ""You know, Albert, if you have the chance in life to make somebody this happy, you have an obligation to do it.""",Expansion.Conjunction,Temporal.Asynchronous.Succession
81,wsj_0758,but,when,"In response to the letters, Mr. Thomson usually sends an autographed photo with a polite note, and rarely arranges a rendezvous.","Betsy Engelken wrote him, saying she could stop near his New Jersey home, it seemed different.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
82,wsj_0765,but,when,"Steven Spinola, president of the Real Estate Board of New York, an industry organization, says Mr. Dinkins's ""economic development program is shortsighted,","it comes down to it, he can be reasonable.""",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
83,wsj_0765,but,as,"The key man seems to be the campaign manager, Mr. Lynch. A disheveled, roly-poly son of a Long Island potato farmer, Mr. Lynch is a veteran union organizer who worked on the presidential campaigns of Sen. Edward Kennedy and Mr. Jackson.","the Dinkins campaign hit tough times this month, Andrew Cuomo, the politically seasoned son of the New York governor, is also said to have taken a more active role on strategy.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
84,wsj_0772,yet,when,"Now, I revel in the freedom, culture, activity and diversity of this great metropolitan area with its traffic jams and perpetual road-building projects.","my youngest child died two years ago, I buried him in the church cemetery of a small Missouri town.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
85,wsj_0773,but,if,Shipbuilding became a point of pride as Finnish shipyards remained profitable long after rivals collapsed all over Europe.,", as many now fear, Waertsilae Marine joins the ranks of failed shipyards it might turn out to be remembered most as a blemish on Finland's international reputation.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
86,wsj_0779,but,since,Disorderly market conditions could be observed quite frequently in foreign exchange markets in the 1960s and 1970s.,"the member countries of the International Monetary Fund agreed to the ""Guidelines to Floating"" in 1974, such difficulties have been avoided.",Comparison.Contrast,Temporal.Asynchronous.Succession
87,wsj_0781,but,while,"On Friday, Intel began notifying customers about the bugs which cause the chip to give wrong answers for some mathematical calculations.","International Business Machines Corp. and Compaq Computer Corp. say the bugs will delay products, most big computer makers said the flaws don't affect them.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
88,wsj_0781,but,while,"Intel clocks the chip's speed at 15 million instructions per second, or MIPs. That's four times as fast as the 386.   Machines using the 486 are expected to challenge higher-priced work stations and minicomputers in applications such as so-called servers, which connect groups of computers together, and in computer-aided design.","the chip's speed in processing power is dazzling, it's real strength lies in its software inheritance.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
89,wsj_0800,but,when,"The small, wiry Mr. Morishita comes across as an outspoken man of the world. Stretching his arms in his silky white shirt and squeaking his black shoes, he lectures a visitor about the way to sell American real estate and boasts about his friendship with Margaret Thatcher's son.","asked what exactly he does in business, he immediately takes offense.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Succession
90,wsj_0804,but,while,"Resistance to a national language comes primarily from members of the country's elite, who generally prefer English.","better-off Filipinos are quick to cite the logic in using a language as widespread as English, they are often slow to reveal that they are prejudiced against Filipino, say advocates of the native language.",Comparison.Concession.Arg2-as-denier,Temporal.Synchronous
91,wsj_0810,but,before,"Once he realized that Paribas's intentions weren't friendly, he said,","the bid was launched, he sought approval to boost his Paribas stake above 10%.",Comparison.Contrast,Temporal.Asynchronous.Precedence
92,wsj_0812,but,even though,"Earlier reports, which revealed that as many as 73 companies were avoiding income tax legally, have been credited with helping galvanize efforts to overhaul the tax code.","companies are paying more taxes, many are still paying less than the statutory rate, the report said.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
93,wsj_0931,but,as,"Two old friends, George Bush and Deng Xiaoping, are trying to limit further damage to U.S.-China ties.","Congress prepares a fresh package of sanctions against Beijing, the already-tense relationship could get worse.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
94,wsj_0937,but,if,"Eighty-three years ago, William James wrote to H.G. Wells: ""The moral flabbiness born of the exclusive worship of the bitch goddess success . . . that, with the squalid cash interpretation put on the word success, is our national disease.""","it was the national disease in 1906, it is today the national commonplace.",Comparison.Concession.Arg2-as-denier,Comparison.Contrast
95,wsj_0944,and,when,"But in the ""Bare-Faced Messiah"" case the author found most of his material in court records or via the Freedom of Information Act.","responsible scholars gain legitimate access to unpublished materials, copyright should not be permitted to deny them use of quotations that help to establish historical points.",Expansion.Conjunction,Temporal.Synchronous
96,wsj_0946,but,although,"The first is that it represents an intense battle in what James Thurber used to caricature as ""the war between the sexes.""","Thurber did so gently and lightheartedly, many of Dr. Morgan's supporters have taken Thurber's memorable title ""The Male Animal"" quite literally.",Comparison.Concession.Arg2-as-denier,Comparison.Concession.Arg1-as-denier
97,wsj_0966,and,when,"Discrepancies go unexplained in ""Confidential"" (one ex-player claims he received $4,000 to $5,000 for his season football tickets while others said theirs brought only a few hundred dollars),","Mr. Keteyian can't nail down something, like who really owned a car driven by Husker tailback Doug Dubose, he simply reprints his notes.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
98,wsj_0971,and,while,"Brooks expects to pay Coin Wrap a total of about $20,000 -- a cost that insurance won't cover.","the job is half done, Brooks is still bitter.",Expansion.Conjunction,Comparison.Concession.Arg1-as-denier
99,wsj_0975,but,because,"The researchers, who are being financed by the Lithox funds, will receive a royalty, or percentage of sales, if their research yields a commercial product.","the University of California, like many other universities, shares its royalties with researchers, it may disqualify itself from federal funds under the proposed guidelines, Mr. Daly says.",Comparison.Concession.Arg2-as-denier,Contingency.Cause.Reason
100,wsj_0975,and,if,"But the new guidelines could prevent scientists like Prof. Schimmel from being involved with start-ups such as Amira, venture capitalists point out.","that happens, the entire process of transferring technology to the marketplace could be harmed, they say.",Expansion.Conjunction,Contingency.Condition.Arg2-as-cond
101,wsj_0975,but,before,"Last year, for example, Avalon and others invested $14 million in Athena Neurosciences Inc., South San Francisco, Calif., to license and develop technology for delivery of drugs to the brain.","Athena was able to get an exclusive license to the technology, the Federal Register published most of the details, ""giving all of the company's potential competitors a chance to exploit it,"" Mr. Bock says.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
102,wsj_0975,but,when,"Ms. Bick, the NIH administrator, says the business and scientific community is overreacting to what the agency merely meant to be ""ideas for discussion."" The predictions of doom are ""premature,"" she says.","agencies like the NIH circulate guidelines, they've often already formulated policy, veteran scientists say.",Comparison.Concession.Arg2-as-denier,Contingency.Condition.Arg2-as-cond
103,wsj_0983,but,when,"If the market surges, holders can make that much more profit; the leverage effectively acts as an interest-free margin account for investors.","the market moves against the fund, investors lose more than other junk holders because the market decline is magnified by the amount the fund is leveraged.",Comparison.Contrast,Contingency.Condition.Arg2-as-cond
