"File Number","Explicit Connective1","Explicit Connective2","Arg1 Text","Arg2 Text"
"wsj_0758","and","when","","Mr. Engelken asked him why he took time off from work for somebody he didn't even know, Bobby Thomson replied: ""You know, Albert, if you have the chance in life to make somebody this happy, you have an obligation to do it."""
"wsj_0758","but","when","","Betsy Engelken wrote him, saying she could stop near his New Jersey home, it seemed different."
"wsj_0765","before","finally","Mr. Dinkins lost twice by wide margins","getting elected borough president in 1985."
"wsj_0765","but","when","Steven Spinola, president of the Real Estate Board of New York, an industry organization, says Mr. Dinkins's ""economic development program is shortsighted,","it comes down to it, he can be reasonable."""
"wsj_0765","but","as","","the Dinkins campaign hit tough times this month, Andrew Cuomo, the politically seasoned son of the New York governor, is also said to have taken a more active role on strategy."
"wsj_0766","and","then","The house itself, located about 50 yards from the collapsed section of double-decker highway Interstate 880, was pushed about four feet off its foundation","collapsed into its basement."
"wsj_0768","and","then","",", asset values of the funds could plunge more than they have so far."
"wsj_0771","and","indeed","""I agree, it's ridiculous,"" says Mr. Boren,","by now ridiculous may be the only way to describe how the U.S. decides to take -- or rather, not to take -- covert action."
"wsj_0771","or","rather","""I agree, it's ridiculous,"" says Mr. Boren, and indeed by now ridiculous may be the only way to describe how the U.S. decides to take --",", not to take -- covert action."
"wsj_0772","yet","when","","my youngest child died two years ago, I buried him in the church cemetery of a small Missouri town."
"wsj_0773","but","if","",", as many now fear, Waertsilae Marine joins the ranks of failed shipyards it might turn out to be remembered most as a blemish on Finland's international reputation."
"wsj_0773","and","thus","Government officials were expected to combine Waertsilae Marine with two other struggling firms,","ensure Finland's survival as a shipbuilding nation."
"wsj_0779","and","thereby","Instead of flooding the entire economy with liquidity,","increasing the danger of inflation, the Fed could support the stock market directly by buying market averages in the futures market, thus stabilizing the market as a whole."
"wsj_0779","but","since","","the member countries of the International Monetary Fund agreed to the ""Guidelines to Floating"" in 1974, such difficulties have been avoided."
"wsj_0781","but","while","","International Business Machines Corp. and Compaq Computer Corp. say the bugs will delay products, most big computer makers said the flaws don't affect them."
"wsj_0781","but","while","","the chip's speed in processing power is dazzling, it's real strength lies in its software inheritance."
"wsj_0788","and","instead","Faced with the virtually impossible task of supervising the execution of each trade, many commodity brokerage firms are likely to stop doing business with independents","hire their own salaried floor brokers."
"wsj_0796","and","also","The contract provides additional equipment for Northrop, the prime contractor on the missile,","supports a 1990 purchase of 90 missiles for follow-on flight tests."
"wsj_0800","but","when","","asked what exactly he does in business, he immediately takes offense."
"wsj_0804","but","while","","better-off Filipinos are quick to cite the logic in using a language as widespread as English, they are often slow to reveal that they are prejudiced against Filipino, say advocates of the native language."
"wsj_0807","but","also","The move significantly expanded Black & Decker's product line,","significantly increased its debt load."
"wsj_0810","but","before","Once he realized that Paribas's intentions weren't friendly, he said,","the bid was launched, he sought approval to boost his Paribas stake above 10%."
"wsj_0812","but","even though","","companies are paying more taxes, many are still paying less than the statutory rate, the report said."
"wsj_0819","and","when","When Isabella (Ellen Lauren) confronts her brother Claudio (Matt Loney) in his cell, explaining the price she has been asked to secure his freedom; when Isabella and the disguised Duke (Philip Kerr) conspire to trick Angelo;","Mariana (Annalee Jefferies), a woman wronged by Angelo, confronts him with his past misdeeds, the performers bring the dramatic high points to life with intense energy and intelligence."
"wsj_0819","or","more accurately","When, however, he decides to be modern,",", when he decides to be trendy, the results are far less satisfactory."
"wsj_0931","but","as","","Congress prepares a fresh package of sanctions against Beijing, the already-tense relationship could get worse."
"wsj_0934","and","then","They use dollars to buy Western items such as video recorders and personal computers","sell them at a huge mark-up."
"wsj_0936","and","thereby","Trying to manage exchange rates to some desired level, he said, ""would mean diverting monetary and fiscal policies from their customary roles","risking excessive inflation and unemployment and inadequate capital formation."""
