id,sentence1,sentence2,dm1,dm2
297,"at the very least, this book will be on my ""other readings"" list for us survey book reviews.","i noted this at the outset, michael kramer is a friend.","third,",and
299,"""You're just not sure what behavior is going to trigger a response, and they're just not truly domesticated like dogs,"" she says.","the gray area that hybrids fall in when it comes to rabies vaccinations, the shelter won't let kona be adopted by the general public.",because of that,and
300,"The cooperating agents act autonomously, and may be simultaneously reasoning on different components of the managed system.","to make the system highly generic, the agents may be applied to different functional models within the fault management task, such as correlation of trouble reports, and test management.","similarly,",and
302,But I had a feeling that he doesn't give any big chances to my staying.,mario will have the last word.,"obviously,","though,"
305,This is when I was a kid.,you take something that's yours and you blow it up.,but,"again,"
307,"However, with his super-hearing, Superman picks up rumours spreading all over Capitol Hill that the President is actually missing and it's being covered up.","other circumstantial information, the man of steel comes to believe that he is the president, in his secret identity.",because of this,and
313,"If they want allies outside of Israel, they will confine themselves to Afghanistan; if they conclude international opinion is a secondary matter, the sky's the limit.",strikes against iraq in the not too distant future seem almost inevitable.,"meantime,","though,"
324,"As a Catholic homeschooling mother of two, I feel it is important to acknowledge that Catholic homeschooling families can come in all shapes and sizes.","""stories for the homeschool heart"" is a great gift to the catholic homeschooling community and i thank armstrong and thomas for bringing it to fruition.","overall,","however,"
327,"The missing code gave most developers on the device headaches simply because without this code, WiFi on custom ROMs (and even stock ones) was lousy (if functional at all).","all the issues generated from it, a petition was started about 7 months ago by xda member aj_2423.",because of this,and
332,More than I miss having earrings in the one extra hole in one ear and three extra holes in the other (to include one in the cartilage).,it's remarkable if i actually think to put in one pair of earrings.,"now,","though,"
337,The 1-page US ad was focusing mostly on Korg's Professional Laboratory Systems (PLS) line of synthesizers.,the actual models of these synthesizers - the 3300 and 3100 (and possibly the 3200) - are not mentioned directly.,"although,","interestingly,"
340,"I only had about two hours, enough tokens for about 20 samples, and 72 possibilities.",i settled into a groove.,"eventually,","however,"
346,"Further, in decisions involving fair trial the court was in favor of the prosecution 75%, and in favor of the defendant 25%.",the criminal defendant is at a distinct disadvantage in most criminal cases.,"clearly,","then,"
349,"We were totally this rambling last year, and remember, we were completely on the wrong track then.","we were on the right track, we were just drawing the wrong conclusions.","or,","rather,"
350,"The absence of her distinctive dyed-blonde hair has been a central reason for the pregnancy rumors, and it appears that she is keeping with natural hair these days.",there's no concrete confirmation from either khalifa or rose.,"still,","though,"
355,"""מה את עושה לי"" is referred to Soul, and we bring you a huge amount of Soul artists absolutely for free.",we have collected lyrics for this track and you can view it here as well.,and,"finally,"
356,"I could see that adult Patrick was potentially annoying in his self-absorption, but his wit prevented me from being annoyed with him, which I felt was a great authorial achievement.",the novel somehow felt to me strangely empty.,"finally,","however,"
370,Now described in [IPFIX-IE-DOCTORS]; Section 6 has been updated.,a new section 7.3 gives iana considerations for this.,accordingly,and
371,They were supported by then-Interior Secretary Bruce Babbitt.,u.s. district judge john jelderks found in favor of scientists who said there was no evidence tying the skeleton to modern indians.,"eventually,","however,"
380,"Conceptually, this would seem to be the logical result of the interplay between FLSA § 216 (b) and Rule 68.",the relation back doctrine provides a mechanism to avoid this anomaly.,"luckily,","however,"
383,"I am skeptical, but it is possible.",i don't think there is any original meaning or textual argument for chevron.,"in the end,","though,"
386,"in addition, placebo response rates in cb studies have been high (33.3% to 54.5%),10-12 and therefore these results could be due to the placebo effect.",the assessment of cogni- tive tasks was blinded and confirmed the positive open- label results.,"interestingly,","however,"
401,"From what I've seen, the bio-dynamic system works.","because of the mysticism surrounding the various soil additives and preparations, it just turns me off.",on the other hand,"though,"
410,"SANDERS: Well, I think that in the middle of a recession, the idea of downsizing the postal service by 200,000 decent-paying jobs makes no sense at all.","we did not go as far as i would have liked, but we did save tens and tens of thousands of jobs.","so,","again,"
411,It expressed clearly the real tension between minimising corruption in the short term and delivering longer-term development goals which are the raison d'être for UK development assistance.,icai missed an opportunity to explore the implications of those competing concerns.,"again,","however,"
414,"One of the best things I read in there was an editorial (registration required) from Editor Marcy Magiera, who had this warning for studios:.",the studios have to manage this revenue stream as carefully as they do feature films or other genres.,"clearly,","however,"
416,"There is now a wide variety of media by which instructors can communicate with online students, or students can communicate with each other.",they fall into two categories: synchronous or asynchronous communication media.,"basically,","though,"
426,"In order for evidence ""linking these Israelis to 9-11"" to become classified, the evidence has to have existed in the first place!","it must have been very, very serious stuff indeed.",furthermore,but
429,"Again, that's true.",the penalties and the ensuing kills are only part of the problem.,"again,","though,"
445,"For example, the Ohio Education Association doesn't like it.",the idea just makes sense.,"again,","however,"
453,"it narrowly misses out on a 10 for not being more original, but it's still a near-perfect fps worthy of a very high 9.",call of duty 4 is a resounding success.,"still,","though,"
455,It has been suggested Horncastle was a storage facility.,why the need for such strong walls?,"again,","though,"
456,... task of keeping our country strong and safe.,"i, barack obama, president of the united states of america, by virtue of the authority...independence of the united states of america the two hundred and thirty-sixth.","now,",therefore
461,"In past years, my year-end awards have been a purely solo enterprise, but this year I reached out to a group of 40 Middle East politics specialists for nominations.","what you'll find below are just my opinions: books and articles that i read and liked, on topics that i find interesting, evaluated by my own idiosyncratic criteria.","ultimately,","though,"
464,"Turns out, the ease of use issue was one of the barriers, but it wasn't the only one.","some of those other barriers seem to be falling now, due mostly to the new realities of software-as-a-service and mobile computing.","interestingly,","though,"
489,"Following the SIDS protocol, this means that a 14- to 28-day rodent assay is in order.","such testing is completely unnecessary, inappropriate, and a violation of the mandate to avoid duplicative testing.","clearly,","however,"
490,They are joined by many nations from Africa and Central Asia as well.,god himself will destroy the invaders old testament style.,"in the end,","however,"
496,"""The Piping Plover?""","to prove something, they settled on the john dory oyster bar.","eventually,",as if
503,Texas' top two running backs and more than half of its top-shelf wide receivers are not expected to meet NCAA requirements necessary to enroll at major colleges.,state top 100 lists of the state's premier recruits might also make good reference materials two years from now.,"hence,",and
513,"Facing unbeaten St. Anne in River Valley Conference play, it looked for a while like hosting Gardner-South Wilmington was going to be able to hang with the Cardinals.",st. anne was just not to be denied in a 53-42 decision over the locals.,"in the end,","however,"
515,He's great at comedic acting and this movie is most certainly proof of that!,he seems to be at ease in the parts of the movie where things get a little serious (although nothing can be too serious in this movie!),"although,","still,"
531,"In domestic violence situations, no work plan (or personal development plan) needs to be in-place, and DV can be up to 20% of the case load.","i didn't say anything about ""welfare queens"".","indeed,",but
538,"For a moment, let us assume that markets are manipulated, controlled, maneuvered, and influenced.","supporting this thought, few serious investors doubt that entities as plunge protection teams et al exist.",additionally,and
539,"Of course this is horribly unlikely because most sermons are useless tripe, but...you get the idea.","let's say you started to see that unbelief seemed more like kind of petulant, childish rebelliousness than an honest pursuit of truth.","or,","again,"
550,"When Trevor's statue is put up next to Tony's in Petco Park, he'll be forever frozen in time out of the stretch.","i'm no sculptor, but this statue seems like it'd be a prime candidate to fall over.","although,",and
552,Some days I could barely bend over following three-hour sessions of pick-up basketball.,"after a few days, the pain would subside, and i was back to my regular slate of exercise and activities.","eventually,","though,"
557,Don't miss my cheesy UI mock-up on the third page.,"you should aim for whatever is comfortable for you to develop, and not let me make it into a big chore.","ultimately,","though,"
558,"I do not think I am any better than someone who has had an abortion, I simply feel that I am one of the lucky ones.","i hate the idea of terminations, i try my hardest not to be too judgemental regarding this issue.",because of this,"although,"
568,"unfortunately, it is.",it is very easy for everyone to understand why this industry has such a detrimental effect on millions of human lives..........,"fortunately,","however,"
571,"I turned it on and started going through the frequencies, hearing nothing but squeaking and beeping that sounded like automatic equipment.","i heard a voice, calling way back in the shrill squeaking, and figured out that it was someone far away who spoke spanish, but i couldn't tell anything else.","then,","finally,"
576,"Anyways, I'll post some pictures as soon as I can get some.",any tips/experiences from those who have kept this fish would be greatly appreciated!!,and,"again,"
585,He says a supervisor got furious and told him never again to embarrass a fellow agent.,"he had begun sharing everything he suspected with the justice department's inspector general, the office that investigates misconduct in any part of the justice department, including the fbi.",by then,"however,"
593,"(Michael Chabon's review-essay of The Road, which includes much discussion of these issues, is excellent, although sadly not freely available.)","to go off at a slight tangent from one of the points in your original post, of course any criticism has to address the whole of the sf genre.","separately,",and
601,"When several people audibly make their feelings known, Johnston acknowledges the adulation sheepishly, like it's the first time he's heard it.",the crowd's comments become a little disconcerting.,"later,","though,"
602,My husband said he couldn't tell any difference.,one day the gals at fox pilates were talking about yamuna zake's new body rolling system for the face.,but,"then,"
608,I was suddenly single and without much hope of finding a date.,natural desires took over.,"eventually,","however,"
609,"The more satisfied husbands reported being with sacrificing for their wives, the less making a major sacrifice for their wife was associated with lower marital satisfaction.","regular expressions of generosity, but not major acts of sacrifice, are linked to higher quality marriages among contemporary spouses (aged 18-55).","overall,","then,"
611,"Should he lay an egg at the season-ending Tour Championship and Woods matches him with a fourth victory this year, it could be argued that at least there's an argument.","the player tiger refers to as a ""kid"" has removed the volatility from what was an ongoing debate.","otherwise,","though,"
614,"For those people - myself included - that just can't seem to figure out how to tie one, How To Tie a Tie is a great tool for your Android phone.",the app is very basic and lacks a bit of flair and creativity.,"ultimately,","though,"
621,"While it is admirable to simply be long on biotech stocks, r there some charities that caught your fancies.",r u giving back?,"meaning,",in other words
630,The duo (fleshed out by a full touring band) performs a free show tonight at MOTR Pub in Over-the-Rhine.,"you'll hear how almost no two ""jam bands"" sound alike anymore, making the grateful dead-mimicking cliches about the scene completely outdated.","or,","rather,"
632,"More accurately, it was a humongous waste of space with no purpose except, perhaps, intimidation; it made visitors feel as if they'd wandered into somewhere they didn't belong.",the hotel's management took the storm damage as an opportunity to redesign.,"fortunately,","though,"
635,"In the initial 20 min (first meal), both peptides were equally effective, producing large reductions of food intake.","cck-33 was more effective than cck-8, producing much more sustained reductions.","thereafter,","however,"
647,"I know, I know, these are harsh words and hard to read; not at all uplifting.",is time for sobriety and seriousness.,"now,","however,"
659,Of course I have always been a member of some social media site ever since my cousin made me a MySpace when I was 13.,social media and its various uses have grown and transformed and morphed into useful business tools of the modern marketing era.,"although,",since then
661,One might see some glaring weaknesses in how the movement is pursuing what it is all about.,in its very spirit the movement must be about what is most important-what is undeniably essential.,"ultimately,","however,"
666,"Once the climate switch flipped, Earth veered from frigid snowball to steamy hothouse (possibly with average surface temperatures of 50 to 60 degrees Celsius) within centuries to millennia.","these ice ages, which were more extreme than any ever again experienced on earth, may literally reflect out-of-this-world conditions.","ultimately,","however,"
676,The terms of the option will lay down provisions for independent valuation in the event of disagreement.,eads' press release on the subject is at pains to point out that the put option has not been exercised yet: -.,"interestingly,","though,"
681,"They had a great game, you feel good about yourselves.","there's a lot of work ahead, you don't want them to be complacent.",but,at the same time
683,"Coming into the Vancouver games, the U.S. had never won an Olympic Nordic combined medal in 86 years of competition.",they've got two: first johnny spillane took silver in the individual normal hill/10km cross-country pursuit.,but,"now,"
685,"For such taxpayers, the focus should be on the practical, not on the theoretical or grand economics.","i cannot stress this enough, do not add to the irs's woes by creating a whole new tax system for them to administer without repealing an old tax regime.",additionally,and
687,-ton- of scripting that really made the work area come alive.,none of it worked due to a missing area file that.,"though,",but
689,"Which, of course took place despite the existence of Prism's carte blanche data schlup.",industry group the cloud security alliance last month warned that us companies are losing orders from foreigners alarmed about the nsa spooks ability to access their data and communications.,"separately,","meanwhile,"
697,"A bit ugly and definitely would require work,.",is should work.,"though,",but
699,"I mean, after I realized some of what he's done, more-so.","lizzie borden the axe murderer would be a great birthday buddy, i'm sure.","still,","though,"
700,This makes the entire image look a little out of focus.,most of the work is of a very high quality.,"overall,","though,"
702,That's part of Solo's legacy.,there will come a moment when solo has to protect the net from an opposing threat.,"eventually,","however,"
716,"The Terrapins went 9 for 27 from the floor over the final 20 minutes, going 0 for 10 from beyond the arc.",maryland got back on track following a humbling loss at michigan state on saturday.,"in the end,","however,"
726,The methods of the invention can be effected using any of the various aforementioned embodiments.,"an apparatus of the invention can comprising a parallel infrared detection system for simultaneously analyzing at least two samples, such as solid samples or fluid samples.","hence,",for example
727,"it is fair to say that the workgroup agreed on some basic principles, such as the need for an orderly procedure.",the cde had to make a decision about the elements of a package to bring forward.,"ultimately,","though,"
732,"In this example, there's no reason to special case head_node.",for some reason this tends to pop up a lot.,"next,",but
733,"beyond any question, their persecutors had all passed off the stage of action, and according to the view under consideration were suffering all the torments of hell right before their eyes.","not satisfied with this, they cry to god as though he we delaying vengeance on their murderers.","yet,",as if
734,"I hemmed it with a stretch blind hem, rather than the recommended twin needle, and I think that it turned out quite well!",i'm really happy with it!,"overall,","though,"
737,"And I would have gladly taken entries from Final Fantasies 10-2 or 13-2 over the garbage that is anything from Final Fantasy 2, but maybe those games will get DLC tracks.",the game has been enjoyable and the good songs that are in the game are really fun to play.,"overall,","though,"
738,"For about a year before proposing his legislation, Nickels had convened an advisory task force to consider nightlife regulations.",members of the panel representing bars and clubs felt it had fallen apart.,"in the end,","however,"
748,"but beyond clearly illegal acts, they also reserve the right to steer clear of any content they feel reflects poorly on their brands.","it is the courts that determine what is obscene, a term reserved in the legal system for sexually explicit content that meets certain criteria.","ultimately,","however,"
749,"""We'd been servicing Van Meter, because the line went right to the front gate,"" he said.",the city of miami was not included.,"previously,","however,"
756,And in yet another patches of bright red are found throughout the canvas and smaller areas of pink interrupt the silver field.,"this is a further option, a field of green on the left edge can be set alongside a body of narrow vertical silver strokes.","or,",and
757,"Before you knew it, Anna Faris was impersonating Diaz in Lost in Translation, and it was funnier than any actual Diaz performance in years.",the laziness of earlier performances has evaporated.,"now,","though,"
759,The real focus of the Bible is the story of humans and their response to God.,"it was normal human beings and their religious systems that crucified christ, not those who were demon possessed.",moreover,"in the end,"
770,"No, but expecting a band to live up to what's been written about it thus far is unrealistic.",the band's sunny songwriting and its willingness to write earnest music will take it further than the mere hyperbole heaped upon it will.,"ultimately,","though,"
775,"I'm not sure who should make that decision, though.","this command works as intended and there is no bug here, per se.","in short,","though,"
778,"As is fairly common, whilst both spirits are born from the souls of lustful, rapacious mortals, the incubus is much more forthright and forceful about his desires.","succubi are seductresses, incubi are rapists.","or,",in other words
789,It's the famous Reagan appeal.,i hope i've disabused you of a few notions and convinced you of the following:.,"so,","in sum,"
798,"We found a difference in color usage between classical paintings and photographs, and a significantly low color variety of the medieval period.",the increment of roughness exponent as painting techniques such as chiaroscuro and sfumato have advanced is consistent with historical circumstances.,"interestingly,",moreover
809,Then the last verse seems to be about both political and religious hypocrisy:.,"religion can be manipulated in the name of political causes that, whether good or bad, are not innocent.","ultimately,","then,"
811,"investors who purchased equity-indexed annuities, or eias, in the decade leading up to the 2007 financial collapse rode the runaway earnings without being tossed from the saddle by the market downturn.",regulators and financial planners suspicious of this seemingly too-good-to-be-true investment option had begun to peek behind the curtain of annuities in general and eias in particular.,by then,"however,"
812,Note that one end of the cavity needs to be open for insertion of a body or body member.,"one set or the other provides the desired field, and if necessary, is fine-tuned just as if only 8 of its 16 elements is present.","in sum,","then,"
814,Too bad everyone is so busy being insulted and going all Anakin instead of Obi-Wan....,it will still be possible to write great and functional web apps that more-or-less behaves the same as many of the apps on the iphone.,"yet,",at the same time
818,"The French government even launched a 2011 program, 1001libraires, that would allow independent bookstores to distribute e-books themselves, though this program eventually failed.","there are relatively few french titles in the amazon france kindle store-around 100,000, as compared with 800,000 paper books.",but,"still,"
819,(That was true of Joe's quoted question.),the pocket version of the rule provides a litmus test.,"again,","however,"
822,"4 Hurmuzd, not having his father's ability, found the system irksome and consequently was inclined to favour the lower at the expense of the higher orders.",we have two stories of his even-handed justice.,accordingly,later on
826,"Newt has baggage, Huntsman is an unknown.","it's been almost two decades since the '94 gop congress got started, and americans have a notoriously short memory.","in the end,","though,"
830,"If sickness tortured your body, would you avoid the hospital or doctor because of embarrassment?","do not be led astray by certain people who wish to have read on them a ""blessing only"" without having previously confessed.",but,at the same time
834,NTS can take advantage of local packet radio bulletin boards for their ability in buttressing Local and Section NTS Nets and getting channels closer to traffic origination and destination points.,"the concern is that traffic might end up in a ""black hole.""","again,","however,"
835,Men have women and advertisers doing everything in their power to stimulate their libido from puberty on.,"even under these overwhelming brainwashing, manipulating conditions, men often seek to get away from women.","yet,","still,"
838,It seems like only yesterday he was 1 mo old suffering from both the consternation of painful gas and the humiliation of his parents dressing him as a pea pod.,"at the age of 1, our little guy is a walking, talking (at least he thinks he's talking), grinning, laughing, and personable young man.",but,"now,"
845,This is where Episode 1 of S6 begins; finding the Oceanic 6 as they land in L.A. and go about their lives as if nothing happened.,"the dimension jack and friends left, still exists where jacob has now been killed by nemesis.",simultaneously,"however,"
853,"It levels the playing field, price-wise.","that's important for less obvious reasons: the xbox one was already selling reasonably well at $500, if nowhere near ps4 numbers, and that's a relevant point.","obviously,",but
854,Many find this book long (I do...and yet I've read it twice).,the magus is gripping and hard to put down.,"overall,","though,"
855,"My thoughts are that when the car came out, most people ordered IOM or Black.","the fact that most dealerships sold their cars very shortly after getting them, you couldn't see all the colors in person.",because of that,and
862,"1983's Pocahontas Coalfield Centennial Celebration featured a lengthy television program on Coalwood, including a fascinating interview with retired foreman Homer Hickham, Sr.","mechanization, petroleum competition for the global energy market, and the exploitation of more easily mineable coal seams in faraway wyoming made coalwood increasingly less profitable.","eventually,","however,"
864,"In other words both animes are about charas fighting, without fighting.",both feel the need to fight when plan a doesn't work.,"eventually,","though,"
881,"his specific instruction that his letter be read ""in the ekklesia of the laodiceans"" suggests that paul can still use ekklesia in the sense of the tangible gathering.",the ekklesia is also a much larger and more permanent reality.,"yet,",at the same time
885,The carboxylate anion R-COO - is usually named with the suffix -ate.,the anion of acetic acid is called the acetate ion.,"thus,",for example
897,The art doesn't leave your head.,"the need for a project, i took time to work on a long awaited project.",because of this,and
900,"As well he might be, because Polly's death was pretty gruesome.",you could make a valid argument that paul was more putting her out of her misery than straight-up executing her....,"still,","though,"
903,Hope Piketty has a good circular flow illustration in his tome.,when you get stephen j.,"meantime,","though,"
911,Their scheme is really his scheme.,his scheme trumps theirs.,"or,","rather,"
916,[2] The Germans were able to reorganize and even counterattack (the Battle of the Bulge).,"the region of antwerp was secured, its port operating and supplying the allies.",by then,"however,"
932,"To be more specific, he was standing right behind me when I took the picture.","things would change so rick would be in front, ben in the middle, and me in the back.","eventually,","though,"
939,Where's the invention?,cingular's patent application is much broader than a simple emoticon key.,"indeed,",and
940,"in fact, the video is titled ""cloudbusting,"" which sounds like a porno set aboard a virgin atlantic flight.","like, why the motorcycles?",but,"then,"
942,He has had 43 months in his term so far where the jobless rate is above 8%.,all of the time between 1948 and 2009 when obama took office in cumulative months and which the unemployment rate was above.,"now,",and
944,"Likewise, any Cuban who owns a cellphone can't use it without paying the astronomical rates demanded by the government cellphone monopoly.",raúl has encouraged the first stirrings of debate in the government-controlled media (which are the only media)--something fidel never would have allowed.,but,at the same time
948,"I said I did, and she went on about whatever she'd been doing.",things came to an even keel with them.,"eventually,","though,"
956,"In this key arrangement, the side down key 104b and the side left key 203b may be a key with two contact points in which key tops are integrated.",the side up key 104a and the side right key 203a may be a key with two contact points in which the key tops are integrated.,"further,","similarly,"
