id,sentence1,sentence2,dm1,dm2
2160,"At the end of ""Conrad's Fate,"" it's hard not to wonder what is going to happen next in the series.",this book is a delightful fantasy mystery.,"fortunately,","in the meantime,"
1101,"Completeness may be a goal, but like infinity it eludes mortal grasp.","an examination of any culture or any country might include reference to its history, its development, its achievements, and so on, but these would always be incomplete.","thus,",for example
75,"If you had to compress your argument into one abstract-type paragraph, what would it look like?","perhaps you'd want to frame your argument (s) as testable hypotheses - e.g., h1, etc.","third,","similarly,"
3606,"Normal cells were reportedly unaffected, because they contained low concentrations of beta-glucosidases and high concentrations of rhodanese, which converts HCN to the less toxic thiocyanate.",it was shown that both cancerous and normal cells contain only trace amounts of beta-glucosidases and similar amounts of rhodanese.,"later,","however,"
5845,"Oh, if she'd touched Charles, his plan would have been doomed from the start.",she knew things about him and she knew he was uncomfortable with her knowing them.,because of this,"however,"
1542,"Throughout the 1950s, there were numerous trials of Ticani and other Sufi leaders for antistate activities.","some movements, notably the süleymancı and nurcular, cooperated with those politicians perceived as supportive of pro-islamic policies.",simultaneously,"however,"
2677,"Potter, an Al Sharpton like expy with political ambitions and a beef with the NYPD.","it's revealed that a young hispanic boy saw the whole thing, but, since his family are illegal immigrants, his parents don't want him testifying.","eventually,","though,"
4236,At this point the best the GOP and even King can do is hold their collective breaths and wait for this abomination to pass.,questions should be raised about the wisdom of king maintaining his committee chairmanship.,"in the end,","however,"
5830,It would have been interesting to learn more about DePodesta's background and exactly what formulas and methods he used to pick players.,maybe the film would have been less about beane.,but,"then,"
6331,"Even so, Sullivan is too timid to confront some issues she hesitantly broaches: Celia's excessive drinking and indifference to people around her, April's inability to say no.","we're contented with the knowledge that surviving smith means surviving anything: a baby, an abusive boss, a family that doesn't accept the person you love.","in the end,","though,"
3219,"It hit 4,520 mph and soared high enough to earn its pilots astronaut's wings.",the greatest glory in the skies was going to the space program.,by then,"however,"
4766,"His career took him all over as he worked for fashion shows, news stations, extreme-makeover shows, and movies.",he opened jon richard salon and launched a line of styling products.,"eventually,","though,"
6199,"The valve lifter of inhalation side - we to be constituted from the tappet of 2 layer, to adjust to accelerator opening and rpm, variable control the valve lift quantity.",also valve timing of the air inlet cam is controlled optimumly variably.,simultaneously,"with that,"
4840,"There's total coordination at the intelligence level between the two forces, there's coordination at the operational level, at the strategic level, even at the tactical level.","we are working together, and when the situation arises, we need to pick the right decision to strike.","so,",therefore
3043,But he was fourth - eight-tenths of a second behind the Australian Ricciardo - here and could feel delighted with his afternoon in an uncompetitive car.,the day was all about hamilton.,"ultimately,","though,"
4900,"The value k9 is a target acceleration value for safety first at a low motor vehicle speed, when an object is present ahead.","even if a driver erroneously depresses the accelerator, safe traveling can be secured, because a motor vehicle travels at a constant acceleration.","thereby,",for example
6091,"Arguably the reason why Portal is held in such high regards, GLaDOS instantly grows on you when she appears to be helping you with your appointed experiments with the Portal gun.","the layers peel back and her motivations become a lot more murdery (yes, i can make up words!)","eventually,","though,"
6480,But I felt very comfortable at home.,"here's what she has to say about her relationship with keith, who she says has a ""bigger, stronger personality""... .","by comparison,","though,"
4747,"Noting that the phrase ""judicial murder"" generates certain problems in.",i use it with full consciousness of that fact.,"meaning,",but
5609,One of the first things I look at when the NFL schedule is released each spring is the Thanksgiving matchup.,i do a quick scan of the schedule to see who's going to beat the detroit lions while i'm sucking down turkey and cranberry sauce.,"or,",in other words
1440,"But, if life is not to be anarchy and the giving way to impulse that produces such anarchy---in many areas other than the sexual---each individual must find the necessary control mechanisms.",anarchy for one is not anarchy for another.,"again,","though,"
5095,"Likewise, an access point can also deploy a dual 802.11a/b solution, enabling interoperability with end user devices equipped with either an 802.11a or 802.11b radio.",you can still install 802.11a wireless lans.,"in the meantime,","however,"
1839,"However, these advantages also come at a price.",the currency peg is a policy measure that can be used by any nation and will always remain a viable option.,"ultimately,","however,"
1264,Colon is still good enough to make that rotation.,"do you former minaya defenders still think the swap of sizemore, phillips, lee for hernandez, leifer and biddle was just due to the strange situation in montreal?","so,","now,"
6094,"""Our"" Batman was transformed into a vampire in and around September 1982's Batman #351, and was cured with Robin's help.",that was the regular series.,"again,","though,"
3333,"We feel hurt and diminished by others, and we feel aversion and hatred for others, but the source of it is the comparison, and the separation.","disliking others, because we compare them to us, and we don't like the results.","then,","basically,"
20,"His original Troquet is much-loved, though rumor has it he's sold the mothership in order to focus on a new project.","he's still running the convivial, no-reservations offshoot, la cantine du troquet.","in the meantime,","though,"
48,"As the chapter continues, we are introduced to early Protestant opposition to Socinianism, provoked by its challenges to core aspects of Reformed belief.","there were those who adopted socinus' doctrines as it spread across europe, particularly to germany and the united provinces.",on the other hand,"however,"
1875,"I mean, I got an entire year's worth of titles from the BR thread alone, and it'd be great if the same thing were to happen for movies.","i don't think it'd be practical to have a single post per movie, because there're just too many of those around.","now,","obviously,"
1604,"Great acting and, as others have noted, does not condescend to the audience.",you have to watch in order and you have to pay attention.,because of that,"though,"
5551,"The brothers fought with all of the savagery of the underworld, and to their credit, annihilated a third of Hell's treacherous legions.",they were overcome by the horned death led by the traitors azmodan and belial.,"in the end,","however,"
2364,"Unfortunately, some of the themes were hammered in a bit too strongly; the evil Duke was a bit of a straw man.",the unique packaging of this christmas present made it well worth it.,"overall,","though,"
2840,"Machiavellian politics, teen angst, claustrophobic small town drama, a bit of political corruption...plus, an author I can rely on for great characters and atmosphere.",i'm sad to say it - the casual vacancy really disappointed me.,"yet,",and
3453,Martin has pleaded not guilty to a misdemeanor in connection with a separate hazing aboard the charter bus that transported members of the Marching 100's percussion section to performances.,"of the hazing investigation, a university administrator has been charged with fraud over travel reimbursements.","separately,",as a result
4904,"Others like the ""Storyboarding"" are short and lacking in content.",they are worth checking out.,"overall,","though,"
1120,"That said, I would not expect the result to change much, given that those pre-1998 patents made up less than 24% of the total.","as with any empirical study, this one comes has its limitations.","ultimately,","though,"
5345,She tries to assemble a group to cheer with her but all she can find are rejects that couldn't make it on an established squad.,they discover the true meaning of cheering.,"eventually,","however,"
5953,"At the time of Jeremiah, in spite of its long and eminent history, it had been subjugated by the Assyrians and then the Babylonians.","with its capital susa (or shushan), it would ...","eventually,","however,"
137,barack obama's presidency has become a feast of failures whose proliferation protects their author from close scrutiny of any one of them.,we can revisit one of the first and see it as a harbinger of progressivism's downward stumble to healthcare.gov.,"now,","however,"
4193,"So, that's the objective.",in what forum do we do that?,"so,",therefore
6305,You could set the servlet to load on startup and instantiate the server as part of instantiation.,"this is much preferred, if yo uare paying for adsl, then it shouldnt cost much more to have static ip instead of a dhcp based service surely?",alternatively,and
5195,The TRC has gathered testimonies that suggest the existence of police personnel linked to death squad activities and paramilitary commands used against presumed subversives.,three national elections took place between november 1989 and june 1990.,nevertheless,at the same time
3957,They don't call me Inspector Shoeseau for nothing (remember that one?),i must reveal how it is that i reapproached the search with new vigor.,"in the meantime,","however,"
4394,And so I wondered about whether I might like a tablet.,"i'm not at all enthused with tablets, even though i have two of them.","in the end,","though,"
4492,"No matter what people say, going to a top university does increase your odds of getting noticed.",my ubc degree didn't do much in that regard.,"interestingly,","though,"
5214,"Views along these lines have been endorsed by Graham Priest of England, Jody Azzouni of the United States, and Otavio Bueno of Brazil.",there are essentially five alternatives to platonism.,"in sum,","then,"
4132,"At the end of the day, I have to admit it, this movie was not really original but I still liked it.",it is one of these hyperlink tales where the characters are involved in some separate stories but they all con...read more.,"indeed,","basically,"
4530,"But that doesn't count, because ""Obama's plans to expand government-paid health insurance might increase Medicare spending by aggravating medical inflation.""","expanding government insurance might decrease health care costs the way it does in, you know, pretty much every other liberal democracy.","or,",conversely
1813,"as bloxham notes, ""given that travel to distant planets is likely to take decades, centuries or longer, this could make any mission to colonise other environments a non-starter.""",that a potential death mission to mars would have little chance of spawning a colony without better shielding technology.,"meaning,",for instance
6224,the theory at the time--that it was more addictive and generated more violence than powder--was later proved false.,congress had made crack the only drug that mandates a sentence for a first offense and fixed high sentences for people caught with relatively small quantities.,by then,"however,"
3542,"British populations, currently around 6,000 pairs, are declining.",the species is not in serious decline.,"overall,","however,"
1351,"In typical Ashado fashion, she cared more for her grass than to hang out with her number one fan.","she did come over, as kind and classy as ever.","eventually,","however,"
1505,Dareus on top of him!,i suppose kyle should have thrown dareus off him like a pesky housefly and stood tall in that pocket (ahem - what pocket?),but,"then,"
132,"Overall, bifidobacterial numbers were reduced in the elderly where two of four subjects had no detectable bifidobacteria, and one had low counts of Bif angulatum (log 10 7.5 g/faeces).",the remaining subject in this group had very high numbers of these organisms in faeces (bif angulatum 9.8; bif adolescentis 9.6; bif longum 9.2).,"in contrast,","however,"
1739,"At last, tired out and discouraged, Leverett left us, and Wise and I pressed on toward Live Oak, the trail still hot.",the dogs began to show signs of fatigue.,"meantime,","however,"
4162,"To translate that, at the very least, you'd have to type everything into a translation engine.","with the ivy guide mini-translator, you can simply scan a word with a pen.","now,","however,"
217,"Rather, both zone1 and zone2 appeared to be at increased risk for symptoms.","headaches, chronic fatigue, allergies, and skin disorders were all more common in the 2 first zones as compared to zone3.","interestingly,","however,"
1641,all of these surgeries experienced an increase of 38% or more in 2011.,"the plastic surgery business is down quite a bit compared its booming, pre-recession heyday.","overall,","though,"
571,"I turned it on and started going through the frequencies, hearing nothing but squeaking and beeping that sounded like automatic equipment.","i heard a voice, calling way back in the shrill squeaking, and figured out that it was someone far away who spoke spanish, but i couldn't tell anything else.","then,","finally,"
4501,But the M22Ti SE has a more smoothly flowing nature about it in the midrange.,"only direct comparison, the m3ti se can sound a tiny bit grainy.","by comparison,",and
286,"ty tashiro, discovery network's relationship expert and university of maryland professor, may not be a genie in a bottle - but he's here to grant you three wishes.",he wants to make sure you don't squander the three wishes you already have available to you.,"or,","rather,"
3019,"I'm planning to try some African Dwarf Frogs with my fish, but that's the only immediate plans for any herps.",i would like some lizards and perhaps a snake again.,"eventually,","however,"
1109,"From what I've seen and read of Woods, he seems like a genuinely fun, intelligent, well spoken, compassionate guy (who, true, is not afraid to get a bit politically incorrect).","the seceding party is always in the right, because the parent entity has no legitimate claim over it.",in other words,"then,"
647,"I know, I know, these are harsh words and hard to read; not at all uplifting.",is time for sobriety and seriousness.,"now,","however,"
3197,"Then ask her (assuming there's still no due date coming, though I hope there is) what, in a perfect world, she wants of you.","hear her out and don't ""no"" her out-of-hand--even if you end up not changing a thing.","then,","again,"
4652,"Jackson could never really get inside on Jones, and the champ's reach allowed him to pick apart the title challenger with punches, kicks and elbows from constantly changing angles.",he got the tap-out from a rear-naked choke in the fourth round.,"ultimately,","though,"
4433,"My most recent previous experience was back in high school, when my first boyfriend saved for months to take us out to a ""grown-up"" dinner.","the fact that fondue is a food trend known mostly for its kitschy past, it's not a place i'd think to go.",because of that,and
355,"""מה את עושה לי"" is referred to Soul, and we bring you a huge amount of Soul artists absolutely for free.",we have collected lyrics for this track and you can view it here as well.,and,"finally,"
2015,So one can avoid all of this by investing in some sharp knives and a sharpener.,your confidence and desire to cook will be big.,"again,","by doing this,"
3819,"It comes down to what each side can prove, and perhaps one day we'll know who made the better case in this instance.",there's one thing we can say with a fair amount of confidence: it's unlikely that consumers duped by the similar mountain scenes will recoup their lost l.l.,"in the meantime,","however,"
5511,"Quarterback is still a possibility, as new head coach Bill O'Brien needs a signal caller for the future, and a trade certainly isn't out of the question.",rick smith will find it too difficult to pass on the best overall player.,"ultimately,","though,"
2894,"Moderation will never be perfect, since it relies on human judgement, and anyone can have a bad day and make some mistakes.",i have have noticed that the quality of comments has improved dramatically since the moderation system has been implemented.,"overall,","though,"
2108,(Reftel reports Kitamura's read- out of the visit to China by METI Minister Nikai.),the japanese business sector has shown little interest in the proposed u.s.-korea fta.,"in contrast,","however,"
2857,"Also, because I was indoors, I set the GPS to be off.",it still reported my gps location.,"though,","interestingly,"
206,The parts of happstack should be further modularized and generalized until they are not happstack specific.,there is a need for some glue code to bring all the pieces back together.,"ultimately,","though,"
4431,I could have continued with the same approach for Excel 2003 and other components of Office 2003.,it had developed that the underlying goal of creating a portable version of office 2003 was not feasible with existing programs and resources.,"in the meantime,","however,"
5730,Microwave times turned out to be double the 90 seconds listed on the packages.,"the beef taste test panel decided that farmland, particularly with the original flavor product, has definitely hit the bull's-eye on what a convenience beef product should be.","overall,","however,"
3182,"Moreover, it is fundamental in the law of success that one's pursuit must be congenial if he is to excel.",lassitude cannot be condoned if we find ourselves engaged in uncongenial employment.,"on the contrary,","however,"
5613,"The plague individual believes that all people lie, swindle, steal and crave power.",the living is at a disadvantage and in danger.,"clearly,","then,"
2288,"You're better off keeping Litwick to battle Brycen, but you may have to grind it a bit.",i need you guys to help me choose who to drop out of my party for an axew.,"so,","basically,"
3767,"Yet she has had to endure a parent's worst nightmare the death of her teenage son, Wade, in a car accident.","edwards's memoir is not about cancer, politics or even unbearable loss (though the description of her grief is heart-wrenching).","in the end,","however,"
5536,"Importantly, it is not the action of the physician that determines any potential possession of marijuana by the patient,"" the court's opinion states. """,the physician is not prescribing or ordering the possession of marijuana.,"clearly,",therefore
2886,"Here, the recording data Dw is recorded by the D-flipflop 58 synchronously with the data existing point clock CKd.",the recording data dw is recorded synchronously with the magnetic clock pattern 42.,"thereby,","as a result,"
302,But I had a feeling that he doesn't give any big chances to my staying.,mario will have the last word.,"obviously,","though,"
489,"Following the SIDS protocol, this means that a 14- to 28-day rodent assay is in order.","such testing is completely unnecessary, inappropriate, and a violation of the mandate to avoid duplicative testing.","clearly,","however,"
3818,The fact that people chose to increase storage capacity suggests its central function in mitigating environmental perturbation in the Southwest.,"increasing storage proved unsuccessful under prolonged conditions of water deficit, and people left tsegi canyon.","ultimately,","however,"
1004,"We have not, it is true, any right or power to interfere in such matters with other countries.","it has been urged, that, under a free commercial system, we may not only manufacture too much of one, but of all commodities demanded by foreigners.","still,","however,"
1474,"Feel free to search, but I've seen it (and seen it pointed out to you several times).","i'm bolding this because it's important, solving large content distributors' business model problems is not the responsibility of the tech industry.","second,",and
1834,"""i don't want to say bad people, but people who influenced me to do bad things.""",he started to break from those influences and gain a new mindset.,"eventually,","though,"
2608,It's certainly sounder theoretically and mechanically than the ad-hoc Kuper approach.,if the conclusion of the model is whack we need to go out and show why our model is better.,"in the end,","though,"
3036,"at first, they lived solitary lives practising extremes of hardship.","some came together in large or small groups for work and worship, and so renounced the world.","later,","however,"
4021,Couldn't have said it better.,"she damns his body of work with the ultimate pejorative: ""that word is' kitsch.""'","ultimately,","though,"
948,"I said I did, and she went on about whatever she'd been doing.",things came to an even keel with them.,"eventually,","though,"
601,"When several people audibly make their feelings known, Johnston acknowledges the adulation sheepishly, like it's the first time he's heard it.",the crowd's comments become a little disconcerting.,"later,","though,"
4810,"Negative good will sounds silly I know, but it relates not to the absence of good will, but negative feelings.",british petroleum is in the process of developing enormous negative good will as a result of the oil spill in the gulf of mexico.,"so,",for example
5722,It's not about me and it's not about my bishop and it's not about the prophet.,it's every bit about us.,"or,",in other words
1037,but that will change once my wife finally becomes a doctor.,i'll have a (some) kid (s) and i might not have the time.,by then,"though,"
3068,"Plus, he had taken some extra vacation time before giving notice, and his boss could have docked his pay for the days he took off but didn't.","he didn't burn any bridges, and his boss offered to write him a letter of reference for future career moves.","in the end,","however,"
4542,"When you become big, like LTCM did, and some other big players recently, you move the markets, and usually against you.","models are the worst way to try to understand markets, except for all other alternatives that have been tried.","in the end,","though,"
3702,"Absent those conditions, the need for bribes would have been minimal and the issue would've been moot.","there's an important angle here that gets fleshed out by the american enterprise institute's nick schulz, writing for forbes:.","regardless,","however,"
3278,"Lyrically, this seems a little less raunchy and raucous than the last EP, with no mention of 'sluts' among the song title.",i felt pretty much an identical reaction that i did last year.,"ultimately,","though,"
3329,"If he then says ""I wasn't pursuing Martin,"" the prosecutor could admit the phone call into evidence to impeach his credibility on this point.",that wouldn't necessarily prove that zimmerman doesn't have a self-defense claim; all it proves is that zimmerman was pursuing martin.,"again,","however,"
2943,"""By the time you get to that stage, there's nothing I can do, as a physician, to help you.""",some activities can help mitigate the damages to children's brain development.,"in the meantime,","however,"
956,"In this key arrangement, the side down key 104b and the side left key 203b may be a key with two contact points in which key tops are integrated.",the side up key 104a and the side right key 203a may be a key with two contact points in which the key tops are integrated.,"further,","similarly,"
732,"In this example, there's no reason to special case head_node.",for some reason this tends to pop up a lot.,"next,",but
3622,My parents had insisted on staying to the last - their pride wouldn't allow otherwise.,there weren't many ships left.,by then,"though,"
410,"SANDERS: Well, I think that in the middle of a recession, the idea of downsizing the postal service by 200,000 decent-paying jobs makes no sense at all.","we did not go as far as i would have liked, but we did save tens and tens of thousands of jobs.","so,","again,"
4461,"""But I think Barbra's passion for The Normal Heart surpassed all of them put together.""","murphy had entered the picture, introduced to kramer in 2009 by dante di loreto, who works as an executive producer on murphy's tv shows.",by then,"though,"
2694,Bas Vodde is perhaps the official source.,you don't note the difference between iterative and scrum (the 2 parts).,"so,",for example
2764,"The leadership responsibilities were cloudy throughout that awkward season, and the Lakers in the end entirely lacked the unity and spirit of the everyman Detroit Pistons.",bryant didn't and couldn't declare the 2003-04 lakers were his team.,"or,",in other words
2370,"But for now, I'm not willing to give up on the notion that humans can figure out how to live in a more balanced community with the rest of life.","some major reorganization of our world is in order, or, more accurately, is taking hold right now.","ultimately,","though,"
853,"It levels the playing field, price-wise.","that's important for less obvious reasons: the xbox one was already selling reasonably well at $500, if nowhere near ps4 numbers, and that's a relevant point.","obviously,",but
1314,Part 3 seemed like filler to me.,i found change anything to be an insightful and practical guide to making personal changes stick.,"overall,","though,"
1587,[6] almeda sought reconsideration of the city prosecutor's ruling.,"on march 27, 2001 the mtcc where the case was filed dismissed it on the ground that the crime fell within the jurisdiction of the regional trial court.","meantime,","however,"
4735,John Boehner said nothing about that.,what he said was a political message: you don't like what the obama folks are doing.,"so,","basically,"
4323,"Nancy, at one point, apologizes to Ana for using ""torture"" in reference to straightening her hair, when of course the word might pertain to something far more serious in Ana's homeland.","""living out"" more resolutely pursues the disturbing than funny consequences of these uneasy domestic alliances.","ultimately,","though,"
1714,"The session was tense, but Catterson was approved.","the screening committee voted to change its rules so that it could flunk candidates for deficiencies in any one of several categories, including temperament.",afterward,"however,"
515,He's great at comedic acting and this movie is most certainly proof of that!,he seems to be at ease in the parts of the movie where things get a little serious (although nothing can be too serious in this movie!),"although,","still,"
4615,Perhaps this is b/c many of the WS restaurants are not fully owned by Disney?,our server had experience with this type of situation.,"obviously,","though,"
3499,"Instinct had me abandon Highway 9 for on a northwesterly track to Newcastle, Oklahoma.","another ominous looking storm was straight ahead traveling east, so most everyone stopped their cars and waited for the storm to pass before continuing travel.","eventually,","however,"
4527,Cleaning the pool is a never ending battle because the pool is surrounded by all kinds of trees and stuff so leaves constantly fall from these trees into the pool.,"the work is pretty lax, but i stay busy throughout the day.","overall,","however,"
4239,"Thus, the identity of a statement also depends on this' field of use.'",the statement has a peculiar kind of 'repeatable materiality' that distinguishes it from linguistic signs on the one hand and material signs on the other.,"in sum,","then,"
5879,It wasn't until he was dying himself that he confessed.,"his wife, who also got infected with similar kinds of ailments that killed the other women in his office, had died.",by then,"also,"
3230,They like to pound the ball and get vertical.,"they don't want to have any limitations, so that could change a bit this season.",but,on the other hand
5875,Kaguya enlisted the duo in setting her free and sent them to find all the requisite objects for the ritual.,this quest and her search for the celestial robe set kaguya on a collision course with the hanyō inuyasha.,"eventually,","however,"
1553,"Most frequently appearing in maturity and happening on the face, acne rosacea more commonly affects women.",men commonly have more acute cases when they experience the condition.,"interestingly,","however,"
5284,Not cool.,"i've tried the clinique dark spot corrector, used it every day for five months straight and it did absolutely nothing.","anyway,",since then
1938,"However, their massacre of Billy Ocean's When The Going Gets Tough (totally lifeless) is unforgivable!","by request: the hits is very listenable, despite the throwaway songs from the debut album.","overall,","however,"
1237,My SIL regrets getting it done in the first place now.,the fact that the intact men in our family have never had any problems we will keep this lo intact when he gets here.,because of that,and
