"File Number","Explicit Connective","Arg1 Complete","Arg2 Complete","Explicit Sense1","Explicit Sense2"
"wsj_0027","until","Mr. Stronach will direct an effort to reduce overhead and curb capital spending ""","a more satisfactory level of profit is achieved and maintained,"" Magna said.","Temporal.Asynchronous.Precedence",""
"wsj_0027","as","An ambitious expansion has left Magna with excess capacity and a heavy debt load","the automotive industry enters a downturn.","Temporal.Synchronous",""
"wsj_0027","and","Magna recently cut its quarterly dividend in half","the company's Class A shares are wallowing far below their 52-week high of 16.125 Canadian dollars (US$13.73).","Expansion.Conjunction",""
"wsj_0027","with","Magna said Mr. McAlpine resigned to pursue a consulting career,","Magna as one of his clients.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_0029","if","First, they are designed to eliminate the risk of prepayment -- mortgage-backed securities can be retired early","interest rates decline, and such prepayment forces investors to redeploy their money at lower rates.","Contingency.Condition.Arg2-as-cond",""
"wsj_0029","and","Such devices have boosted Japanese investment in mortgage-backed securities to more than 1% of the $900 billion in such instruments outstanding,","their purchases are growing at a rapid rate.","Expansion.Conjunction",""
"wsj_0031","while","The company is operating under Chapter 11 of the federal Bankruptcy Code, giving it court protection from creditors' lawsuits","it attempts to work out a plan to pay its debts.","Temporal.Synchronous",""
"wsj_0034","or","No fewer than 24 country funds have been launched","registered with regulators this year, triple the level of all of 1988, according to Charles E. Simon & Co., a Washington-based research firm.","Expansion.Disjunction",""
"wsj_0034","or","The surge brings to nearly 50 the number of country funds that are","soon will be listed in New York or London.","Expansion.Disjunction",""
"wsj_0034","before","""People are looking to stake their claims"" now","the number of available nations runs out, says Michael Porter, an analyst at Smith Barney, Harris Upham & Co., New York.","Temporal.Asynchronous.Precedence",""
"wsj_0034","and","When the stock market dropped nearly 7% Oct. 13, for instance, the Mexico Fund plunged about 18%","the Spain Fund fell 16%.","Expansion.Conjunction",""
"wsj_0035","unless","But a Soviet bank here would be crippled","Moscow found a way to settle the $188 million debt, which was lent to the country's short-lived democratic Kerensky government before the Communists seized power in 1917.","Contingency.Negative-condition.Arg2-as-negCond",""
"wsj_0035","before","But a Soviet bank here would be crippled unless Moscow found a way to settle the $188 million debt, which was lent to the country's short-lived democratic Kerensky government","the Communists seized power in 1917.","Temporal.Asynchronous.Precedence",""
"wsj_0035","unless","Under a 1934 law, the Johnson Debt Default Act, as amended, it's illegal for Americans to extend credit to countries in default to the U.S. government,","they are members of the World Bank and International Monetary Fund.","Contingency.Negative-condition.Arg2-as-negCond",""
"wsj_0035","until","But the Soviets might still face legal obstacles to raising money in the U.S.","they settle hundreds of millions of dollars in additional debt still outstanding from the World War II lend-lease program.","Temporal.Asynchronous.Precedence",""
"wsj_0036","but","Private construction spending was down,","government building activity was up.","Comparison.Contrast",""
"wsj_0036","but","The figures in both reports were adjusted to remove the effects of usual seasonal patterns,","weren't adjusted for inflation.","Comparison.Contrast",""
"wsj_0036","if","By most measures, the nation's industrial sector is now growing very slowly --","at all.","Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct",""
"wsj_0036","after","The department said orders for nondurable goods -- those intended to last fewer than three years -- fell 0.3% in September to $109.73 billion","climbing 0.9% the month before.","Temporal.Asynchronous.Succession",""
"wsj_0036","after","Orders for durable goods were up 0.2% to $127.03 billion","rising 3.9% the month before.","Temporal.Asynchronous.Succession",""
"wsj_0036","after","Factory shipments fell 1.6% to $234.4 billion","rising 5.4% in August.","Temporal.Asynchronous.Succession",""
"wsj_0036","with","Spending on private, nonresidential construction was off 2.6% to an annual rate of $99.1 billion","no sector showing strength.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_0036","as","The goverment counts money","it is spent; Dodge counts contracts when they are awarded.","Temporal.Synchronous",""
"wsj_0036","when","The goverment counts money as it is spent; Dodge counts contracts","they are awarded.","Temporal.Synchronous",""
"wsj_0036","and","When demand is stronger than suppliers can handle","delivery times lengthen, prices tend to rise.","Expansion.Conjunction",""
"wsj_0036","or","While acknowledging one month's figures don't prove a trend, Mr. Bretz said, ""It does lead you to suspect imports are going down,","at least not increasing that much.""","Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct",""
"wsj_0036","but","Items listed as being in short supply numbered only about a dozen,","they included one newcomer: milk and milk powder.","Comparison.Concession.Arg2-as-denier",""
"wsj_0037","and","Characters drink Salty Dogs, whistle ""Johnny B. Goode""","watch Bugs Bunny reruns.","Expansion.Conjunction",""
"wsj_0037","and","They read Mickey Spillane","talk about Groucho and Harpo.","Expansion.Conjunction",""
"wsj_0037","and","They worry about their careers, drink too much","suffer through broken marriages and desultory affairs.","Expansion.Conjunction",""
"wsj_0037","since","A more recent novel, ""Norwegian Wood"" (every Japanese under 40 seems to be fluent in Beatles lyrics), has sold more than four million copies","Kodansha published it in 1987.","Temporal.Asynchronous.Succession",""
"wsj_0037","and","Their books are written in idiomatic, contemporary language","usually carry hefty dashes of Americana.","Expansion.Conjunction",""
"wsj_0037","and","""Wa"" is Japanese for ""team spirit""","Japanese ballplayers have miles and miles of it.","Expansion.Conjunction",""
"wsj_0037","since","But other than the fact that besuboru is played with a ball and a bat, it's unrecognizable: Fans politely return foul balls to stadium ushers; the strike zone expands depending on the size of the hitter; ties are permitted -- even welcomed --","they honorably sidestep the shame of defeat; players must abide by strict rules of conduct even in their personal lives -- players for the Tokyo Giants, for example, must always wear ties when on the road.","Contingency.Cause.Reason",""
"wsj_0037","when","But other than the fact that besuboru is played with a ball and a bat, it's unrecognizable: Fans politely return foul balls to stadium ushers; the strike zone expands depending on the size of the hitter; ties are permitted -- even welcomed -- since they honorably sidestep the shame of defeat; players must abide by strict rules of conduct even in their personal lives -- players for the Tokyo Giants, for example, must always wear ties","on the road.","Temporal.Synchronous",""
"wsj_0037","and","It's probably true that many salarymen put in unproductive overtime just for the sake of solidarity, that the system is so hierarchical that only the assistant manager can talk to the manager","the manager to the general manager, and that Sony was chary of letting a young, short-term American employee take on any responsibility.","Expansion.Conjunction",""
"wsj_0037","and","It's probably true that many salarymen put in unproductive overtime just for the sake of solidarity, that the system is so hierarchical that only the assistant manager can talk to the manager and the manager to the general manager,","that Sony was chary of letting a young, short-term American employee take on any responsibility.","Expansion.Conjunction",""
"wsj_0037","after","But Sony ultimately took a lesson from the American management books and fired Mr. Katzenstein,","he committed the social crime of making an appointment to see the venerable Akio Morita, founder of Sony.","Temporal.Asynchronous.Succession","Contingency.Cause.Reason"
"wsj_0037","and","Mr. Katzenstein certainly would have learned something,","it's even possible Mr. Morita would have too.","Expansion.Conjunction",""
"wsj_0037","before","In Singapore, a new law requires smokers to put out their cigarettes","entering restaurants, department stores and sports centers or face a $250 fine.","Temporal.Asynchronous.Precedence",""
"wsj_0037","or","In Singapore, a new law requires smokers to put out their cigarettes before entering restaurants, department stores and sports centers","face a $250 fine.","Contingency.Negative-condition.Arg1-as-negCond",""
"wsj_0037","and","Discos and private clubs are exempt from the ban,","smoking will be permitted in bars except during meal hours, an official said.","Expansion.Conjunction",""
"wsj_0037","but","South Korea has opened its market to foreign cigarettes","restricts advertising to designated places.","Comparison.Concession.Arg2-as-denier",""
"wsj_0037","but","The meeting, which is expected to draw 20,000 to Bangkok, was going to be held at the Central Plaza Hotel,","the government balked at the hotel's conditions for undertaking necessary expansion.","Comparison.Concession.Arg2-as-denier",""
"wsj_0037","but","The PLO in recent months has been trying to join international organizations","failed earlier this year to win membership in the World Health Organization and the World Tourism Organization.","Comparison.Concession.Arg2-as-denier",""
"wsj_0037","but","Once the disease was confirmed, all the man's associates and family were tested,","none have so far been found to have AIDS, the newspaper said.","Comparison.Concession.Arg2-as-denier",""
"wsj_0037","and","The Polish government increased home electricity charges by 150%","doubled gas prices.","Expansion.Conjunction",""
"wsj_0037","and","The official news agency PAP said the increases were intended to bring unrealistically low energy charges into line with production costs","compensate for a rise in coal prices.","Expansion.Conjunction",""
"wsj_0037","if","Mr. Nemeth said in parliament that Czechoslovakia and Hungary would suffer environmental damage","the twin dams were built as planned.","Contingency.Condition.Arg2-as-cond",""
"wsj_0037","if","Czechoslovakia said in May it could seek $2 billion from Hungary","the twindam contract were broken.","Contingency.Condition.Arg2-as-cond",""
"wsj_0037","when","A painting by August Strindberg set a Scandinavian price record","it sold at auction in Stockholm for $2.44 million.","Temporal.Synchronous",""
"wsj_0037","with","After years of decline, weddings in France showed a 2.2% upturn last year,","6,000 more couples exchanging rings in 1988 than in the previous year, the national statistics office said.","Expansion.Level-of-detail.Arg2-as-detail",""
"wsj_0039","because","I say ""contained dialogue""","""Sidewalk Stories"" isn't really silent at all.","Contingency.Cause.Reason",""
"wsj_0039","and","Composer Marc Marder, a college friend of Mr. Lane's who earns his living playing the double bass in classical music ensembles, has prepared an exciting, eclectic score that tells you what the characters are thinking","feeling far more precisely than intertitles, or even words, would.","Expansion.Conjunction",""
"wsj_0039","though","Much of Mr. Lane's film takes a highly romanticized view of life on the streets (","probably no more romanticized than Mr. Chaplin's notion of the Tramp as the good-hearted free spirit).","Comparison.Concession.Arg2-as-denier",""
"wsj_0039","when","On Wall Street men and women walk with great purpose, noticing one another","they jostle for cabs.","Temporal.Synchronous","Contingency.Condition.Arg2-as-cond"
"wsj_0039","or","He spends his days sketching passers-by,","trying to.","Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct",""
"wsj_0039","when","The beds at the Bowery Mission seem far drearier","he has to tuck a little girl into one of them at night.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_0039","and","To further load the stakes, Mr. Lane dreamed up a highly improbable romance for the Artist, with a young woman who owns her own children's shop","who lives in an expensive high-rise apartment building.","Expansion.Conjunction",""
"wsj_0039","if","This story line might resonate more strongly","Mr. Lane had as strong a presence in front of the camera as he does behind it.","Contingency.Condition.Arg2-as-cond",""
"wsj_0039","and","The movie ends with sound, the sound of street people talking,","there isn't anything whimsical or enviable in those rough, beaten voices.","Expansion.Conjunction",""
"wsj_0039","because","She became an abortionist accidentally, and continued","it enabled her to buy jam, cocoa and other war-rationed goodies.","Contingency.Cause.Reason",""
"wsj_0039","and","As presented by Mr. Chabrol,","played with thin-lipped intensity by Isabelle Huppert, Marie-Louise (called Marie Latour in the film) was not a nice person.","Expansion.Conjunction",""
"wsj_0039","because","I mention the picture","many bad movies have a bright spot, and this one has Gregory Peck, in a marvelously loose and energetic portrayal of an old man who wants to die the way he wants to die.","Contingency.Cause.Reason",""
"wsj_0041","and","And then this television commercial, paid for by Republican Rudolph Giuliani's campaign","produced by Roger Ailes, the master of negative TV ads, really gets down to business.","Expansion.Conjunction",""
"wsj_0041","and","Mr. Dinkins, the ad charges, also failed to report his campaign contributions accurately, hid his links to a failing insurance company","paid a convicted kidnapper ""through a phony organization with no members, no receipts and no office.""","Expansion.Conjunction",""
"wsj_0041","until","""David Dinkins,"" says the kicker, ""Why does he always wait","he's caught?""","Temporal.Asynchronous.Precedence",""
"wsj_0041","but","Mr. Dinkins did fail to file his income taxes for four years,","he insists he voluntarily admitted the ""oversight"" when he was being considered for a city job.","Comparison.Concession.Arg2-as-denier",""
"wsj_0041","when","Mr. Dinkins did fail to file his income taxes for four years, but he insists he voluntarily admitted the ""oversight""","he was being considered for a city job.","Temporal.Synchronous",""
"wsj_0041","but","He was on the board of an insurance company with financial problems,","he insists he made no secret of it.","Comparison.Concession.Arg2-as-denier",""
"wsj_0041","because","The city's Campaign Finance Board has refused to pay Mr. Dinkins $95,142 in matching funds","his campaign records are incomplete.","Contingency.Cause.Reason",""
"wsj_0041","and","But, say Mr. Dinkins's managers, he did have an office","his organization did have members.","Expansion.Conjunction",""
"wsj_0041","even though","The other side, he argues, ""knows Giuliani has always been pro-choice,","he has personal reservations.","Comparison.Concession.Arg1-as-denier",""
"wsj_0041","but","They know he is generally opposed to cop-killer bullets,","that he had some reservations about the language in the legislation.""","Comparison.Concession.Arg2-as-denier",""
"wsj_0041","and","Then, just as an image of the statue of Thomas Jefferson dissolves from the screen, the announcer continues: ""On the issue of abortion, Marshall Coleman wants to take away your right to choose","give it to the politicians.""","Expansion.Conjunction",""
"wsj_0041","and","The ad prompted Mr. Coleman, the former Virginia attorney general, to launch a series of advertisements created by Bob Goodman","designed to shake Mr. Wilder's support among the very women who were attracted by the abortion ad.","Expansion.Conjunction",""
"wsj_0041","and","The Coleman counterattack featured a close-up of a young woman in shadows","the ad suggested that she was recalling an unpleasant courtroom ordeal.","Expansion.Conjunction",""
"wsj_0041","but","Mr. Wilder did introduce such legislation 17 years ago,","he did so at the request of a constituent, a common legislative technique used by lawmakers.","Comparison.Concession.Arg2-as-denier",""
"wsj_0041","and","The legislation itself noted that it was introduced ""by request,""","in 1983 Mr. Wilder introduced a bill to protect rape victims from unfounded interrogation.","Expansion.Conjunction",""
"wsj_0041","and","""People have grown tired of these ads","Coleman has gotten the stigma of being a negative campaigner,"" says Mark Rozell, a political scientist at Mary Washington College.","Expansion.Conjunction",""
"wsj_0041","and","""Wilder has managed to get across the idea that Coleman will say anything to get elected governor","-- more important -- has been able to put the onus for all the negative campaigning on Coleman.""","Expansion.Conjunction",""
"wsj_0041","but","Mr. Coleman said this week that he would devote the remainder of the political season to positive campaigning,","the truce lasted only hours.","Comparison.Concession.Arg2-as-denier",""
"wsj_0041","when","The attacks began","Democratic Rep. James Florio aired an ad featuring a drawing of Pinocchio and a photograph of Mr. Florio's rival, Republican Rep. Jim Courter.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_0041","and","Pictures of rusted oil drums swim into focus,","the female voice purrs, ""That hazardous waste on his {Mr.
Courter's} property -- the neighbors are suing for consumer fraud.""","Expansion.Conjunction",""
"wsj_0041","because","""Florio's lying,"" the voice goes on,","""the barrel on Courter's land . . . contained heating oil, was cleaned up and caused no pollution.""","Contingency.Cause.Reason",""
"wsj_0041","while","Mr. Courter's long nose shrinks","Mr. Florio's grows.","Temporal.Synchronous",""
"wsj_0041","but","Barrels were dumped on the Courter property, a complaint was made,","there is no evidence the barrels were a serious threat to the environment.","Comparison.Concession.Arg2-as-denier",""
"wsj_0041","because","Even so, according to Mr. Salmore, the ad was ""devastating""","it raised questions about Mr. Courter's credibility.","Contingency.Cause.Reason",""
"wsj_0043","and","But Japan's power in the region also is sparking fears of domination","posing fresh policy questions.","Expansion.Conjunction",""
"wsj_0043","and","Asia's other cash-rich countries are following Japan's lead","pumping capital into the region.","Expansion.Manner.Arg2-as-manner",""
"wsj_0043","but","These nations, known as Asia's ""little tigers,"" also are contributing to Southeast Asia's integration,","their influence will remain subordinate to Japan's.","Comparison.Concession.Arg2-as-denier",""
"wsj_0043","as","In the coming decade, analysts say, U.S.-Japanese relations will be tested","Tokyo comes to terms with its new status as the region's economic behemoth.","Temporal.Synchronous","Contingency.Cause.Reason"
"wsj_0043","although","Japan not only outstrips the U.S. in investment flows but also outranks it in trade with most Southeast Asian countries (","the U.S. remains the leading trade partner for all of Asia).","Comparison.Concession.Arg2-as-denier",""
"wsj_0043","and","""No one wants the U.S. to pick up its marbles","go home,"" Mr. Hormats says.","Expansion.Conjunction",""
"wsj_0044","but","She had seen cheating before,","these notes were uncanny.","Comparison.Concession.Arg2-as-denier",""
"wsj_0044","when","The Senate-House conference committee is used","a bill is passed by the House and Senate in different forms.""","Contingency.Condition.Arg2-as-cond",""
"wsj_0044","and","She had gone so far as to display the questions on an overhead projector","underline the answers.","Expansion.Conjunction",""
"wsj_0044","and","She was an unstinting teacher who won laurels","inspired students, but she will probably never teach again.","Expansion.Conjunction",""
"wsj_0044","but","She was an unstinting teacher who won laurels and inspired students,","she will probably never teach again.","Comparison.Concession.Arg2-as-denier",""
"wsj_0044","and","In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer; of colleagues who say she brought them shame; of students and parents who defended her","insist she was treated harshly; and of school-district officials stunned that despite the bald-faced nature of her actions, she became something of a local martyr.","Expansion.Conjunction",""
"wsj_0044","and","Mrs. Yeargin's case also casts some light on the dark side of school reform, where pressures on teachers are growing","where high-stakes testing has enhanced the temptation to cheat.","Expansion.Conjunction",""
"wsj_0044","because","The group says standardized achievement test scores are greatly inflated","teachers often ""teach the test"" as Mrs. Yeargin did, although most are never caught.","Contingency.Cause.Reason",""
"wsj_0044","as","The group says standardized achievement test scores are greatly inflated because teachers often ""teach the test""","Mrs. Yeargin did, although most are never caught.","Comparison.Similarity",""
"wsj_0044","although","The group says standardized achievement test scores are greatly inflated because teachers often ""teach the test"" as Mrs. Yeargin did,","most are never caught.","Comparison.Concession.Arg2-as-denier",""
"wsj_0044","and","By using them, teachers -- with administrative blessing -- telegraph to students beforehand the precise areas on which a test will concentrate,","sometimes give away a few exact questions and answers.","Expansion.Conjunction",""
"wsj_0044","or","Under the state's Education Improvement Act, low test scores can block students' promotions","force entire districts into wrenching, state-supervised ""interventions"" that can mean firings.","Expansion.Disjunction",""
"wsj_0044","although","Since the reforms went in place, for example, no state has posted a higher rate of improvement on the Scholastic Aptitude Test than South Carolina,","the state still posts the lowest average score of the about 21 states who use the SAT as the primary college entrance examination.","Comparison.Concession.Arg2-as-denier",""
"wsj_0044","by","Critics say South Carolina is paying a price","stressing improved test scores so much.","Contingency.Cause.Reason",""
"wsj_0044","and","Says the organization's founder, John Cannell, prosecuting Mrs. Yeargin is ""a way for administrators to protect themselves","look like they take cheating seriously, when in fact they don't take it seriously at all.""","Expansion.Manner.Arg2-as-manner",""
"wsj_0044","and","""Crime was awful, test scores were low,","there was no enrollment in honors programs.""","Expansion.Conjunction",""
"wsj_0044","and","While Mrs. Ward fired and restructured staff","struggled to improve curriculum, Mrs. Yeargin worked 14-hour days and fast became a student favorite.","Expansion.Conjunction",""
"wsj_0044","and","While Mrs. Ward fired and restructured staff and struggled to improve curriculum, Mrs. Yeargin worked 14-hour days","fast became a student favorite.","Expansion.Conjunction",""
"wsj_0044","and","She won grant money for the school, advised cheerleaders, ran the pep club, proposed and taught a new ""Cultural Literacy"" class in Western Civilization","was chosen by the school PTA as ""Teacher of the Year.""","Expansion.Conjunction",""
"wsj_0044","and","She says that because of Mrs. Yeargin she gave up ambitions in architecture","is studying to become a teacher.","Expansion.Conjunction",""
"wsj_0044","by","In the classroom, students say, Mrs. Yeargin distinguished herself","varying teaching approaches -- forcing kids to pair up to complete classroom work or using college-bowl type competitions.","Expansion.Manner.Arg2-as-manner",""
"wsj_0044","or","In the classroom, students say, Mrs. Yeargin distinguished herself by varying teaching approaches -- forcing kids to pair up to complete classroom work","using college-bowl type competitions.","Expansion.Disjunction",""
"wsj_0044","or","On weekends, she came to work to prepare study plans","sometimes, even to polish the furniture in her classroom.","Expansion.Disjunction",""
"wsj_0044","so","Mary Elizabeth Ariail, another social-studies teacher, says she believed Mrs. Yeargin wanted to keep her standing high","she could get a new job that wouldn't demand good hearing.","Contingency.Purpose.Arg2-as-goal",""
"wsj_0044","but","Mrs. Yeargin admits she made a big mistake","insists her motives were correct.","Comparison.Concession.Arg2-as-denier",""
"wsj_0044","from","Mostly, she says, she wanted to prevent the damage to self-esteem that her low-ability students would suffer","doing badly on the test.","Contingency.Cause.Reason","Contingency.Condition.Arg2-as-cond"
"wsj_0044","and","""A whole day goes by","no one even knows they're alive.","Expansion.Conjunction",""
"wsj_0044","although","They found students in an advanced class a year earlier who said she gave them similar help,","because the case wasn't tried in court, this evidence was never presented publicly.","Comparison.Concession.Arg2-as-denier",""
"wsj_0044","and","""We work damn hard at what we do for damn little pay,","what she did cast unfair aspersions on all of us.""","Expansion.Conjunction",""
