id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
20,and,then,"In Malaysia, Siti Zaharah Sulaiman, a deputy minister in the prime minister's office, launched a ""No-Smoking Week"" at the Mara Institute of Technology near Kuala Lumpur",urged other schools to ban on-campus smoking.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
21,and,then,An official of the Palestinian Olympic Committee said the committee first applied for membership in 1979,renewed its application in August of this year.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
22,and,so,"He has a point he wants to make,","he makes it, with a great deal of force.",Expansion.Conjunction,Contingency.Cause.Result
23,and,then,"She became an abortionist accidentally,","continued because it enabled her to buy jam, cocoa and other war-rationed goodies.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
24,and,because of that,She was untrained,", in one botched job killed a client.",Expansion.Conjunction,Contingency.Cause.Result
25,and,specifically,"I mention the picture only because many bad movies have a bright spot,","this one has Gregory Peck, in a marvelously loose and energetic portrayal of an old man who wants to die the way he wants to die.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
26,and,therefore,"The discussions are still in preliminary stages,","the specific details haven't been worked out between the Seattle aerospace company and Kawasaki Heavy Industries Ltd., Mitsubishi Heavy Industries Ltd. and Fuji Heavy Industries Ltd.",Expansion.Conjunction,Contingency.Cause.Result
27,and,then,"A trend that started with the first stirrings of politics, accelerated with the dawn of the television age","became a sometimes-tawdry art form in 1988, has reached an entirely new stage.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
28,and,specifically,"""To get people's attention these days,"" says Douglas Bailey, a political consultant, ""your TV ad needs to be bold and entertaining,",", more often than not, that means confrontational.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
29,and,thus,"""Florio's lying,"" the voice goes on, because ""the barrel on Courter's land . . . contained heating oil, was cleaned up","caused no pollution.""",Expansion.Conjunction,Contingency.Cause.Result
30,and,thus,"For recipient countries such as Thailand and Malaysia, the investment will provide needed jobs",spur growth.,Expansion.Conjunction,Contingency.Cause.Result
31,and,then,"In electronics, for example, a Japanese company might make television picture tubes in Japan, assemble the sets in Malaysia",export them to Indonesia.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
32,and,thus,"""They don't want Japan to monopolize the region","sew it up,"" says Chong-sik Lee, professor of East Asian politics at the University of Pennsylvania.",Expansion.Conjunction,Contingency.Cause.Result
33,and,then,Mrs. Yeargin was fired,prosecuted under an unusual South Carolina law that makes it a crime to breach test security.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
34,and,as a result,"In September, she pleaded guilty",paid a $500 fine.,Expansion.Conjunction,Contingency.Cause.Result
35,and,in contrast,In her wake she left the bitterness and anger of a principal who was her friend,"now calls her a betrayer; of colleagues who say she brought them shame; of students and parents who defended her and insist she was treated harshly; and of school-district officials stunned that despite the bald-faced nature of her actions, she became something of a local martyr.",Expansion.Conjunction,Comparison.Contrast
36,and,thus,"Mrs. Ward resolved to clean out ""deadwood"" in the school's faculty","restore safety, and she also had some new factors working in her behalf.",Expansion.Conjunction,Contingency.Cause.Result
37,and,thus,"One was statewide school reform, which raised overall educational funding",ushered in a new public spirit for school betterment.,Expansion.Conjunction,Contingency.Cause.Result
38,and,then,"In 1986-87 and 1987-88, she applied for",won bonus pay under the reform law.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
39,and,then,"When test booklets were passed out 48 hours ahead of time, she says she copied questions in the social studies section",gave the answers to students.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
40,and,by doing so,She says she offered Mrs. Yeargin a quiet resignation,thought she could help save her teaching certificate.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
41,and,then,"""It's as if France decided to give only French history questions to students in a European history class,","when everybody aces the test, they say their kids are good in European history,"" says John Cannell, an Albuquerque, N.M., psychiatrist and founder of an educational research organization, Friends for Education, which has studied standardized testing.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
42,and,as a result,"Giant Group is led by three Rally's directors, Burt Sugarman, James M. Trotter III and William E. Trotter II, who earlier this month indicated they had a 42.5% stake in Rally's",planned to seek a majority of seats on Rally's nine-member board.,Expansion.Conjunction,Contingency.Cause.Result
43,and,thus,Filling out detailed forms about these individuals would tip the IRS off,"spark action against the clients, he said.",Expansion.Conjunction,Contingency.Cause.Result
44,and,then,But they have obtained 8300 forms without court permission,used the information to help develop criminal cases.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
45,and,so,"In his lawsuit, Mr. Trudeau says the strike illegally included Darkhorse,",the cartoonist refused to honor the strike against the company.,Expansion.Conjunction,Contingency.Cause.Result
46,and,therefore,He said disciplinary proceedings are confidential,declined to comment on whether any are being held against Mr. Trudeau.,Expansion.Conjunction,Contingency.Cause.Result
47,and,as a result,"Mr. Samnick, who will go before the disciplinary panel, said the proceedings are unfair",that any punishment from the guild would be unjustified.,Expansion.Conjunction,Contingency.Cause.Result
48,and,then,"In both cases, NEC lost the contract to Fujitsu, which made the same bid",won a tie-breaking lottery.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
49,and,as a result,All the contracts were for computer-system-design contracts,involved no hardware or software.,Expansion.Conjunction,Contingency.Cause.Result
50,and,as a result,"""This is a company that has invested in capacity additions more aggressively than any other company in the industry and now the industry is growing more slowly","they are suddenly poorly positioned,"" said Michael Stark, chip analyst at Robertson, Stephens & Co.",Expansion.Conjunction,Contingency.Cause.Result
51,and,specifically,Some dealers said the dollar was pressured slightly because a number of market participants had boosted their expectations in the past day,"were looking for an index above 50, which indicates an expanding manufacturing economy.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
52,and,as a result,"But the ratings are considerably below expectations,",some stations say they may not buy new episodes when their current contracts expire.,Expansion.Conjunction,Contingency.Cause.Result
53,and,therefore,"Neil Kuvin, the general manager of WHAS, the CBS affiliate in Louisville, says ""Cosby"" gets the station's highest ratings","he's ""pleased.""",Expansion.Conjunction,Contingency.Cause.Result
54,and,therefore,"The first two issues featured ads from only a handful of big advertisers, including General Electric and Adolph Coors, but the majority were from companies like Waste Management Inc. and Bumkins International, firms that don't spend much money advertising",can't be relied on to support a magazine over the long haul.,Expansion.Conjunction,Contingency.Cause.Result
55,and,then,"Interpublic is providing the programming in return for advertising time, which it said will be valued at more than $75 million in 1990",$150 million in 1991.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
56,and,then,"Sea Containers, a Hamilton, Bermuda-based shipping concern, said Tuesday that it would sell $1.1 billion of assets",use some of the proceeds to buy about 50% of its common shares for $70 apiece.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
57,and,thereby,"Temple, however, harshly criticized Sea Containers' plan yesterday, characterizing it as a ""highly conditional device designed to entrench management, confuse shareholders","prevent them from accepting our superior cash offer.""",Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
58,and,as a result,"Giant Group is led by three Rally's directors, Burt Sugarman, James M. Trotter III and William E. Trotter II, who last month indicated they hold a 42.5% stake in Rally's",plan to seek a majority of seats on Rally's nine-member board.,Expansion.Conjunction,Contingency.Cause.Result
59,and,as a result,"""This is the peak of my wine-making experience,"" Mr. Winiarski declared when he introduced the wine at a dinner in New York, ""","I wanted to single it out as such.""",Expansion.Conjunction,Contingency.Cause.Result
60,and,as a result,"The classics have zoomed in price to meet the competition,","it almost seems that there's a race on to come up with the priciest single bottle, among current releases from every major wine region on the globe.",Expansion.Conjunction,Contingency.Cause.Result
61,and,as a result,"""There may be sticker-shock reaction initially,"" said Mr. Pratt, ""but as the wine is talked about","starts to sell, they eventually get excited and decide it's worth the astronomical price to add it to their collection.""",Expansion.Conjunction,Contingency.Cause.Result
62,and,as a result,"""There may be sticker-shock reaction initially,"" said Mr. Pratt, ""but as the wine is talked about and starts to sell, they eventually get excited","decide it's worth the astronomical price to add it to their collection.""",Expansion.Conjunction,Contingency.Cause.Result
63,and,as a result,Producers have seen this market opening up,"they're now creating wines that appeal to these people.""",Expansion.Conjunction,Contingency.Cause.Result
64,and,as a result,Integra-A Hotel & Restaurant Co. said its planned rights offering to raise about $9 million was declared effective,the company will begin mailing materials to shareholders at the end of this week.,Expansion.Conjunction,Contingency.Cause.Result
65,and,then,to be auctioned Tuesday,"to mature Nov. 15, 1992",Expansion.Conjunction,Temporal.Asynchronous.Precedence
66,and,then,to be auctioned Wednesday,"to mature Nov. 15, 1999",Expansion.Conjunction,Temporal.Asynchronous.Precedence
67,and,then,to be auctioned Thursday,"to mature Aug. 15, 2019",Expansion.Conjunction,Temporal.Asynchronous.Precedence
68,and,instead,Georgia Gulf rebuffed that offer in September,said it would study other alternatives.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
69,and,then,"Now, he said, the group plans to put in ""several hundred million"" dollars in equity",finance the remainder with bank debt.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
70,and,as a result,"The management group owns about 18% of the stock, most purchased at nominal prices,",would stand to gain millions of dollars if the company were sold.,Expansion.Conjunction,Contingency.Cause.Result
71,and,therefore,"Hudson General, which provides maintenance, fueling and other services to airlines and airports, reported a loss for its most recent fiscal year",last month omitted the semiannual dividend on its common shares.,Expansion.Conjunction,Contingency.Cause.Result
72,and,therefore,"Many banks, particularly smaller ones, were slow to computerize",couldn't target market niches that would have made the programs more profitable.,Expansion.Conjunction,Contingency.Cause.Result
73,and,then,"""It's not easy to roll out something that comprehensive,","make it pay,"" Mr. Jacob says.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
74,and,specifically,"The program-trading issue is heating up on Capitol Hill as it is on Wall Street,",several legislators want to grant the SEC the power to shut off the programs when trading becomes too volatile.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
75,and,as a result,"That response annoyed Rep. Markey, House aides said,",the congressman snapped back that there had been enough studies of the issue and that it was time for action on the matter.,Expansion.Conjunction,Contingency.Cause.Result
76,and,therefore,"That response annoyed Rep. Markey, House aides said, and the congressman snapped back that there had been enough studies of the issue",that it was time for action on the matter.,Expansion.Conjunction,Contingency.Cause.Result
77,and,so,"""We've tried to train the youngsters, but they have their discos and their dances,","they just drift away.""",Expansion.Conjunction,Contingency.Cause.Result
78,and,therefore,"One writer, signing his letter as ""Red-blooded, balanced male,"" remarked on the ""frequency of women fainting in peals,""","suggested that they ""settle back into their traditional role of making tea at meetings.""",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
79,and,then,"The S&P index started sliding in price in September 1976,",fell 12% in 1977 -- despite a 15% expansion in dividends that year.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
80,and,as a result,Stockholders who took the hint,sold shares escaped the October debacle.,Expansion.Conjunction,Contingency.Cause.Result
81,and,therefore,China was the real victim,"it is unjust to reprove China for it.""",Expansion.Conjunction,Contingency.Cause.Result
82,and,then,"Several times, Chinese guards have pointed their automatic rifles at young children of U.S. diplomats",clicked the trigger.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
83,and,instead,Mr. Whelen denied the firm had sold securities at unfair prices,suggested that the examination practices of the NASD need improvement.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
84,without,but,"The following were barred or, where noted, suspended and consented to findings","admitting or denying wrongdoing: Edward L. Cole, Jackson, Miss., $10,000 fine; Rita Rae Cross, Denver, $2,500 fine and 30-day suspension; Thomas Richard Meinders, Colorado Springs, Colo., $2,000 fine, five-day suspension and eight-month suspension as a principal; Ronald A. Cutrer, Baton Rouge, La., $15,000 fine and one-month suspension; Karl Grant Hale, Midvale, Utah, $15,000 fine; Clinton P. Hayne, New Orleans, $7,500 fine and one-week suspension; Richard M. Kane, Coconut Creek, Fla., $250,000 fine; John B. Merrick, Aurora, Colo., $1,000 fine and 10-day suspension; John P. Miller, Baton Rouge, $2,000 fine and two-week suspension; Randolph K. Pace, New York, $10,000 fine and 90-day suspension; Brian D. Pitcher, New Providence, N.J., $30,000 fine; Wayne A. Russo, Bridgeville, Pa., $4,000 fine and 15-day suspension; Orville Leroy Sandberg, Aurora, Colo., $3,500 fine and 10-day suspension; Richard T. Marchese, Las Vegas, Nev., $5,000 and one-year suspension; Eric G. Monchecourt, Las Vegas, $5,000 and one-year suspension; and Robert Gerhard Smith, Carson City, Nev., two-year suspension.",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
85,and,as a result,"First, the trading is done over the counter",isn't reported on either the U.S. or London stock trading tapes.,Expansion.Conjunction,Contingency.Cause.Result
86,and,as a result,"Advocates said the 90-cent-an-hour rise, to $4.25 an hour by April 1991, is too small for the working poor, while opponents argued that the increase will still hurt small business",cost many thousands of jobs.,Expansion.Conjunction,Contingency.Cause.Result
87,and,then,"Employers can pay the subminimum for 90 days, without restriction, to workers with less than six months of job experience,",for another 90 days if the company uses a government-certified training program for the young workers.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
88,and,as a result,"The agreement on Poland contrasts with the major differences remaining over the underlying foreign aid bill, which has already provoked veto threats by the White House",is sharply confined under this year's budget.,Expansion.Conjunction,Contingency.Cause.Result
89,and,so,"The potential sales are nearly $9.3 million,","House Majority Whip William Gray (D., Pa.) began the bidding this year by proposing language that the quota be allocated to English-speaking countries of the Caribbean, such as Jamaica and Barbados.",Expansion.Conjunction,Contingency.Cause.Result
90,and,then,An exhibition of American design and architecture opened in September in Moscow,will travel to eight other Soviet cities.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
91,and,as a result,"The Labor Department cited USX Corp. for numerous health and safety violations at two Pennsylvania plants,","proposed $7.3 million in fines, the largest penalty ever proposed for alleged workplace violations by an employer.",Expansion.Conjunction,Contingency.Cause.Result
92,and,therefore,"Of the approximately 200 sponsors of the recent march in Washington for the homeless, you chose to cite such groups as the National Association of Home Builders and the International Union of Bricklayers and Allied Craftsmen, insinuating that the march got its major support from self-serving groups that ""know a good thing when they see it,""",that the crusade was based on greed or the profit motive.,Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
93,and,then,"Choose 203 business executives, including, perhaps, someone from your own staff,","put them out on the streets, to be deprived for one month of their homes, families and income.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
94,and,so,The theory was that the Voice is a propaganda agency,this government shouldn't propagandize its own people.,Expansion.Conjunction,Contingency.Cause.Result
95,and,then,"if I tune in my short-wave radio, transcribe an editorial or program,",print it in my newspaper,Expansion.Conjunction,Temporal.Asynchronous.Precedence
96,and,as a result,"For example, Campbell is a distant third in the U.K. frozen foods market, where it recently paid 24 times earnings for Freshbake Foods PLC",wound up with far more capacity than it could use.,Expansion.Conjunction,Contingency.Cause.Result
97,and,as a result,"But analysts said early results from the reorganization have been disappointing, especially in Europe,",there were signs that the board became impatient.,Expansion.Conjunction,Contingency.Cause.Result
98,and,so,"The company's prepared statement quoted him as saying, ""The CEO succession is well along","I've decided for personal reasons to take early retirement.""",Expansion.Conjunction,Contingency.Cause.Result
99,and,as a result,Mr. Mehta is widely viewed as a brilliant editor but a less-than-brilliant administrator,his own departure was rumored recently.,Expansion.Conjunction,Contingency.Cause.Result
100,and,then,"If a veto is unworkable because it would leave part of the executive branch unfunded, the president could sign the appropriations bills into law","assert a power of excision, declaring the rider restricting his Article II powers to be unconstitutional and severable.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
101,and,as a result,"Net cash income -- the amount left in farmers' pockets after deducting expenses from gross cash income -- increased in 33 states in 1988, as the drought cut into crop yields","drove up commodity prices, the department's Economic Research Service reported yesterday.",Expansion.Conjunction,Contingency.Cause.Result
102,and,so,"Los Angeles is a sprawling, balkanized newspaper market,","advertisers seemed to feel they could buy space in the mammoth Times, then target a particular area with one of the regional dailies.",Expansion.Conjunction,Contingency.Cause.Result
103,then,and,"Los Angeles is a sprawling, balkanized newspaper market, and advertisers seemed to feel they could buy space in the mammoth Times,",target a particular area with one of the regional dailies.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
104,and,at the same time,"Further, the Herald seemed torn editorially between keeping its old-time Hearst readership -- blue-collar and sports-oriented --","trying to provide a sprightly, upscale alternative to the sometimes staid Times.",Expansion.Conjunction,Temporal.Synchronous
105,and,in general,"""Actually, the long deterioration in daily newspapers shows signs of coming to an end,","the industry looks pretty healthy.""",Expansion.Conjunction,Expansion.Level-of-detail.Arg1-as-detail
106,and,as a result,"Robert J. Danzig, vice president and general manager of Hearst Newspapers, stood up in the paper's newsroom yesterday and announced that no buyers had stepped forward","that the paper would fold, putting more than 730 full-time employees out of work.",Expansion.Conjunction,Contingency.Cause.Result
107,and,yet,"""I'm doing the main story,","I'm already two beers drunk,"" said reporter Andy Furillo, whom the Times hired away several years ago but who returned to the Herald out of preference.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
108,and,then,"They have begun sending letters explaining the program, which began Oct. 18","will end Dec. 18, to about five million card holders.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
109,and,thus,As many as 70 U.K. and international banks stand to lose several hundred million pounds should the decision be upheld,set a precedent for other municipalities.,Expansion.Conjunction,Contingency.Cause.Result
110,and,therefore,The real battle is over who will control that market,reap its huge rewards.,Expansion.Conjunction,Contingency.Cause.Result
111,and,so,"Critics like Mr. Murray ""are looking for witches,","people who use computers to trade are a convenient boogieman,"" says J. Thomas Allen, president of Advanced Investment Management Inc., a Pittsburgh firm that runs a $200 million fund that uses index arbitrage.",Expansion.Conjunction,Contingency.Cause.Result
112,and,then,"When it occurs, the traders place orders via computers to buy the basket of stocks (such as the 500 stocks that constitute the Standard & Poor's 500 stock index) in whichever market is cheaper",sell them in the more expensive market; they lock in the difference in price as profit.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
113,and,so,"Many arbs are ""overleveraged,"" she says,","they ""have to sell when things look like they fall apart.""",Expansion.Conjunction,Contingency.Cause.Result
114,and,as a result,"""The buyers walk away,","the specialist is left alone"" as the buyer of last resort for his stable of stocks, he contends.",Expansion.Conjunction,Contingency.Cause.Result
115,and,then,"For example, stock-index futures began trading in Chicago in 1982,",within two years they were the fastest-growing futures contract ever launched.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
116,and,so,"Program trading is here to stay, and computers are here to stay,","we just need to understand it.""",Expansion.Conjunction,Contingency.Cause.Result
117,but,instead,"Volatility surrounding his trades occurs not because of index arbitrage,",because his is a large addition or subtraction to a widget market with finite liquidity.,Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
118,and,so,"The ultimate goal of any investor is a profit motive,",regulators should not concern themselves with whether investors are sufficiently focused on the long term.,Expansion.Conjunction,Contingency.Cause.Result
119,and,yet,"Almost all new regulation is introduced in the interests of protecting the little guy,",he invariably is the one least able to cope with its consequences.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
120,and,in contrast,"Cost-effective index funds just aren't sexy enough to justify the high fees and commissions that retail customers frequently pay,",that institutional customers refuse to pay.,Expansion.Conjunction,Comparison.Contrast
121,but,instead,"""When you do that, there is not a cut,","there is in fact a program increase of $5 million"" each for the FTC and the Justice Department, Rep. Neal Smith (D., Iowa) said during House debate.",Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
122,and,as a result,"The antitrust staffs of both the FTC and Justice Department were cut more than 40% in the Reagan administration,",enforcement of major merger cases fell off drastically during that period.,Expansion.Conjunction,Contingency.Cause.Result
123,and,then,"Currently a $300 million-a-year business, 900 telephone service is expected to hit $500 million next year","near $2 billion by 1992 as uses for the service continue to expand, says Joel Gross of Donaldson, Lufkin & Jenrette Inc.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
124,and,in particular,"Program trading is ""a racket,"" complains Edward Egnuss, a White Plains, N.Y., investor and electronics sales executive, ""","it's not to the benefit of the small investor, that's for sure.""",Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
125,and,therefore,And surprising numbers of small investors seem to be adapting to greater stock market volatility,say they can live with program trading.,Expansion.Conjunction,Contingency.Cause.Result
126,and,so,"He adds that his shares in a company savings plan are invested in a mutual fund,","volatility, on a given day, may hurt the fund.",Expansion.Conjunction,Contingency.Cause.Result
127,and,as a result,"Mr. van Dover said the AT&T team created the desired crystal changes by bombarding superconductor samples with neutrons, a process that creates some radioactivity in the samples",may not be feasible for large-scale commercial use.,Expansion.Conjunction,Contingency.Cause.Result
128,and,as a result,"But voters decided that if the stadium was such a good idea someone would build it himself,",rejected it 59% to 41%.,Expansion.Conjunction,Contingency.Cause.Result
129,and,as a result,"""The recent disarray in the junk bond market suggests that brokers may become longer-term creditors than they anticipated","may face long delays"" in getting their money back, says Jeffrey Bowman, a vice president at S&P, which raised a warning flag for the industry in April when it downgraded CS First Boston.",Expansion.Conjunction,Contingency.Cause.Result
130,and,thus,"Merchant banking, where firms commit their own money, ""is getting riskier,","there's less of it to go around.""",Expansion.Conjunction,Contingency.Cause.Result
131,and,thus,The concept's goal was to eliminate bureaucracy,make Ford's product development more responsive to consumer demands.,Expansion.Conjunction,Contingency.Cause.Result
132,and,subsequently,The drug was approved by the Food and Drug Administration,"marketed by some 300 pharmaceutical companies, often under generic labels.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
133,and,therefore,"Courts made the assumption that all DES pills were essentially the same,",created a market-share test so that damages would be assessed against drug makers in the proportion of their share of the original sales.,Expansion.Conjunction,Contingency.Cause.Result
134,and,as a result,"However well intentioned, food transfers have the habit of growing larger",wrecking the market incentives for the recipient country's own farmers.,Expansion.Conjunction,Contingency.Cause.Result
135,and,in contrast,"Analysts said the fall in pretax profit was due to the group's recent restructuring and sale of peripheral units,",that its remaining businesses are performing well.,Expansion.Conjunction,Comparison.Contrast
136,and,subsequently,The company said local authorities held hearings on the allegations last spring,"had returned the plant to ""routine inspection"" in August.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
137,and,as a result,"""The company does not feel that it or any of the individuals violated any criminal statute","the company expects full vindication in court.""",Expansion.Conjunction,Contingency.Cause.Result
138,and,as a result,"A $107.03 million offering of Santa Ana Community Redevelopment Agency, Calif., tax allocation bonds got off to a slow start","may be repriced at lower levels today, according to an official with lead underwriter Donaldson Lufkin & Jenrette Securities Corp.",Expansion.Conjunction,Contingency.Cause.Result
139,and,then,"Also, the reforms allow the Big Board to halt trading for one hour if the Dow Jones Industrial Average falls 250 points,",for two more hours if the Dow slides an additional 150 points on the same day.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
140,and,as a result,Takeover stock traders were puzzled by the Reliance filing,cautioned that it doesn't mean Mr. Steinberg will definitely seek control.,Expansion.Conjunction,Contingency.Cause.Result
141,and,then,"Reliance acquired a 7% UAL stake early this year at an average cost of $110 a share,",reduced its stake to 4.7% after UAL accepted the bid at prices higher than $282 a share.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
142,and,as a result,"The filing adds a new twist to market speculation that Coniston Partners, a New York money manager, has bought more than 5% of UAL stock",may challenge the UAL board's decision last week to remain independent.,Expansion.Conjunction,Contingency.Cause.Result
143,and,as a result,The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2%,may help prevent Martin Ackerman from making a run at the computer-services concern.,Expansion.Conjunction,Contingency.Cause.Result
144,and,as a result,"Still, he added, if the industrial sector remains relatively stable, Rockwell should be able to recover in the second half",about equal fiscal 1989's operating profit of $630.9 million.,Expansion.Conjunction,Contingency.Cause.Result
145,and,specifically,Mr. Beall said that he was generally pleased with the latest numbers,cited a particularly strong showing by the company's electronics segment.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
146,and,so,"""Producers were granted the right earlier this year to ship sugar","the export licenses were expected to have begun to be issued"" yesterday.",Expansion.Conjunction,Contingency.Cause.Result
147,and,yet,"""It's the type of nervous atmosphere in which a report can be put out, such as the one saying exports will be suspended,","no one can confirm it.""",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
148,and,for example,This year it is expected to be a net importer,"is said to be seeking to buy about 200,000 tons of sugar to meet internal needs, analysts said.",Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
149,and,in particular,"Buying for the most part carried over from the previous session,","traders apparently ignored reports that a Chilean mine strike may have ended almost before it began, an analyst said.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
150,and,instead,"However, some workers haven't yet accepted the new contract","are continuing negotiations, the analyst said.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
151,and,instead,"No successor was named,","Mr. Reupke's duties will be split among three other senior Reuters executives, the company said.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
