id,dm1,dm2,sentence1,sentence2,Explicit Sense1,Implicit Sense1
2437,"in turn,","however,",I hope it is clear that we take this seriously.,this gives us all the more cause to celebrate joyously.,,
647,and,so,"I've got limited production,","I can't give it to underperformers.""",Expansion.Conjunction,Contingency.Cause.Result
1286,and,then,"When she isn't performing for an audience, she prepares for a song by removing the wad of gum from her mouth,",indicates that she's finished by sticking the gum back in.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2847,"later,","however,","simply by the method of a ""reasonable guess"", i decided to redo the editing with less contrast and saturation boost.",i have discovered for myself a pretty simple method of noise reduction especially suitable for the skies.,,
1651,and,then,"It all seemed innocent enough: Last April, one Steven B. Iken visited Justin Products Inc. here, identified himself as a potential customer",got the word on the little company's new cassette players for children.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2706,"in sum,",therefore,"using this approach, we demonstrate 3d structure recovery from 2d diffraction snapshots of unknown orientation at computational complexities four orders of magnitude higher than hitherto possible [22, 23].",our approach offers a powerful route to recovering structure and dynamics (3d movies) from ultralow-signal snapshots with no orientational or timing information.,,
538,and,as a result,"""People have been seeing headline after headline after headline","saying: `I can't take it anymore -- I'm getting out, '"" says Kurt Brouwer of Brouwer & Janachowski, a San Francisco investment adviser.",Expansion.Conjunction,Contingency.Cause.Result
1005,and,then,"The company's shares began trading at 12 1/2, up from its initial offering price of 12,",closed at 13.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2050,and,"finally,","therefore, just as in marriage or parenthood, you must be willing to be somewhat flexible and sincerely committed to responding, responsibly, to deviations from your expectations.","while doing some research on weight pulling, i came across a great, practical, primer/warning, by amy gerson, on what life with dogs can be like.",,
2347,"basically,","though,","As such, I really enjoyed Andrew Peterson's piece on the recent tour.",i always end up inspired and hopeful after everything ap writes--he has a gift.,,
2508,"specifically,",for example,These rings may contain pertrusions thereon to permit the aligning of holes to occur.,"there can be selected substrates with porous metal disks, or porous metal slots available from the mott metallurgical corporation.",,
1073,and,thus,"Once the price reaches that level, a stop order turns into a market order,",the order is filled at whatever price the broker can get.,Expansion.Conjunction,Contingency.Cause.Result
801,and,as a result,"In August, the company warned investors that the acquisition was being delayed,",many customers were holding off on purchase decisions until the takeover was completed.,Expansion.Conjunction,Contingency.Cause.Result
786,and,therefore,"Meanwhile, SCI TV can barely pay its cash interest bill,",to stay out of bankruptcy court it must soon reschedule a lot of bank loans and junk bonds that have fallen due.,Expansion.Conjunction,Contingency.Cause.Result
2663,"eventually,","however,","For awhile, soaking the wheel in water would cause the wooden wheel to swell out so that the rim would fit it snugly.",this just wouldn't work any more and the rim had to be tightened.,,
1978,simultaneously,"however,","Throughout the 1950s, there were numerous trials of Ticani and other Sufi leaders for antistate activities.","some movements, notably the süleymancı and nurcular, cooperated with those politicians perceived as supportive of pro-islamic policies.",,
788,and,thereby,Its third-quarter earnings more than doubled from a year earlier,exceeded analysts' expectations.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
1025,and,therefore,Traders who had bought the goods at prices above the ceiling don't want to take a loss on resales,are holding onto their stock.,Expansion.Conjunction,Contingency.Cause.Result
944,and,as a result,"""There's more noise out there,","the consumer may have to work harder to cut through it,"" says Vincent P. Barabba, executive director of market research and planning at General Motors Corp.",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
1951,"previously,","however,",Knowing the exact volume is important to be able to put the observed change in the right context.,the volume of only very few glaciers was known reliably.,,
714,and,therefore,"He added: ""There's probably even a magazine for left-handed golfers . . . but the general interest magazine is something we all miss,","it should come back.""",Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
803,and,thus,Asarco said it plans to shut down or sell its Rapatee coal mine,will end its involvement in southern Illinois strip mining.,Expansion.Conjunction,Contingency.Cause.Result
1271,and,as a result,"Galileo's photos of Europa will be more than 1,000 times as sharp as Voyager's, according to Torrence Johnson, Galileo's project scientist,",may show whether it actually has the only known ocean other than those on Earth.,Expansion.Conjunction,Contingency.Cause.Result
2473,accordingly,for example,"There are, therefore, black truths, white truths, rich truths, poor truths, male truths, female truths.","since men do not get pregnant, they cannot morally judge abortion.",,
123,and,then,"Currently a $300 million-a-year business, 900 telephone service is expected to hit $500 million next year","near $2 billion by 1992 as uses for the service continue to expand, says Joel Gross of Donaldson, Lufkin & Jenrette Inc.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1242,and,then,"Cupboard doors were flying, the trash can in the kitchen walked a few feet, the dogs came running,","I scooted them into the dog run and stood in the doorway myself, watching the outside trash cans dance across the concrete.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
2637,"plus,",and,"it's just a big idea at this point and bohn and his staff and the fundraisers at the cu foundation need to get regents, president, chancellor, faculty on board.","this is very important, this project will not get done without major contributions from the few big donors cu has.",,
1565,and,then,"Mr. LeBaron, who manages $10 billion, says, ""We turned the trading system on,","it did whatever it was programmed to do.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
618,and,for that purpose,"She ordered the foyer done in a different plaid planting,",made the landscape architects study a book on tartans.,Expansion.Conjunction,Contingency.Purpose.Arg1-as-goal
406,and,then,"""But instead of gathering their input piecemeal, we formed the team, which reached consensus on the proposal objectives","produced a statement of work to guide all the functions that were involved.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1295,and,instead,"After she heard about the artery-clogging hazards of tropical oils in many cookies, she dropped Pepperidge Farm",started buying brands free of such oils.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
1036,and,thus,"He also thinks foreign investors, who are showing signs of more discriminate investing, will join the pursuit",pump up prices.,Expansion.Conjunction,Contingency.Cause.Result
1099,and,therefore,Do they really believe that the number is just for verification,is simply a formality on the road to being a grand-prize winner?,Expansion.Conjunction,Contingency.Cause.Result
1547,and,as a result,"But as Japanese stocks rebounded, Treasurys retreated",ended just modestly higher.,Expansion.Conjunction,Contingency.Cause.Result
497,and,then,The strain was discovered by Morinaga & Co.,"licensed to Gustafson, a unit of Uniroyal Chemical Co.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1029,and,then,"The Oil Pollution Act, scheduled to come up for a vote in Congress this fall, would provide that if claimants aren't paid within 90 days of a spill, the liability fund would compensate them","seek reimbursement from the owner or operator of the vessel, says a spokesman for Rep. George Miller (D., Calif.), a sponsor of the bill.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
325,and,thus,"Most important, this would leave the party intact",its monopoly of political power largely undisturbed.,Expansion.Conjunction,Contingency.Cause.Result
342,and,then,"According to a source at the East Europe desk, two previously convicted felons were charged, tried, convicted",sentenced to prison terms of four and 12 years.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2238,"then,","in turn,",The digits must be all different.,the players try to guess their opponent's number who gives the number of matches.,,
782,and,while,"However, David Threlkeld, president of Threlkeld & Co., an international metals company, noted that so far this year copper consumption is way ahead of the same period of 1988,",that projected production is below last year.,Expansion.Conjunction,Temporal.Synchronous
2339,"in the meantime,","however,","There will, inevitably, be a time in which fossil fuels are too expensive and precious to waste on grocery store runs.",super-efficient gas-powered vehicles will be a trend.,,
299,and,then,Because the U.S. leads in most areas of biotechnology -- largely because of research investment by the U.S. government -- the sale is sure to increase concerns that Japanese companies will buy American know-how,use it to obtain the upper hand in biotechnology trade and competition.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1110,and,as a result,"Golden Feldman Furs Inc. began retailing aggressively eight years ago,",now retail sales account for about 20% of gross income.,Expansion.Conjunction,Contingency.Cause.Result
303,and,as a result,"""I ate a bad tuna sandwich, got food poisoning","had to have a shot in my shoulder,"" he says, making it too painful to row.",Expansion.Conjunction,Contingency.Cause.Result
1474,otherwise,because,"In fact, some auto executives suggest that slackened demand for their cars in the U.S. and Canada is a blessing;",they wouldn't be able to keep up with demand in the more profitable local market.,Contingency.Negative-condition.Arg1-as-negCond,Contingency.Cause.Reason
1610,in order,instead,"For instance, Michael dislikes Jackie not because he's a shrewd Jewish businessman, but because he quits his well-paying job as a salesman",to become a social worker.,Contingency.Purpose.Arg2-as-goal,Expansion.Substitution.Arg2-as-subst
664,and,then,"It should have happened sooner,"" said Elizabeth Glaser, a Los Angeles mother and activist who contracted the AIDS virus through a blood transfusion,",transmitted it to two of her children.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1641,and,then,"Proposals for government-operated ""national service,"" like influenza, flare up from time to time, depress the resistance of the body politic, run their course,","seem to disappear, only to mutate and afflict public life anew.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
220,and,so,"""Infiniti is Nissan's big business move for the 21st century,","we're in no hurry to generate large profits right away,"" Mr. Oka says.",Expansion.Conjunction,Contingency.Cause.Result
1993,"in the meantime,","though,","However, Longworth wouldn't reveal whether HP itself was interested in making a Tegra-based netbook, saying that Nvidia ""can't comment on our partners' plans.""",this prototype shows the potential for using tegra in a netbook.,,
2868,"now,",and,This removes 'legacy' lttng - it hasn't actually worked for awhile.,has been replaced by equivalent functionality in.,,
1001,and,as a result,"The center improves the community image to outsiders as well,","may help to arrest, or even reverse, the exodus of capital and investment.",Expansion.Conjunction,Contingency.Cause.Result
449,and,then,They are approaching everyone on the street,"asking if they want to be in a docudrama.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1878,"interestingly,","however,","one example is nobel peace prize laureate shirin ebadi, an iranian lawyer and former judge, who still focuses on human rights issues while residing outside iran.",the green movement did not push the women's movement from a social movement into a political movement.,,
2123,"though,",and,Users out there who can help with problems and bug fixes.,they are accessable through the above email and.,,
2540,by then,"though,",the man's presence was detected by the guards in the security control centre and the night guard was despatched to apprehend the trespasser and was on the scene within three minutes.,"the intruder had managed to swipe a set of keys from an unguarded sentry box just outside the main gates, as a search would no doubt have revealed.",,
84,without,but,"The following were barred or, where noted, suspended and consented to findings","admitting or denying wrongdoing: Edward L. Cole, Jackson, Miss., $10,000 fine; Rita Rae Cross, Denver, $2,500 fine and 30-day suspension; Thomas Richard Meinders, Colorado Springs, Colo., $2,000 fine, five-day suspension and eight-month suspension as a principal; Ronald A. Cutrer, Baton Rouge, La., $15,000 fine and one-month suspension; Karl Grant Hale, Midvale, Utah, $15,000 fine; Clinton P. Hayne, New Orleans, $7,500 fine and one-week suspension; Richard M. Kane, Coconut Creek, Fla., $250,000 fine; John B. Merrick, Aurora, Colo., $1,000 fine and 10-day suspension; John P. Miller, Baton Rouge, $2,000 fine and two-week suspension; Randolph K. Pace, New York, $10,000 fine and 90-day suspension; Brian D. Pitcher, New Providence, N.J., $30,000 fine; Wayne A. Russo, Bridgeville, Pa., $4,000 fine and 15-day suspension; Orville Leroy Sandberg, Aurora, Colo., $3,500 fine and 10-day suspension; Richard T. Marchese, Las Vegas, Nev., $5,000 and one-year suspension; Eric G. Monchecourt, Las Vegas, $5,000 and one-year suspension; and Robert Gerhard Smith, Carson City, Nev., two-year suspension.",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
1444,and,then,The studies are on exhibit at Harvard this month,will travel to Chicago's Institute of Design and the University of California at Berkeley.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
776,and,so,"Turns out that next year, Charlie Brown, Snoopy and the gang turn 40 --","Scripps Howard's United Media unit, the syndicator and licensing agent for Charles Schulz's comic strip, sees a bonanza in licensing the cartoon characters to a bevy of advertisers for ads, tie-ins and promotions.",Expansion.Conjunction,Contingency.Cause.Result
941,and,then,If directors or producers phone me,"say they know `Liz, ' I know they've never met her.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
961,and,as a result,"In one, imports and exports continue to grow at the respective average rates of 25% and 5% recorded during the first seven months,",the current-account deficit widens to $13.1 billion.,Expansion.Conjunction,Contingency.Cause.Result
841,and,as a result,I think a lot of people got scared,"stayed home.""",Expansion.Conjunction,Contingency.Cause.Result
621,and,as a result,"It is no coincidence that from 1844 to 1914, when the Bank of England was an independent private bank, the pound was never devalued and payment of gold for pound notes was never suspended, but with the subsequent nationalization of the Bank of England, the pound was devalued with increasing frequency",its use as an international medium of exchange declined.,Expansion.Conjunction,Contingency.Cause.Result
2350,"meanwhile,","however,","the proposed fair now had an address, but not a cent available to raise it from beneath the waters of the bay.","the exploratory committee formed by mayor rossi had become a corporation, with insurance man leland cutler at its head.",,
2089,"again,","by doing this,",So one can avoid all of this by investing in some sharp knives and a sharpener.,your confidence and desire to cook will be big.,,
266,and,as a result,"The results surpassed analysts' forecasts, which averaged around #200 million,",Marks & Spencer responded in trading on London's Stock Exchange with an eight pence rise to 188 pence.,Expansion.Conjunction,Contingency.Cause.Result
2315,because of that,and,Not since Nutch have people gotten such a good view at the different components in ranking for a major search engine.,"the fact the msn has promised their new search will go live by january, i'd get busy playing.",,
2588,because of that,and,"My most recent previous experience was back in high school, when my first boyfriend saved for months to take us out to a ""grown-up"" dinner.","the fact that fondue is a food trend known mostly for its kitschy past, it's not a place i'd think to go.",,
290,and,because of that,"Nearly two months after saying it had been the victim of widespread fraud, MiniScribe Corp. disclosed it had a negative net worth of $88 million as of July 2",hinted that it might be forced to file for protection under bankruptcy laws.,Expansion.Conjunction,Contingency.Cause.Result
2028,"ultimately,","however,","While en route, Weiss said a deputy called for a detective and emergency medical services.",the deputy called for the coroner.,,
1738,"similarly,",and,"The cooperating agents act autonomously, and may be simultaneously reasoning on different components of the managed system.","to make the system highly generic, the agents may be applied to different functional models within the fault management task, such as correlation of trouble reports, and test management.",,
2118,"thereby,","in particular,","[0014] In the making step (step i), the sheet-like electrode may be made also in the form of a sheet, for example in a stacking method, respectively batch method.",the image may be recorded in reflection or in transmission.,,
416,and,thus,"When a country cuts tax rates, it makes itself more attractive to investors",drives up the value of its currency.,Expansion.Conjunction,Contingency.Cause.Result
472,and,thus,"A substantial warming would melt some of the Earth's polar ice caps, raising the level of the oceans",causing widespread flooding of heavily populated coastal areas.,Expansion.Conjunction,Contingency.Cause.Result
604,and,therefore,Environmental groups have been calling for faster action on dangerous pesticides,may welcome part of the proposal.,Expansion.Conjunction,Contingency.Cause.Result
2054,"by doing this,","however,","The company will replace the battery if need be, but this also marks a first, I believe, for the portable Mac line.","the firm is able to make the notebook thinner than previous models, while still clocking in at 6.6 pounds.",,
2949,but,"now,","These kinds of bonds have been on a terrific bull run ever since Paul Volker, as Chairman of the Fed, cracked down on inflation.",even the avuncular face of capitalism would bet against them.,,
916,and,then,"On the chairman's motion, the California package was subsequently reduced to less-binding report language,","even when this was accepted as such on a voice vote, Mr. Whitten pointedly opposed it.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1820,"in the end,","however,","For about a year before proposing his legislation, Nickels had convened an advisory task force to consider nightlife regulations.",members of the panel representing bars and clubs felt it had fallen apart.,,
1588,and,in contrast,"""Refining margins were so good in the third quarter of last year","generally not very good this year,"" said William Randol, a securities analyst at First Boston Corp.",Expansion.Conjunction,Comparison.Contrast
2443,"though,",and,"Where in the US because there's so many guns, people feel the need to have guns as a deterrent.","i may be talking out my arse/being overly general, i believe violent crime stats in the us tend to show that guns cause more trouble than they prevent.",,
2871,"meaning,",before that,So nine out of every 10 impressions are transparency-challenged.,"ad ran, the buyer probably didn't know what site it would end up on, and probably can't get reporting on how the site performed.",,
654,and,then,"During the quarter, Delta issued 2.5 million shares of common stock to Swissair,",repurchased 1.1 million shares for use in a company employee stock ownership plan.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2167,but,"now,",It had to do with integrity.,john mccain lies.,,
2923,"by doing this,",moreover,"By doing this, we render them the honor they deserve.",we can teach an important lesson about the need to focus our attention upon the things in our world that are of permanent worth.,,
2414,"now,","also,","You can grind the morehead ledge, as some have done, but i always just hit the fire truck directly.","i have always done this with the the production drop, but it isn't necessary, as you end up going the same speed after you hit the superkicker.",,
821,and,then,"In the film classic ""Twelve Angry Men,"" the crucible of deliberations unmasks each juror's bias",purges it from playing a role in the verdict.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
343,and,then,He painted one himself in the style of John Haberle,"sold it as a 19th-century original to antique dealers in Woodbridge, Conn.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
2721,"or,","rather,",A published book is a dead book.,it's left my womb and gone to college and ain't nothing i can do no more.,,
2958,"eventually,","however,","This caused a certain amount of distress for both Castillo and Yar, who had developed romantic feelings for one another.",yar decided to join castillo and the crew of the enterprise -c when she learned that she had died a meaningless death in the other timeline.,,
2505,by then,"though,","for the next ten years the family existed on tenterhooks; if melua's father lost his job before their residency kicked in, they'd be deported.","melua and her family had moved to england, where the young beauty's raven-hued curls caught the eye of veteran producer mike batt.",,
2439,"ultimately,","however,","Thus, Bruegmann argues, sprawl does not exacerbate economic inequities, it mitigates them.",bruegmann undermines the strength of his arguments about the benefits of suburbs by expressing a total lack of concern for the fate of american cities.,,
278,and,then,Sea Containers plans to sell $1.1 billion of assets,use some of the proceeds to buy about 50% of its common shares for $70 each.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2965,"third,",and,That's hugely important.,"probably the most dramatic shift in the landscape is the growth of internet connected devices-tablets, phones, etc.",,
1572,and,so,"At about 3:30 p.m. EDT, S&P futures resumed trading,",for a brief time the futures and stock markets started to come back in line.,Expansion.Conjunction,Contingency.Cause.Result
2802,"clearly,","though,","We've long seen all manner of perversion coming out of Hollywood, including the glamorization of adultery, fornication, idolatry, thievery, greed, drugs and more.",this devilish prince is strategically pushing perversion to new heights in the name of equality.,,
1411,and,thus,If it finds one,"gets into the system, it will display a screen when a user logs on that says, ""Worms Against Nuclear Killers. . . .",Expansion.Conjunction,Contingency.Cause.Result
18,and,as a result,"All of this must have been enormously frustrating to Mr. Katzenstein, who went to Sony with degrees in business and computer science",was raring to invent another Walkman.,Expansion.Conjunction,Contingency.Cause.Result
613,and,then,It was the 49-year-old Mr. Evans who had moved into the offices of MGM/UA,run the company during Qintex Australia Ltd. 's aborted bid for the movie company.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
643,and,specifically,We've talked to proponents of index arbitrage,told them to cool it because they're ruining the market.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
1725,"ultimately,","however,","i wanted to give it to one of the political depth charges i read this year - bacevich's the limits of power, sharlet's the family, chalmers johnson's nemesis.",they all padded their word counts with exhaustive details that showed the depth of their research but sacrificed the grace of their story.,,
1228,and,thus,"Many plant floors currently resemble a Tower of Babel, with computers, robots and machine tools that generally speak their own language",have trouble talking to each other.,Expansion.Conjunction,Contingency.Cause.Result
1105,and,therefore,Even if you're healthy,"can renew, your premium will go up sharply because you're that much older.",Expansion.Conjunction,Contingency.Cause.Result
1694,and,"besides,","Hey, how big a deal can criminal defense be?",he wants to try cases.,,
1497,and,then,"""The culture is not ready to take off its clothes, lie down","be touched for an hour for $45,"" he says.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
1650,and,then,"Arguing that the separate financial marketplaces acted as one,","concluding that the crash had ""raised the possibility of a full-scale financial system breakdown,"" the presidential task force called for establishing a super-regulator to oversee the markets, to make margins consistent across markets, to unify clearing systems and to install circuit breakers.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
2571,"second,",and,"so when maher challenges these people, he is implicitly urging that everyone, religious and irreligious, submit religions to critical scrutiny.","this relates to the first, maher (explicitly?)",,
2210,"regardless,","however,","if so, block 528 sets the concept identifier to that of the lens, and if not, block 527 sets the concept identifier to null.",control passes from blocks 527 and 528 to associate the information to be pasted with the current lens.,,
1210,and,consequently,NASA awarded the contract to CSC in November but an appeal by Sterling Software Inc. of Dallas sent the contract to the General Services Administration Board of Contract Appeals,the board required NASA to re-evaluate bidders' proposals.,Expansion.Conjunction,Contingency.Cause.Result
756,and,then,ESB spurned Inco,"within five days ESB had a ""white knight"" as United Aircraft -- headed by Harry Gray, a shrewdly friendly acquirer of companies -- offered $34 a share.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
2901,simultaneously,"with that,","The valve lifter of inhalation side - we to be constituted from the tappet of 2 layer, to adjust to accelerator opening and rpm, variable control the valve lift quantity.",also valve timing of the air inlet cam is controlled optimumly variably.,,
2132,alternatively,"still,","Such a notification can take many forms such as, for example, displaying text on the display screen or causing the credit card to vibrate.","a dynamic credit card may be realized by utilizing a counter, random number generator, or pseudorandom number generator to provide a coded number.",,
1577,and,therefore,And many fund managers have built up cash levels,say they will be buying stock this week.,Expansion.Conjunction,Contingency.Cause.Result
88,and,as a result,"The agreement on Poland contrasts with the major differences remaining over the underlying foreign aid bill, which has already provoked veto threats by the White House",is sharply confined under this year's budget.,Expansion.Conjunction,Contingency.Cause.Result
680,and,then,"""This isn't outlandish bidding; this is a situation of very careful businessmen making judgments about the worth of product",acting on it. . . .,Expansion.Conjunction,Temporal.Asynchronous.Precedence
2677,"again,","however,",Apparently Luke was not aware of the journey to Arabia; but an incomplete narrative is not necessarily inaccurate.,these suppositions would be inferences; and the falsity of them simply shows how cautious the historian should be in reading between the lines of a narrative.,,
1491,and,as a result,"IBM is gaining momentum in the personal-computer market,",is expected to introduce some impressive workstations early next year.,Expansion.Conjunction,Contingency.Cause.Result
1916,"so,","now,",Colon is still good enough to make that rotation.,"do you former minaya defenders still think the swap of sizemore, phillips, lee for hernandez, leifer and biddle was just due to the strange situation in montreal?",,
965,and,as a result,"Because UPS drivers aren't permitted to load their own vehicles at the depot, say these couriers, packages often get buried in the load",are delivered late.,Expansion.Conjunction,Contingency.Cause.Result
2419,"though,","later,",It used less number of steel and utilized low priced labour that is indian.,the rise into the cost of recycleables resulted in a rise in the buying price of the car.,,
2727,and,"indeed,",So the MPAA figured that if it makes it easier to find such authorized alternatives that would be helpful.,that's a good idea.,,
360,and,as a result,Before the union rejected the company's offer,"the strike was launched with the graveyard shift of Oct. 4, Boeing had been counting on turning 96 aircraft out the door in the present period.",Expansion.Conjunction,Contingency.Cause.Result
2652,alternatively,"however,",[0059] The dump frame 104 and dump frame actuator 128 are located within the width of the chassis 106.,either or both of the dump frame 104 and/or dump frame actuator 128 can be located outside the width of the chassis 106.,,
1211,and,subsequently,"As directed by the board, NASA completed the evaluation",again chose CSC.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
1611,and,thus,"The best moments in the show occur at the beginning and the end (and occasionally in the middle), when Mr. Mason slips into his standup mode",starts meting out that old-fashioned Jewish mischief to other people as well as to himself.,Expansion.Conjunction,Contingency.Cause.Result
344,and,then,Ford said owners should return the cars to dealers so the windshields can be removed,securely reinstalled.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
986,without,nevertheless,This film did emphasize how long the Israeli/Palestinian stalemate has existed by tracing the conflict to the days of World War I when the British tried to guarantee both a Jewish state and a Palestinian state,specifying how it was to be done.,Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
1600,and,instead,"When you suggest otherwise, you leave the realm of reporting",enter the orbit of speculation.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
2634,"although,","again,",The second one could be useful if you want to play with random numbers and md5/sha1.,i think uniqid () might already be what you are looking for.,,
1754,"eventually,","however,",They were supported by then-Interior Secretary Bruce Babbitt.,u.s. district judge john jelderks found in favor of scientists who said there was no evidence tying the skeleton to modern indians.,,
2328,"then,","again,","Then ask her (assuming there's still no due date coming, though I hope there is) what, in a perfect world, she wants of you.","hear her out and don't ""no"" her out-of-hand--even if you end up not changing a thing.",,
2803,"interestingly,","however,","Raw shark fins are processed by first removing the skin and denticles, then trimming them to shape and bleaching to a more desirable color.","in shark fin soup, the fins themselves are virtually tasteless.",,
2181,"in sum,","then,","[pdf] find...""that errors in decision-making [not speculation] are a primary source of bubbles.""",bubbles form when someone guesses high (makes a mistake) and someone follows.,,
85,and,as a result,"First, the trading is done over the counter",isn't reported on either the U.S. or London stock trading tapes.,Expansion.Conjunction,Contingency.Cause.Result
2867,"otherwise,","though,",Photographers who are precise in their framing will notice a difference between the 5D and the 1Ds or 1Ds MkII.,i find the large and bright finder view of the 5d to be much better to work with than those found on most other dslrs.,,
668,and,therefore,A spokesman for the company said Campeau hasn't seen the suit,declined to comment.,Expansion.Conjunction,Contingency.Cause.Result
1014,and,then,"The son of a Seagram's executive who was stationed in many countries around the world, Mr. McDonough was born in Tokyo","attended 19 schools in places ranging from Hong Kong to Shaker Heights, Ohio, before entering Dartmouth College.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
128,and,as a result,"But voters decided that if the stadium was such a good idea someone would build it himself,",rejected it 59% to 41%.,Expansion.Conjunction,Contingency.Cause.Result
1817,"yet,",as if,"beyond any question, their persecutors had all passed off the stage of action, and according to the view under consideration were suffering all the torments of hell right before their eyes.","not satisfied with this, they cry to god as though he we delaying vengeance on their murderers.",,
1225,and,then,"A young man called July (that's when he was born), who works at the railroad station just up the street from the Orange Workers office, points at the whitewalled building","says matter-of-factly, ""We're not allowed in there, that's all I know.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
891,and,thereby,Such news is good for bonds because economic weakness sometimes causes the Federal Reserve to lower interest rates in an effort to stimulate the economy,stave off a recession.,Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
1765,"again,","however,","For example, the Ohio Education Association doesn't like it.",the idea just makes sense.,,
307,and,yet,"""I was doing the laundry and nearly broke my neck running upstairs to see who was there,","it was nobody,"" she says, eyes wide at the recollection.",Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
383,and,so,"Her Pa (Howard Duff) is the kind of guy who, while saying grace at the supper table, pauses at the word ""sin"" and glares at the daughter he hasn't seen for two decades, because he knows in his heart that she enjoyed what happened in the cold-storage room,",has been indulging the same taste ever since in the fleshpots of Chicago.,Expansion.Conjunction,Contingency.Cause.Result
1779,"or,","again,","Of course this is horribly unlikely because most sermons are useless tripe, but...you get the idea.","let's say you started to see that unbelief seemed more like kind of petulant, childish rebelliousness than an honest pursuit of truth.",,
