,sentence1,sentence2,dm1,dm2
41,"The Mermaid, qua Mermaid, has no consciousness of sin, nor does she ""sin"" within the context of her faithful love for the Prince.","does not free her from existing in a sinful state, in a religious sense.","this,","however,"
42,"Since public prison guards are also private individuals until they sign an employment contract, why is one contract better than another?","perhaps all this has now established a duty of independent moral judgment for everyone, including public employees, thus making public punishment equally a ""private act""?","or,",conversely
43,"So the maids went out, carrying a torch, and made the beds, to which a man-servant presently conducted the strangers.","did telemachus and pisistratus sleep there in the forecourt, while the son of atreus lay in an inner room with lovely helen by his side.","thus,","then,"
44,"Also, at his war crimes trial, he denied invovement in the incident on Feb. 1942.",there is also evidence to suggest that he was guilty.,"perhaps,",but
45,"Thus, transcendence was not a central finding in these earlier investigations.",all of those sub­ jects were new to meditation.,"notably,","however,"
46,"At a taxpayer cost of at least $4.5 billion a month, the price of ""victory"" in Iraq is now (in case you're curious) an estimated $100,000 a minute.","the president never mentioned how iraq, with staggering oil reserves, might actually aid his plan for american energy independence from the middle east.","strangely,","though,"
47,Is the red supposed to symbolize the blood being spilled?,it seems heavy handed.,"perhaps,",but
48,"As the chapter continues, we are introduced to early Protestant opposition to Socinianism, provoked by its challenges to core aspects of Reformed belief.","there were those who adopted socinus' doctrines as it spread across europe, particularly to germany and the united provinces.",on the other hand,"however,"
49,"For the millionth time, I reached my goal, felt amazing, and got comfortable.",surely life's drama's and difficulties eventually drove me to neglect my exercise and comfort myself with food.,"slowly,",but
50,"And turntables and tape loops can be more concretely evocative than most other instruments, since they offer a direct path to other songs.",stelzer and talbot have no interest in using their instruments that way.,"clearly,","however,"
51,"According to thermodynamic theory, the basic expression of chemical potential is:.","are the actual and the standard chemical-potentials of specific component, c and, the corresponding concentrations.","here,",and
52,"The highlights can sometimes be missed between more grating moments, and this leads to the blemishes on this otherwise enjoyable record becoming a little more exasperating.","parallax is quite consistent, and its peaks tend to outweigh the troughs.","overall,","though,"
53,"I think the Steelers is clear cut: Art Sr., Dan, Noll and Mean Joe.",the fan vote will probably replace dan with bradshaw or ben.,"nationally,","however,"
54,This seems a reasonable finding as observation conditions degrade strongly during winter time leading to fewer observations with generally lower quality.,"the agreement (e.g., r 2) does not always go parallel with vegetation density and/or season.","surprisingly,","however,"
55,"The description corresponds also with that of Dr. Shaw, who says that ""the villages of the Jereed are built of mud-walls and rafters of palm-trees. """,some improvement has been made of late years.,"evidently,","however,"
56,"The Hyaks outscored the Pirates, 30-28, in the final two quarters.",the outcome was all but assured.,by then,"however,"
57,"By these first two criteria, then, we discriminate between accurate and distorted appearances and between correct and distorted understandings of what accurate appearances conventionally signify.",is still not enough.,"this,","however,"
58,"And so, I've had a few days when I thought I might just shut the whole blog down.","within about 24 hours, i've come back.","inevitably,","though,"
59,"Generations of children have grown up reciting nursery rhymes like ""Little Miss Muffet"" and ""Humpty Dumpty.""",we hear teachers say that these rhymes are less commonly-known among today's students.,"increasingly,","though,"
60,"This birthplace of General Motors would often find itself the subject of national headlines on the declining auto industry and related economic woes-crime, blight, unemployment, poverty, etc....",flint has been turning heads for its positive changes.,"lately,","however,"
61,"Jeff has everyone fill in the blank, ""the most annoying thing about ____ is ____.""","it didn't change anyone's vote, it gave us a foreshadowing of things to come, and a peek at how self-aware certain tribe members (edna!)","although,","in the end,"
62,"The number was increased to two in 1946, four in 1948, and eight in 1951, although all were appointed by the governor from a list of names submitted by local governments.",did not satisfy african demands for political equality.,"this,","however,"
63,"They prefer one way conversations where they do all the talking, and yet, the recipient is dead before he even hears a peep.","emergencies do persist, and that's were a quality side arm can save your life.","occasionally,","though,"
64,"the conservative yomiuri shimbun also complimented jiang, kagawa teruyuki and kenya sawada, saying their acting was ""colorful"" and ""believable"".","some reviewers voiced displeasure after viewing the film, saying that it ""further estranges the sino-japanese friendship that was seriously damaged in the past war"".","inevitably,","however,"
65,"According to census reports in 2013, the rental share of all U.S. households has been on the rise, and millennials are not immune to the trend.",a mere 35% of renters nationwide have renters insurance.,"surprisingly,","though,"
66,"So, can we blame Bush for what is currently happening and what will surely happen in the next year?",we can do it with great relish and authority.,"absolutely,",and
67,"Now that I think on it, there is potential for enough triple branch points that you might be able to reduce something like exact three cover to this problem.",you might consider steiner tree suggestions as to order.,"locally,","though,"
68,"It might be as you imply, the question is where we want to go.",i think we can increase the number of users by making ocoon less complex to use by refactoring and the blocks architecture.,"maybe,",but
69,"In a compact between the two states, approved by U.S. Congress in 1834, New Jersey therefore agreed that New York would continue to have exclusive jurisdiction over the island.","the federal government expanded the island by landfill, so that it could accommodate the immigration station that opened in 1890 (and closed in november 1954).","thereafter,","however,"
70,"As long as the pace of monetary pumping is accelerating, the so-called real economy follows suit.","the pace of pumping slows down, the pace of the economy's so-called expansion also declines (after a time lag).","once,","however,"
71,the purpose of the base development plans for okinawa and ie shima was the construction of advance fleet and air bases and staging facilities for future operations.,all construction work was directed to the support of the assault troops.,"initially,","however,"
72,"The same Dan Gilbert who let go of general manager Dan Ferry, because he disagreed with Brown's firing.","the ""loyalty"" to the great fan and civic support of his own home state of michigan was not on his mind.","apparently,","again,"
73,And - again - this is not to say that good work is not being done.,i love and admire much of this work.,"absolutely,",and
74,So everything is set for 2013 becoming a much better year for me than 2012.,"i really hope it will be the case, i'll even find more time to blog in 2013.","maybe,",and
75,"If you had to compress your argument into one abstract-type paragraph, what would it look like?","perhaps you'd want to frame your argument (s) as testable hypotheses - e.g., h1, etc.","third,","similarly,"
76,I realize that some may insist that an education is about more than money.,"an education is about making connections, both within and socially.","perhaps,","then,"
77,"""your base"", a reference to an old internet meme, ""all your base belong to us"", wow randall, you are still way behind the times!","this falls into the case where it appears that it fits, but then is random, as rob mentions in the blog post.","perhaps,","however,"
78,"Because if characters aren't complaining about the lab rat, they're reminding Quinn about the events of ""Gifted.""",its first use is against david by sandi's idiot hangers-on.,"notably,","however,"
79,"""They're there to make these students feel like they fit in,"" Owens said.","larger issues will arise that can't be resolved by an ra, and the school's professional staff is there to help, including counselors if needed.","sometimes,","however,"
80,"Gay men, particularly young gay urban men, once jumped on cars in their cities' streets to demand an end to the silence and inaction around the disease that was killing them.","improved drug treatments and reduced deaths began to fuel a growing sense of hope-and, unfortunately, a growing sense of apathy followed.","gradually,","however,"
81,"we have it, and underlyingly, that's what the -ism is all about.",is neither here nor there.,"this,","however,"
82,make sure to keep your blade at a steady angle while sharpening.,a smooth slide is what brings an edge back: speed is not at all important.,"this,",and
83,"Whatever it was, it was very quiet.",something settled over dean.,"gradually,","though,"
84,"In a society as fixated on order as the Empire, even the slightest transgression can bring dire consequences.",smaller crimes can be forgiven with the proper procedures (and is the main reason that goblins and halflings have not become extinct).,"generally,","however,"
85,She'd ask.,"murray will no longer be able to keep up with the characters and gossip of pine valley, pa., as she has since the show made its debut in 1970.","soon,","though,"
86,Perhaps number 2 was the wrong number.,she has rapidly mastered the brief and appears to be finding that the subject is more interesting and the policy issues more complex and important than she had imagined.,"unsurprisingly,","however,"
87,They crave contact with the program and want it back.,"opening 9 practices or so to the tyee people, is a way to placate those powerful fans.","this,",and
88,I am just not getting what you are saying.,"initializing ""middle"" to (any) one of the input values should work fine too.","perhaps,",but
89,"No longer was the symbolic representation of the United States looking toward the arrows or war, but to the olive branch of peace.",the department of defense officially replaced the department of war.,"significantly,",at the same time
90,"This age-related discrepancy could lead to biases in downstream analyses in, for example, our estimates of age differences in the number of species hosted per individual.",does not appear to be the case.,"this,","however,"
91,"I must ask may I use the wing design on my own mocs, I'll be sure to give credit once I start uploading pics.",i do appreciate you showing the integrity to ask first.,"absolutely,",but
92,"Look pretty fancy to me, and weren't too challenging.","it's just been awhile since i've had more than just a solid color, and anything ""different"" wows me.","perhaps,","however,"
93,Is it feasible for the 4 independent motors to be electronically controlled/programmed to have the same output speed?,"it requires feedback, such as an encoder, resolver, tachometer, and a good controls algorithm, especially to control the speed of four different axis.","absolutely,",but
94,When I first started bed rest I was actually suffering from insomnia because my body wasn't used to lying down all day.,i just want to sleep all day long.,"lately,","however,"
95,"therefore, if this house comes to a decision on one, surely we are telling the high court of northern ireland that it should come to the same decision on the other.",it would be more prudent for us not to discuss this matter today but to wait until the high court in northern ireland has come to its own decision.,"surely,",therefore
96,"The method set out by Ali is basically sound, but it does involve a lot of hard work with no absolute guarantee of success at the end of it.",word has gone round that a simpler method can work just as well.,"recently,","however,"
97,A wheel may be raised while driving up a side of an obstacle.,as shown in fig.,"alternately,","however,"
98,"And Oh, I do like to be beside the seaside?","they are themes from two strongly constructed movements in chamber works, namely the sextet for piano and wind, opus 33, and the clarinet quintet, opus 27.","maybe,",but
99,When our friend invited us to visit him we decided we would have to go at Christmas in the hope of being able to see some of the sports ourselves.,is a chronological account of the events we were lucky enough to see during our stay on the islands.,"this,","then,"
100,"In fact, when a senior subordinate joined us, there was a revelation-that America was supplying Stinger missiles to the Mujahedeen-on which I should have jumped.",i was disoriented.,by then,"however,"
101,"The plan is very much worth it, you get tons of food at every meal.","let's be honest, without that, most people wouldn't spend that much at disney.",because of that,and
102,"Siya brings Diamond (whose hair I am such a fan of), who just moved to New York from Atlanta, by the studio so they can meet.",shade is thrown when nyemiah tells diamond she's never heard of her as part of crime mob.,"immediately,","though,"
103,"Hey, how big a deal can criminal defense be?",he wants to try cases.,and,"besides,"
104,Filipinos initially hailed the American victory and declared their independence from three centuries of often brutish Spanish rule.,"it became apparent that the u.s. had gotten caught up in the dying spirit of european colonialism and was going to hold on to the giant, 7,100-island archipelago.","soon,","however,"
105,"Is there any evidence that the trigger for the Melt Water Pulse observed in paleo-historical SLR was associated with a spontaneous reconstruction of circulation patterns, with attendant 'pulsed' heat transfer?","might that provide an indication of potential self-similar event (ie repeat of mwp, but on a smaller scale) in the coming decades?","presumably,","if so,"
106,"My students adore the book, and I've used it for years.","after his appearance in albany, i decided to put his latest book, known to evil, to the same test that mr. mosley uses on novels.","curiously,","though,"
107,Would outlawing abortion raise the amount of intentional miscarriages?,it's still not enough of a reason for me to say we should allow abortion to continue on as it is.,"probably,",but
108,"Finally, the tree has nothing left to give.","the boy is older, and needs little, just a place to sit and rest.",by then,"though,"
109,"Otherwise, It's always caught up by what was done by others in the past.","it values speed and, above all, loss of memory.","on the contrary,",therefore
110,Can I do much more?,i'm content for now to see where the journey will take me.,"absolutely,",but
111,You remember those?,that's what we got out of it.,"in the end,","then,"
112,Do you make any conscious effort to make that visually interesting in any way?,i've always been very careful not to force it.,"absolutely,",but
113,"Almost 100% of liberals liked it, while over 90% of conservatives didn't.",a higher percentage of conservatives said they liked it than liberals who said they didn't.,"though,","interestingly,"
114,Pope Benedict has said that the most effective case for Christianity comes through the lives of the saints and Christian art.,"we need to recall anew that beauty is not incidental, but essential, to the life and mission of the church.","clearly,","then,"
115,"Traditionally beauty is in the realm of art, not science.",the two may be intersecting.,"lately,","however,"
116,"It was established in the year 2008, but then it was intended exclusively for UK gamers.",it became viral around the globe.,"soon,","however,"
117,"Unique at the time, it's become a model of religious liberty for the world.",our interpretation and application of the first amendment has inspired much debate.,"recently,","however,"
118,"However, Hollywood execs decided to take the fun out of these games and turn them into craptacular movies.","i'm excluding you zelda: ocarina of time, the plots to video games are horrendous.","usually,",and
119,"Journalists believe that they, unlike mere mortals, can transcend their personal opinions to be basically fair and objective in presenting the news.",readers should be the ones to judge.,"perhaps,",but
120,And my administration is in ongoing discussions with a number of other countries about the transfer of detainees to their soil for detention and rehabilitation.,there remains the question of detainees at guantanamo who cannot be prosecuted yet who pose a clear danger to the american people.,"now,","finally,"
121,Here the power of the law stops.,we have no coronation oath.,"thus,","again,"
122,"There certainly is something enticing about stretching an escape caper over 20-some episodes, with all the hoped-for suspense that entails.",there's so much setup in paul scheuring's script that even in the hands of director brett ratner the opening hour leaves more questions than answers.,"initially,","though,"
123,Tea party-aligned lawmakers who triggered the shutdown that began on Oct. 1 said they would vote against the legislation.,texas sen. ted cruz and others agreed not to use the senate's cumbersome 18th century rules to slow the bill's progress.,"significantly,","though,"
124,Lawrence's per capita income grew by 3.5 percent for the year.,the average metro area saw its per capita income grow by 4.3 percent.,"nationally,","however,"
125,"In such conversations, economically advanced countries such as Japan come in for particular criticism in this regard for prosperity is judged to leave little excuse for outmoded sexist attitudes.",those criticisms are made with only superficial knowledge of the culture in question and without recognition of the multiple facets that comprise any society.,"frequently,","however,"
126,apple created an awesome product and intel started shopping the chip around to different pc manufacturers to cut apple's throat after apple proved that it was worth something.,"i bet steve doesn't like having to upgrade the lappies so fast, an a schedule dictated by intel, every time a processor has an upgrade.","maybe,",but
127,The subdomain mode is only entered by points following the first point.,"the program is not in its subdomain mode and it proceeds to determine if the current point, point 1, defines the beginning of a subdomain (178).","initially,",therefore
128,"The higher you scored in any category, the more your tastes were like mine in that category.","the categories theselves can be ranked in importance: eyes, mout...read more","also,","ultimately,"
129,Might there be problems attracting non-fans who think Star Trek is only Kirk and Spock?,the same thing was said about tng when it was released.,"perhaps,",but
130,"And from there, many of the other Facebook departments can do a better good job at integrating longitudinal data into their business processes.",facebook's feedback panel is a good first step in reversing possibly damaging user fatigue.,"overall,","however,"
131,"Google is your friend, there is a lot of information about the models if your interested.",ask yourselves why they even chose to run the simulations across others' computers rather than keep the models (and results) in a more controlled environment?,"maybe,",but
132,"Overall, bifidobacterial numbers were reduced in the elderly where two of four subjects had no detectable bifidobacteria, and one had low counts of Bif angulatum (log 10 7.5 g/faeces).",the remaining subject in this group had very high numbers of these organisms in faeces (bif angulatum 9.8; bif adolescentis 9.6; bif longum 9.2).,"in contrast,","however,"
133,"Having been pushed to gold early on, he fizzled out once he lost the belt and was reduced to mid-card hell since.",he has been in the spotlight a lot more.,"lately,","however,"
134,Quakers generally divided their inheritances equally.,"in my family, aging or widowed parents were taken along as the family migrated.","often,","though,"
135,"instead, they must investigate, and in campus proceedings do their best to balance the accused's due process rights with the civil right of the victim to a safe education.","the legal ramifications of such cases are spilling off campus, with schools caught in the middle.","lately,","though,"
136,"In his hazy immobilized state, the player sees an LCVP engulfed in flames with partially burning soldiers fleeing from it.","it's something that made this troper go ""holy shit"", a burning soldier walks calmly out of the ship and down the ramp, collapses to his knees, and falls down.","then,",and
137,barack obama's presidency has become a feast of failures whose proliferation protects their author from close scrutiny of any one of them.,we can revisit one of the first and see it as a harbinger of progressivism's downward stumble to healthcare.gov.,"now,","however,"
138,"Pets, of course, are always around.",a broad range of new medications can help with these allergies.,"happily,","though,"
139,Why doesn't Operation Odd or Even activate in this situation?,"most counter-intuitive: when a monster with the elemental ability wins combat under the effects of hand to hand, elemental still activates if the winner has the dominant element.","third,",and
140,"So, basically if your world consists of plastic frames, you're in a silly world.","if you're in a world of normal frames, then you twist and collapse under torque, pressure, and stress.","seriously,","though,"
141,"I had too much work-related writing to do--who has time to throw a few words up online for, you know, just fun?",i started hungering for something else.,"eventually,","however,"
142,"(d) I've built some of my own devices for my HA, is it possible to develop my own plugins for pluto to access these devices?",may not even involve much coding - especially if they have serial interfaces.,"absolutely,",and
143,I later also wrote the dialog for the character which was eventually brought to life by Nolan North.,i was responsible for all systems and interactions that take place in the moment-to-moment gameplay of the game.,"mostly,","though,"
144,Some were even forced to polish the floor of the barracks.,"on religious holidays and days when supplies were delivered to the camps, the camp committee could not fulfill the quota given by the thai military.","occasionally,",for instance
145,"""Let's just say I'm here for myself, in a personal capacity"" says Klimov, who is the vice chairman of the foreign affairs committee in Russia's parliament.","the purpose of his trip this week was also to figure out the regime's options in the conflict, and russia's.","perhaps,",but
146,No specific claim of error substantially affecting Berling's rights is made on appeal.,it was recognized that the district court took the necessary precautions to protect him from a 'transference of guilt' from the unlawful joining of several conspiracies under count one.,"presumably,",therefore
147,Could one insist upon the healing of someone who is on the verge of dying?,be careful of the potential consequences.,"absolutely,",but
148,"""Android continues to pad its smartphone lead over Apple's iPhone!""",this is a growing pie.,"absolutely,",but
149,"A liberal friend recently suggested that perhaps liberals were more likely to be ""introverted.""",i wouldn't rule out plain old timidity.,"maybe,",but
150,"Avanafil, like the others, are PDE5 inhibitors.",avanafil works faster than its competitors.,"supposedly,","however,"
151,"Conservatives (rightly) blame the economic mess on Democrat policies, and highlight the problems caused by other legislation, such as ObamaCare and the Porkulus.",notice that government tends to create more problems while supposedly solving others.,"altogether,","though,"
152,"If everything had gone according to plan, we'd be in Stage Twenty already.",this is mostly my fault for barely replying my entire last semester and not moving things along during the semester before that.,"obviously,",and
153,"David, a dentist and owner of DeForest Dentistry, admits he is a very pragmatic thinker.","his entire office staff will say the same thing,"" carla said. ""","absolutely,",and
154,Stephanie and Alana sat on the.,victoria and marcia took the third.,"second,",and
155,"The needs of gas-guzzling Western nations, however, are exactly the opposite.","a falling world oil price negates the goal stated by barack obama and john mccain to cut america's dependence on foreign oil, especially from the volatile middle east.","ironically,","though,"
156,"It is mostly open, so from my seats I could grab a few peaks of the cars at the other side of the track.",i saw the cars coming out the stowe corner and down a short straight to the vale corner.,"mostly,","though,"
157,"In another embodiment, the registration data relates to a new transaction card account for the consumer.","the consumer is ordering a contactless transaction card, the consumer is also requesting a new transaction card account with the payment server system.",in other words,at the same time
158,"How in any shape, way or form is that helpful, freedom, or even make sense is rather questionable.","is the aim of public education, let no one believe otherwise.","this,","however,"
159,"I am perfectly fine with that, as long as we are clear that this casuistry in no way is permitted to imply or create ambiguity about the previous two.","no one ever accuses [dissenting progressive catholics] of being dissenters, disloyal to the magisterium, peddling legalistic attempts to wiggle out of clear teaching, etc.","amazingly,","however,"
160,BUSTER: all I get is jello.,"alpha donut is rife with references, both glancing and direct, to other writers and artists:.","maybe,",but
161,"This is, probably, in chief part due to the broken nature of the land, affording diversified habitats, and to much of the coast being rocky.","i believe, it is that not many species have been brought from india.","hence,","also,"
162,The contract is worded in a way so that the non-Jew actually has the option of purchasing all the chametz.,the non-jew winds up making a small profit from the entire transaction by transferring back the chametz right after the holiday.,"inevitably,","however,"
163,The dominating Desdemona uses all these people in her campaign to make Edwin into the most miserable and horny cuckold of all time.,edwin finds that this new relationship with his beloved wife is oddly satisfying.,"gradually,","though,"
164,"Initial hints to this were quite promising, good hints of that tarriness came through.","the smoke descended into the taste of burnt toast or logs, quite unpleasant, smoke after smoke.","sadly,","though,"
165,"For organizations with little or no money available, it is often quite impossible to prepare such a submission without a developer.","a developer will approach the group with a property in place, with a development team, including an architect, and only the requirement for an part i^2.","typically,","then,"
166,Google him and you'll likely stumble upon selfies taken with Husker faithful.,you'll catch glimpses of him shouting out defensive sets.,"soon,","however,"
167,"They also had an orange one and a pearlized gold dragon, both holding blue d20s.",i had to go with this one: a black mica dragon with a red scarab d20.,"ultimately,","though,"
168,"Obviously, you could go on from there with another foul on the shot, etc.",3 points is the most you're going to come out of a single possession with.,"typically,","though,"
169,"i was yelled at quite a bit as a kid, so when i get frustrated with ds, the first thing i want to do is yell.",i realize that the yelling i want to do is a knee-jerk reaction.,"thankfully,","however,"
170,"If the risks are greater to females than males, it's hard to see how it's equality to shove women into those roles.",the corps will treat them special.,"perhaps,","though,"
171,Should Appalachian have won last Thursday?,they probably do 9 times out of 10.,"absolutely,",and
172,It contained a human being beyond a question.,"at last, was a friend; one, too, who was able, and she doubted not would be willing to aid her.","here,","then,"
173,"A good example is the treatment of hyperprolactinemia, which, if successful, reestablishes spontaneous ovulation in most cases.","no underlying problem for anovulation can be found, and in such cases, patient requires treatment to ""induce"" follicle growth and ovulation.","often,","however,"
174,To that long list can now be added the story of the holy retreat that led to an ugly death.,it has only raised more questions.,"mostly,","though,"
175,I don't want to read all these pages!,i certainly won't.,"probably,",but
176,A good rainmaker delivers value to the client that exceeds the client's expectations.,results in client loyalty and repeat business.,"this,","in turn,"
177,"And I suppose Charles Van Horn with our bondage, do we not have an out around the time of the bang.","by magic, in in quickly, leaving the third one or lefferts's?","immediately,",as if
178,"His parsnip- and prosciutto-stuffed quail over wild greens delighted and surprised judges, who were expecting something Mexican from the Mexican master.","it was the quiet, methodical and mind-blowingly creative lo who beat out bayless by half a star.","ultimately,","though,"
179,"I'd like to tell you I'm not the kind of gal who has ordered a fried Twinkie after a particularly rough gig, but I'd be lying.",why not celebrate the glorious resilience of hostess brands?,and,"anyway,"
180,Is he still one of the elite receivers?,he certainly has a ton of questions surrounding him.,"absolutely,",but
181,"denunciations of the movement almost exclusively reference one of the two possible meanings of more's titular neologism, never the good place, eu-topia, but always the unviable no place, ou-topia.",they hinge on the undesirable failings of the society overviewed in book two.,"or,",alternatively
182,"That was, after all, an important theme in the recent proposal for the Malaysian-Australian OPV.","medium means limited resources, which have to be spent carefully.","in the end,","though,"
183,Fuel dilution in Oil will serverly reduce its lubrication ability...increasing wear especially if extended oil change intervals are used.,we're talking about 10-11:1 afr in this case.,"absolutely,",but
184,Do you need a different guild?,you should realize where problems arise or else you'll have similar issues in other guilds.,"probably,",but
185,Enhanced material properties often result from improvement in the control over material microstructure.,"requires concise methods to describe ""shape"" - both qualitatively and quantitatively.","this,","in turn,"
186,"A guitarist, a bassist, and a drummer.",i never said otherwise.,"absolutely,",and
187,You're all very kind and supportive.,i feel an unsolicted yet 'keeping it clear' integrity need to reiterate i never claim to have this thing licked.,because of that,"though,"
188,"with camacho in charge, who knows?","it's all up to adu, who has handled all the hype and criticism aimed at him with notable aplomb.","ultimately,","though,"
189,"She notes that medieval priests were socially and educationally closer to their parishioners than educated Protestant clergymen, concluding that Protestantism was in some ways more clerical.",churches gain some advantage from pastors who have thoroughly studied the bible.,"surely,","though,"
190,"""They can look at this and say, it's basically safe to take the hormone for up to five years.""","doctors are recommending that women take hormones post-menopausally for many years, even for the rest of their lives.","increasingly,","though,"
191,"Anyway, despite my protests, it was removed from me, as well as similar items from other passengers (I got to see a lot of them while having this discussion).",i had no leg to stand on.,"essentially,","however,"
192,"With that background, anyone might come to the conclusion that Manions is a soapy delight full of twists and turns.",the series serves as an ultra-earnest historical drama with nary an outlandish character in sight.,"mostly,","however,"
193,"Farm Family - I struggled with including this one because in a lot of ways it feels like ""just another match 3 game"".",it's been a while since i've had this much fun with a match 3 game that wasn't actually a mash up with some other genre.,"truthfully,","though,"
194,I had never of Y.M.H.A.,hoped that it stood for 'young mens heathan association'.,"though,",and
