,sentence1,sentence2,dm1,dm2
35,"4 Hurmuzd, not having his father's ability, found the system irksome and consequently was inclined to favour the lower at the expense of the higher orders.",we have two stories of his even-handed justice.,accordingly,later on
36,"If sickness tortured your body, would you avoid the hospital or doctor because of embarrassment?","do not be led astray by certain people who wish to have read on them a ""blessing only"" without having previously confessed.",but,at the same time
37,NTS can take advantage of local packet radio bulletin boards for their ability in buttressing Local and Section NTS Nets and getting channels closer to traffic origination and destination points.,"the concern is that traffic might end up in a ""black hole.""","again,","however,"
38,Men have women and advertisers doing everything in their power to stimulate their libido from puberty on.,"even under these overwhelming brainwashing, manipulating conditions, men often seek to get away from women.","yet,","still,"
39,It seems like only yesterday he was 1 mo old suffering from both the consternation of painful gas and the humiliation of his parents dressing him as a pea pod.,"at the age of 1, our little guy is a walking, talking (at least he thinks he's talking), grinning, laughing, and personable young man.",but,"now,"
40,This is where Episode 1 of S6 begins; finding the Oceanic 6 as they land in L.A. and go about their lives as if nothing happened.,"the dimension jack and friends left, still exists where jacob has now been killed by nemesis.",simultaneously,"however,"
41,"It levels the playing field, price-wise.","that's important for less obvious reasons: the xbox one was already selling reasonably well at $500, if nowhere near ps4 numbers, and that's a relevant point.","obviously,",but
42,Many find this book long (I do...and yet I've read it twice).,the magus is gripping and hard to put down.,"overall,","though,"
43,"1983's Pocahontas Coalfield Centennial Celebration featured a lengthy television program on Coalwood, including a fascinating interview with retired foreman Homer Hickham, Sr.","mechanization, petroleum competition for the global energy market, and the exploitation of more easily mineable coal seams in faraway wyoming made coalwood increasingly less profitable.","eventually,","however,"
44,"In other words both animes are about charas fighting, without fighting.",both feel the need to fight when plan a doesn't work.,"eventually,","though,"
45,"his specific instruction that his letter be read ""in the ekklesia of the laodiceans"" suggests that paul can still use ekklesia in the sense of the tangible gathering.",the ekklesia is also a much larger and more permanent reality.,"yet,",at the same time
46,The carboxylate anion R-COO - is usually named with the suffix -ate.,the anion of acetic acid is called the acetate ion.,"thus,",for example
47,"As well he might be, because Polly's death was pretty gruesome.",you could make a valid argument that paul was more putting her out of her misery than straight-up executing her....,"still,","though,"
48,Hope Piketty has a good circular flow illustration in his tome.,when you get stephen j.,"meantime,","though,"
49,Their scheme is really his scheme.,his scheme trumps theirs.,"or,","rather,"
50,"To be more specific, he was standing right behind me when I took the picture.","things would change so rick would be in front, ben in the middle, and me in the back.","eventually,","though,"
51,Where's the invention?,cingular's patent application is much broader than a simple emoticon key.,"indeed,",and
52,"in fact, the video is titled ""cloudbusting,"" which sounds like a porno set aboard a virgin atlantic flight.","like, why the motorcycles?",but,"then,"
53,He has had 43 months in his term so far where the jobless rate is above 8%.,all of the time between 1948 and 2009 when obama took office in cumulative months and which the unemployment rate was above.,"now,",and
54,"Likewise, any Cuban who owns a cellphone can't use it without paying the astronomical rates demanded by the government cellphone monopoly.",raúl has encouraged the first stirrings of debate in the government-controlled media (which are the only media)--something fidel never would have allowed.,but,at the same time
55,"I said I did, and she went on about whatever she'd been doing.",things came to an even keel with them.,"eventually,","though,"
56,"In this key arrangement, the side down key 104b and the side left key 203b may be a key with two contact points in which key tops are integrated.",the side up key 104a and the side right key 203a may be a key with two contact points in which the key tops are integrated.,"further,","similarly,"
57,"when his recruits reached mittau, saxe had announced the confirmation of his election -formally to the polish primate, secretly, with all confidential details, to his father.","the match with anne had miscarried, if it had ever been seriously intended.","meantime,","however,"
58,"Moreover, for example, the tension displaying unit may represent and display the tension as a virtual rubber cord or spring.","the tension displaying unit may display the tension, between the third base-point-content position and the first base-point-content position.",moreover,for example
59,Everything seems to be working fine.,"this is mandatory, take a tar of your system to this external storage using:.","second,",and
60,"Rokiskis residents generally express support for left wing parties (Social Democrats, Peasants Party, and to a lesser extent the Labor Party) in upcoming elections.",eligible voters display apathy towards politics and to their local candidates in particular.,"overall,","however,"
61,"indeed, memories of great battles here with manchester united and arsenal a decade or so ago remain vivid.",this was an afternoon that boasted more than atmosphere.,"ultimately,","though,"
62,With this power comes the corresponding responsibility to avoid the racial stereotypes and categorizations they decry.,attorney general eric holder's call for further discussion on race is not without merit.,"ultimately,","however,"
63,"We have not, it is true, any right or power to interfere in such matters with other countries.","it has been urged, that, under a free commercial system, we may not only manufacture too much of one, but of all commodities demanded by foreigners.","still,","however,"
64,[0301] Exemplary polymeric reagents of the invention will now be discussed in further detail.,a polymeric reagent of formula iic in which a single electron altering group (r e1) is present includes both enantiomers and mixtures thereof.,"thus,",for example
65,"I can't get him to stop smiling though, so he doesn't look too ferocious.",our strategy is working because you don't get thousands of points by playing one buddy buck at a time.,"clearly,","though,"
66,"one example is nobel peace prize laureate shirin ebadi, an iranian lawyer and former judge, who still focuses on human rights issues while residing outside iran.",the green movement did not push the women's movement from a social movement into a political movement.,"interestingly,","however,"
67,Ansible and Salt were substantially outperformed by both Chef and Puppet.,puppet dominated not only the two newer projects but chef as well.,"interestingly,","however,"
68,"I said ""yes! """,i still nag him all the time that he never actually proposed!,"anyway,",but
69,The ARB's scoping plan confirms this rosy view.,several highly credible authorities have emerged to shred these claims.,"now,","however,"
70,"Decisions were difficult to make, and we encourage everyone to come out again in the fall.","there weren't enough good news already, voices would like to welcome back our two old (er) members zach denkensohn and mike glista.","also,",as if
71,"If really pushed on the matter, blame mysterious, nameless ""others"" for keeping the documents secret.",insist that acta won't change any laws.,"then,","finally,"
72,"The square gradient is unfortunate because it's completely gratuitous, like an asterisk at the end of a word, except there is no footnote.",there is no there there.,"or,",in other words
73,"You absolutely can and will, if you're willing to put in the time and effort.","if you want to be able to afford riding your own personal panther one day, you'll need to find a more profitable route to 1 million gold.","ultimately,","though,"
74,"There is so much about this novel that I want to talk about, but a good majority of it will come off as spoiler-y if I get into it.","if i don't, there isn't much to say without coming off as rambly and disinteresting.","yet,",at the same time
75,We are going to have fun watching the bloodshed.,gentlemen....are you ready for this?,and,"then,"
76,"Of course, compressed natural gas is already the fuel of choice for many metropolitan area bus fleets.",shale gas extraction-and the hydraulic fracturing that goes with it-will have to be done right.,"ultimately,","however,"
77,"Completeness may be a goal, but like infinity it eludes mortal grasp.","an examination of any culture or any country might include reference to its history, its development, its achievements, and so on, but these would always be incomplete.","thus,",for example
78,"On the basis of his phonetic analysis, he concluded that glossolalia is language-like.",he could not concede that glossolalia is a language.,"ultimately,","however,"
79,Each month since that time.,higher prices don't always mean better profits.,"clearly,","though,"
80,"That said, I would not expect the result to change much, given that those pre-1998 patents made up less than 24% of the total.","as with any empirical study, this one comes has its limitations.","ultimately,","though,"
81,"Alternatively, the first power level may be about 200 W or less.",the first power level may be about 100 w or less.,alternatively,"yet,"
82,"They had given everything for the cause, but sometimes that is not quite enough.",we are judged on results.,"ultimately,","though,"
83,The 12 contestants in SurKshetra from both sides of the border have shown their talent for singing as well as love for their nations in the first 6 episodes.,they will have to step up and show their dedication as well.,but,"now,"
84,"The rain would go away, I told myself.","mother nature had heard my thought, it began to rain harder until it was pouring.","then,",as if
85,"I think it's more than worth it,.",i urge everyone to give it a try.,"though,",and
86,"No time was lost in traversing the thick country, but unfortunately the bush, being almost impenetratable, there was a great delay in conveying RENNIE to where he could have surgical aid.","the sufferer arrived at the alexandra hospital, nearly twelve hours after meeting with the accident, in a very low state from the loss of blood.","ultimately,","however,"
87,So the filter must be tuned to attenuate the ripple with the freq which match the switching frecquency at low-load when the amplifier plays low volume.,"each ta3020v4b can deliver more than twice the power of a single lme49810-500w amplifier, not to mention the increased efficiency, lower size and lower weight.","indeed,",and
88,"I believe I read someone said if it does thin, it usually happens later in tx versus beginning??",is everyone different on every side effect?,"or,","again,"
89,"Lots of her songs preach acceptance and the importance of being one's weird and wonderful self-her hit ""Born This Way"" is a self-love anthem.",she's doing more than just singing about self-acceptance.,"now,","though,"
90,"For example, a security code may be displayed on a display and a digit of this code may be associated to a particular reward.",a particular code may be representative of a particular reward.,alternatively,for example
91,"josh beckett can't get out of the second inning, but temporary big league call-up david pauley goes deep into the seventh.",they both end up with the same throbbing headache: a loss to the new york yankees.,"yet,","in the end,"
92,"Aria and Hanna's ex-boyfriend, Sean start dating but then Aria also starts seeing her English teacher Mr. Fitz again.",like always a messes up their lives.,but,"then,"
93,You can't continue to do that.,i criticized some of my republican friends.,consequently,and
94,She does a good job as the story moves along and then - BANG - she does an emotional scene with Alex and Laina which is incredible!,i'll give her a 4.,"overall,","though,"
95,"She meets with Reverend Ford to plan out his sermons, and he always declines to take sides against her, even when he disagrees with her.","the whole town, including reverend ford learns to stand up to her, and she makes a heelfaceturn.","eventually,","though,"
96,"Diversity is good, so we should approve of homosexuality.",why shouldn't we approve of bestiality as well?,but,"then,"
97,Colon is still good enough to make that rotation.,"do you former minaya defenders still think the swap of sizemore, phillips, lee for hernandez, leifer and biddle was just due to the strange situation in montreal?","so,","now,"
98,"Yet he described prudence as ""the first of all virtues.""","that quality transcended mere reticence or risk-aversion-what burke called a ""false reptile prudence.""","clearly,","then,"
99,I imagine the mood around the Imagi offices is a pretty gloomy one these days.,"for the time being, gatchaman is still, tentatively, ""on track"" to being released in theaters next year.","luckily,","though,"
100,He can't resist the bad boy!,"we get the physical description of our antihero we should normally have had at the outset, in a less backward-style novel:.","then,","finally,"
101,"The Wallace strategy generated some buzz and brought to the fore a number of impressive female activists, many of whom went on to be councillors, Senators or TDs.",the improvement in female participation was marginal and the targeted efforts to enhance it further were not sustained.,"overall,","however,"
102,Nothing appeared to make any sense and the world was like a crazy ball of discordant mess.,"on the last day of the year, i closed my eyes and began to breathe...in and out, in and out, my lungs filling my chest.",and,"so,"
103,Seems like the top might sag but maybe not if I'm careful about using catenary seams.,the stratospire seems like more surface area than the squall.,"overall,","though,"
104,"Thus, a judgment for a defendant as to an ADA claim will not necessarily lead to a similar judgment with respect to a FEHA claim.","a defendant who is not entitled to judgment with respect to an ada claim, is a fortiori not entitled to one with respect to a feha claim.",conversely,"however,"
105,"A year, maybe.","on aug. 25, 2011, he found himself hopping on a friend's twin-engine plane to make it to birmingham in time for surgery.",but,"instead,"
106,"even with a 15% threshold with this years rules, clinton lost a district in dc by getting less than 15%, and obama lost cd-5 in ky by an almost 10-1 margin.","it wouldn't have made much difference except in dc (clinton would not have received 3 delegates, and she also would have lost all 6 from hawai'i she received).","overall,","though,"
107,Part 3 seemed like filler to me.,i found change anything to be an insightful and practical guide to making personal changes stick.,"overall,","though,"
108,It just had to be done at the Embassy approved locations.,embassy personnel does have to be present.,"now,","however,"
109,The authors argue that digital cameras enable domestic photographers to take 'good' or professional-looking photographs and make certain capacities of professional cameras available for consumer use.,"they argue that the question of critical understanding of the politics of representation in domestic camera use remains, since technical proficiency is not necessarily always accompanied by analysis.",conversely,"however,"
110,"So, referring to a translation does not give one license to justify anything.","i don't mean to be offensive here, but whether you believe sisyphus is correct or not has no bearing on this matter.","finally,",and
111,We must not be hiring new employees with the same level of skills and motivation as those we used to attract.,failures in the human resources department account for our falling profits.,"clearly,","then,"
112,"So far, no one-daring or foolish-has tried.",such questions will have to be faced.,"eventually,","however,"
113,"As reported here last night, activists were prevented by city officials from handing out informational flyers at the town hall meeting held at the Zablocki Center, a city-owned property.","tables inside the center were staffed by campaign workers of mayor jack ford, who were passing out campaign literature.",simultaneously,"though,"
114,"In typical Ashado fashion, she cared more for her grass than to hang out with her number one fan.","she did come over, as kind and classy as ever.","eventually,","however,"
115,"and with all these extra people alive, we don't necessarily need so many breeders.",that still doesn't make homosexuality natural.,"obviously,",but
116,"Thanks to a tolerant national population, Bulgaria's Tsar Boris III was able to avoid enforcing anti-Semitic policies-at least for a while.",the political and military pressure from hitler became too great.,"eventually,","though,"
117,"significance is conventional, a social fact whose symbolic representation is the base-unit for communication within a culture or a language (saussure, 1916).","is personal and subjective, made from the ordering or organization of significant units or signifiers.","meaning,",on the other hand
118,So you prove nothing!,what about some totally unrelated news story i read that i'm only going to vaguely describe in an attempt to derail any discussion?,conversely,"however,"
119,Fake it 'til you make it.,we can rewrite the internal summaries that define us.,simultaneously,"however,"
120,It would be nice to have that changed.,"there used to be this ""thing"" when you viewed items, that when you held your mouse over the object a larger image of it would pop up.",and,"also,"
121,that cost real doe' should be 'that costs real dough'.,my teachers wouldn't have approved of slang.,"though,","again,"
122,excuse me truncating this fight but here we have the most obviously altered character in what appears to be john stewart in a different costume.,i'm thinking alternate worlds.,"again,","though,"
123,About the bus ride there.,"this is the worst for me, realizing that something really awesome.","or,",and
124,It's also easy to miss out on nutrients like folate (if you don't eat offal) and calcium (if you don't eat dairy or small bony fish).,"this is an important point, we evolved eating wild animals.","plus,",and
125,Knowing the exact volume is important to be able to put the observed change in the right context.,the volume of only very few glaciers was known reliably.,"previously,","however,"
126,"But, if life is not to be anarchy and the giving way to impulse that produces such anarchy---in many areas other than the sexual---each individual must find the necessary control mechanisms.",anarchy for one is not anarchy for another.,"again,","though,"
127,Supergirl does tend to go crazy sometimes.,the interesting thing here is that this short hardly reflects the current dc at all.,"overall,","though,"
128,"If the stove is hot, you learn not to touch it; in figure skating, the first thing they teach you is how to fall safely.","i don't really know anything about acl injuries, but most sports injuries come from overuse, or from doing something wrong-so you try not to do something wrong.","likewise,",and
129,"He quickly regretted leaving behind his parents, seven brothers and a sister as he tried to adjust to a new culture and lifestyle.",he grew thankful he had stayed.,"eventually,","however,"
130,"'s conviction, Respondent filed a timely notice of appeal on November 15, 2005.",he failed to timely docket the appeal.,"thereafter,","however,"
131,"Feel free to search, but I've seen it (and seen it pointed out to you several times).","i'm bolding this because it's important, solving large content distributors' business model problems is not the responsibility of the tech industry.","second,",and
132,"If you said security and you explained it right, I'd be interested in hearing more.",i want to see that you have the right character traits (below) and the right basic knowledge that you should have at your skill level and experience.,"basically,","though,"
133,"Weather exposure: If you have had psoriasis, try to protect your skin at all times from cold, dry weather conditions, and minimize outdoor exposure during cold weather.","in mild to moderate doses uv light improves psoriasis, do not overexpose your skin to sunlight or develop a sunburn.",conversely,"although,"
134,As thus revised this provision conforms with the first punishment provision of section 111 of this title.,the greater punishment provided by the second paragraph of section 111 was added to this section for offenses involving the use of dangerous weapons.,"so,","also,"
135,"The mechanisms we might look to often allowed you to make a choice, but the choice was for life--yours or, at least, your partner's.",i think we ought to look at how free people were to construct their own duties and the order of their personal lives.,"separately,","then,"
136,"And they filled this ball with clay, and set it out to dry.",one could not tell the difference between it and a shot.,afterward,"as a result,"
137,"He used it on Frodo, in an attempt to claim the Ring and punish its bearer by putting him in a state worse than death.",the blade failed to complete its task.,"fortunately,","though,"
138,Dareus on top of him!,i suppose kyle should have thrown dareus off him like a pesky housefly and stood tall in that pocket (ahem - what pocket?),but,"then,"
139,Delaware County's own Tina Fey joined Amy Poehler at the Screen Actor's Guild Awards to honor comedian Carol Burnett with a Lifetime Achievement Award.,leonardo dicaprio got caught in the crossfire of the night.,"ultimately,","though,"
140,"Generally, the reaction in (a) can be carried out in any appropriate way.",it can be carried out in a batch reactor or in at least one semi-continuously operated reactor or in at least one continuously operated reactor.,"thus,",for example
141,A spokeswoman for Amazon did not immediately reply to a request for comment.,amazon is also trying to remove barriers to using hosted cloud computing.,"separately,","however,"
142,"Alternatively, it can be a bit flaky; when I was backing up to a local hard drive, it would often quit with an indecipherable error.",these limitations are pretty easy to overcome.,"luckily,","however,"
143,"The artist was engaged by the publisher to make the sketch and having been compensated, to a large extent had no further interest in the process.",the cutter and then the printer.,"likewise,","in turn,"
144,"Throughout the 1950s, there were numerous trials of Ticani and other Sufi leaders for antistate activities.","some movements, notably the süleymancı and nurcular, cooperated with those politicians perceived as supportive of pro-islamic policies.",simultaneously,"however,"
145,"Or at least be gratified, in this nice review of The Particle at the End of the Universe by Adam Frank at NPR.",simply be amazed and astonished.,"or,",on the other hand
146,"But grammar can also be seen as empty form, which on its own produces mere chatter without substance--a female stereotype.","is configured either as substantial and significant (so: agentive and male) or as ""natural"", even earthy (so: passive and female).","meaning,","in contrast,"
147,"Most frequently appearing in maturity and happening on the face, acne rosacea more commonly affects women.",men commonly have more acute cases when they experience the condition.,"interestingly,","however,"
148,"I'm ashamed to say that, given the financial burden as well as the travelling involved just to spend a few hours with her, I actually entertained the idea.","i concluded that leyna was, indeed, my daughter and i would never relinquish my fatherhood.","ultimately,","though,"
149,"Again, that's fine, too, but I think it would be fair/helpful for readers to know the background of the authors including, in this case, Eve's former employment by Mr. Cuccinelli.",i think it's a great addition to my mailbox.,"overall,","though,"
150,"""Detroit actually emailed my agent (Saturday) morning and called me on Monday and said they had five picks and if it worked out, it worked out.""",it was the raiders who won gallington's services.,"ultimately,","however,"
151,Adapted from 'Ascorbic Acid and Vitamin A Content of Edible Wild Plants of Ohio and Kentucky'.,we have to look at palatability.,but,"again,"
152,[6] almeda sought reconsideration of the city prosecutor's ruling.,"on march 27, 2001 the mtcc where the case was filed dismissed it on the ground that the crime fell within the jurisdiction of the regional trial court.","meantime,","however,"
153,"If you recall this infomercial from December 2008, you probably remember it for lame double entendres like ""You're gonna love my nuts.""",it's been a tough year for tv's pitchmen.,"overall,","though,"
154,"At the time Israeli officials and Jewish-Zionist leaders in the United States protested the Sunday Times revelations, and denied the charge.","israeli torture of prisoners was independently verified by amnesty international, and others.","later,","though,"
155,This functionality was previously only available to paying customers.,anyone who wants access to the full feature set will still need to cough up $30 a year.,"ultimately,","though,"
156,the situation was all the more eerie because the storm had brought down branches across the road and we wondered if we were being set up for an ambush.,"we did arrive in the relative safety of maiduguri, the state's capital, only to encounter another hurdle.","eventually,","however,"
157,On the following month the next verse (to other Gods of another month) was repeated in like manner.,they are slayers of the ugha and of one another also.,"although,","however,"
158,"5a and 5b, but in which additional electrodes are provided.",referring now to fig.,"specifically,",and
159,all of these surgeries experienced an increase of 38% or more in 2011.,"the plastic surgery business is down quite a bit compared its booming, pre-recession heyday.","overall,","though,"
160,"I don't care to respond to each indevidually, on monile, responding is slow.","to make myself redundant, i'm not asking for a masterpiece.","anyway,","again,"
161,"Again, it is way more complicated than I think you can grasp in this situation.","it was claimed that the ""rich"" were going trickle down to the poor.",additionally,"though,"
162,It also rendered violence a superficially successful strategy for British 'white' working people.,"the author argues that in displacing their violence from state and employers to the most vulnerable among them, rioters' 'success' proved hollow.","ultimately,","however,"
163,"Diaz's actual legal claim, by the way, is for wages that she claims she wasn't paid during her employment.",the damage to whitman is primarily the accusation that she knowingly employed an undocumented worker.,"obviously,","though,"
164,Vray has been used by archviz community for a decade (?),the creator is always very carefully listens to the users and gives a direct feedback (that's a very important and nice thing about vray).,"now,",and
165,"Once we are convinced of the doctrine of eternal election, we assume (or logically deduce) that God has only and eternally viewed us as objects of His love.","we conclude that the non-elect, being sovereignly excluded from grace, can never be the objects of any kind of divine favor.",conversely,therefore
166,"And that it can is largely down to two things: all the rest of the cast, and James McAvoy.",we're pretty disappointed with ourselves.,"so,","obviously,"
167,This is also the case for my personal Irssi session.,"irssi is running under screen remotely, and you connect to that session from any other computer via ssh.","so,",in other words
168,"In the past, the company's blog says, UPS package cars were ""built like tanks"" because they were kept in service for decades.",the company is changing its mindset.,"now,","though,"
169,"The next ""big"" Doomsday, is scheduled for the 2030s, when a asteroid should hit us (with a 0.00001% chance of actually doing so).",we'll most likely have the defense-systems to wipe out giant rocks plummeting towards the earth.,"luckily,",by then
170,"The session was tense, but Catterson was approved.","the screening committee voted to change its rules so that it could flunk candidates for deficiencies in any one of several categories, including temperament.",afterward,"however,"
171,"The correction factors can be predefined as fixed values, but can also be dependent on the lateral acceleration g y and/or the vertical acceleration g z.",the assignment can also be made by means of a corresponding analytical function.,alternatively,"however,"
172,"At last, tired out and discouraged, Leverett left us, and Wise and I pressed on toward Live Oak, the trail still hot.",the dogs began to show signs of fatigue.,"meantime,","however,"
173,"By recording medium of an image recording installation, the screen of an oscillograph tube is particularly to be understood.",significant information is lost which could contribute to a better image interpretation.,"thereby,","however,"
174,It would take years for him to trust you again and maybe he would never trust you.,"if you keep doing it, then he should find out.","now,",on the other hand
175,A six pack lined his stomach and upper waist.,he was lean.,"although,",at the same time
176,"That doesn't really sound like fun, does it?","these are the two choices, laid out before each and every one of us: the way of life, or the way of death.","ultimately,","then,"
177,"i put denver in second hand as a secondary character for fun, and now i'm 3/4 of the way through his story.","i'll be polishing up and shopping another novel by both marie and i, this one without an exact name yet.","next,","though,"
178,There are so many temps in this warehouse that the staffing agency has its own office here.,"i'm working for a gigantic, immensely profitable company.","indeed,",and
179,Is it somehow possible to migrate wiki pages (Wiki Library) to Enterprise Wiki Site with OOB capabilities?,to migrate the content of wiki pages (wiki library) to enterprise wiki ...,"or,",in other words
180,"""All's we're searching for is trying to win a hockey game,"" he said.","he did say the rangers were searching for something: ""we need another big play at a key time and we're just not getting them consistently enough.""","later,","though,"
181,"While en route, Weiss said a deputy called for a detective and emergency medical services.",the deputy called for the coroner.,"ultimately,","however,"
182,I am just more open to the possibility that the other 99.9999% will contain supernatural.,"what is more supernatural to you, a thing always existing or having a beginning?",and,furthermore
183,"A device to illustrate silver can be considered to have as much in common with the dollar as with gold, in a certain context.",i wouldn't want to start such a conversation right here and now of course.,"although,","clearly,"
184,"The TDP had another strong performance in the 1999 assembly elections, winning 180 seats; Naidu remained as chief minister.",the tdp's electoral fortunes declined as the party was confronted with several issues that affected its political prospects.,"thereafter,","however,"
185,It had to have taken place prior to Five by Five (not an issue at all in regards to the actual content of events).,one wouldn't watch it that way.,"though,","obviously,"
186,"as bloxham notes, ""given that travel to distant planets is likely to take decades, centuries or longer, this could make any mission to colonise other environments a non-starter.""",that a potential death mission to mars would have little chance of spawning a colony without better shielding technology.,"meaning,",for instance
187,I forgot to do this once and paid dearly the next day when i couldn't sit down without flinching.,"this hint is just because i am a big coward, i never looked at the needle.","finally,",and
188,"I completely dipped on Purple-crested Turaco, for example.","i was pretty happy with 195 species and also had a couple of difficult/rare sightings (yellow-streaked greenbul, marico flycatcher, gorgeous bush-shrike, orange-breasted bush-shrike) to make things more interesting.","overall,","however,"
189,"Although not wishing to be bound by theory, it is believed that such additions influence glass formation.","such oxide additions may decrease the melting temperature of the overall system (i.e., drive the system toward lower melting eutectic), and ease of glass-formation.","further,",for example
190,"""i don't want to say bad people, but people who influenced me to do bad things.""",he started to break from those influences and gain a new mindset.,"eventually,","though,"
191,He had thrown one to me the day before and I thought for sure that he'd recognize me and give this one to someone else.,"when it had rolled to the wall, i was the first one to ask him for it and he flipped it up without hesitating.","luckily,","though,"
192,"WHEREAS, it is fitting to include them in our prayers and thoughts as we contemplate another season of Thanksgiving;.","i, j. caleb boggs, governor of the state of delaware, do hereby set aside the period of november 21 to 25, 1954, as.","now,",therefore
193,"However, these advantages also come at a price.",the currency peg is a policy measure that can be used by any nation and will always remain a viable option.,"ultimately,","however,"
