id,sentence1,sentence2,dm1,dm2
4687,Could the Higgs have been discovered at Fermilab?,it would have required a lot more data.,"probably,",but
2841,"Some years ago, a colleague snapped: ""I don't force my views on Dawkins, why should he force his on me?""","i still went to chapel rather than the secular version, because it was no longer compulsory.","occasionally,","after that,"
5928,it thus precluded itself from any future support for an independent taiwan.,"the u.s. congress passed the taiwan relations act, authorizing continued social and economic ties with taiwan.","subsequently,","however,"
4748,"Pattinson is finding those all-important acting chops (even if he does overdo it a bit in a confrontational boardroom scene), and de Ravin exerts a gravitational pull that's impossible to ignore.",remember me features solid performances and a well-balanced treatment of its difficult subject matter.,"altogether,","however,"
3384,"Giro Bevel helmet, Smith goggles, and my trusty American flag bandana keeping my face warm.","i've been able to go without the coat, it hasn't been that cold as of late.","lately,","though,"
5087,"For example, an encoding scheme with a 4:1 ratio of bits to hertz would allow four bits of data to be transmitted on one hertz of bandwidth.",400 megabits/sec would be the maximum data rate over standard cat.,"theoretically,","then,"
1204,"It was sort of like the uncomfortable feeling I get--the vicarious embarrassment, really--when I watch Larry David rudely cavort through his life and relationships in ""Curb Your Enthusiasm"".",i began to relish the dishing because these ladies seem to enjoy it so much.,"soon,","however,"
3710,"I imagine my dad and I will take part in the quintessential suburban father/son bonding activity: car detailing, maybe a little test driving.",i'm looking forward to nobody being able to hear any music during the trip but me.,"mostly,","though,"
3902,"At first, each ate at the same pace.","mae prahn began to 'eat one, fling one to the side'.","soon,","however,"
776,"Democrats were salivating, much as Republicans did in the late 1980s and early 1990s when Democratic corruption cases accumulated.",the creature from the sleaze lagoon has been undergoing a bipartisan mutation.,"slowly,","though,"
1620,an occasional mary carillo piece would make me jump for joy as well.,"i'm not racist, hell, i love nfl football.","truthfully,",and
1699,"The recent discovery of a separate neurophysiological system for affectively laden touch in humans has further kindled scientific interest in the area [10, 11].",little is known about what motivates and sustains the human tendency to touch others in a pro-social manner.,"remarkably,","however,"
2585,"There is a really loud squeaker, which I thought was inaccurate for a giraffe, until my sister found youtube video of baby giraffes - they really are that loud!","it rarely goes off accidentally, so i can live with the noise, i just don't take it anywhere where we have to be quiet!","happily,","though,"
6219,I too find her despicable and also believe lying about her dead friend was the worst lie she has ever told...at least it has the worst impact on her own character.,i want to hear from her father.,"mostly,","though,"
66,"So, can we blame Bush for what is currently happening and what will surely happen in the next year?",we can do it with great relish and authority.,"absolutely,",and
5608,Sounds like a broken record?,"microsoft learned a lot after vista launched, and they'll be careful not to repeat a lot of the same mistakes twice.","probably,",but
6316,"As the liquid medium immiscible with the polyallylamine solution, any medium may be used so long as it is inert to the crosslinking agent.",the medium has a boiling point of 60° c. or above under ordinary pressure.,"preferably,","however,"
917,I've been instrumental in getting new Macs into the homes of many strangers and a few relatives.,i've begun to see a flaw in such guerilla tactics: what if we succeed and convince everyone to buy a mac?,"lately,","though,"
1054,"Not a known relation of the doctor, he nevertheless was also unusual, and he could probably have used some how-to information from that doctor.",things eventually sort of worked out.,"oddly,","however,"
2060,countries associate themselves in military operations to bring their separate military forces together into a more powerful combined force.,multinational operations serve a political purpose.,"increasingly,","however,"
5234,"Often when you enter a blank line by pressing Enter twice in insert mode, Vim removes the indent from the blank line and your cursor moves back to column 1.",you want to use the same indent as the preceding non-blank line.,"often,","though,"
2671,Should Cal have played better & won?,"unr has decent, motivated athletes and is very well coached.","probably,",but
5454,The interpretation of these signal inputs is a function of the individual computer game which is connected to CONTROL CIRCUIT BOARD 101 via wire 103 and plug 104.,"at least one such switch closure represents the firing of a gun, or other action event, occurring during play of a computer game.","normally,","however,"
1206,"I agree that we saw all we needed to see of Cutty or Randy, though I would have loved to see more of Prez, Namond, and Colvin.",i would have liked more episodes so the plots we did see could have had more breathing room.,"mostly,","though,"
1058,"The ultraviolet Hubble observations have revealed the hot, faint remnant of this exploding star, which was named T Scorpii in the 19th century.","the wfpc2 observations have revealed only two other nova-like close binary stars in m80, far fewer than expected theoretically based on the stellar collision rate.","curiously,","however,"
5578,Do I think that may plan is simplistic?,done so on purpose.,"absolutely,",and
3483,"We could incorporate the F3 in our product, of course, but not ""resell"" cameras!","i believe nikon was happy with the situation, since they were selling f3's and the first commercial digital camera was carrying their lens mount.","generally,","though,"
4025,"It surely is a picturesque walk, with sheer cliff faces plunging down into the valley and the odd herd of goats jogging around looking for the sparse clutches of grass.","it is similar to the rest of what we have seen in the middle east - rocks, stones, pebbles and no trace of water anywhere.","mostly,","though,"
3017,Would Derris despise him when all was said and done?,that wouldn't stop him from protecting his brother.,"maybe,",but
3258,You may want to try an affinity-purified primary instead.,affinity-type purifications won't eliminate the background problems with a polyclonal.,"sometimes,","however,"
2109,"But he was scarcely conscious of his own existence - he was only aware of the vast, beautiful, halcyon calm that encircled him shelteringly and soothed all care away.","this deep and delicious tranquillity began to yield to a sweeping rush of memory and comprehension,.","gradually,","however,"
6073,sometimes the condition is so serious it leaves no doubt.,"the changes are subtle, or happen over a longer period of time, making noticing a problem more difficult.","frequently,","however,"
1022,"""Probability Theory"" and ""Statistics"" are two different subjects, the first a part of mathematics and the second a different field entirely.",in a first course the two topics are treated together.,"usually,","however,"
3371,"I don't believe that's how it happened, and I particularly don't believe what it says about God.",people want to know which parts of the bible i do believe in.,"inevitably,","then,"
5324,"He was out there for 7 weeks, and for the first half of that, he produced at a level such that the Mets didn't miss Darryl that much.",he cooled off.,"inevitably,","though,"
3760,Is it eclectic and sometimes jarring to accepted sensibilities?,that's one of the reasons it worked so well for me.,"absolutely,",and
5204,"While Mitch Winehouse is out lamping Pete Doherty, Janis Winehouse has taken time to send Amy a letter, pleading and heartfelt, asking her to get some help.",she's sent it through the news of the world.,"oddly,","though,"
4311,"That nation, when it materialized, would be under a single, unified Arab national leadership.",success or failure at the regional level would have a corresponding effect on the movement toward that arab nation.,"theoretically,",therefore
1561,Will Rob find aspects of their culture jarring?,we'll have to tune in a few months to find out for sure.,"probably,",but
5800,"For years, the iPod Classic banked on a huge physical hard drive that allowed users to store massive amounts of content.",flash storage will change that.,"soon,","however,"
5153,So they may say they support a feature and go ahead.,it's a pretty weak reason for rejecting what appears to.,"maybe,",but
485,"Gary Hoffman's cello playing was slippery at first, but what threatened to be an alarming tendency to slide into notes was quickly sorted out.","mr. hoffman's reading, with mr. kalish's support, focused on the romantic steaminess of franck's melodies, without much attention paid to the work's playful, light-spirited undercurrents.","mostly,","though,"
3209,The rules established before the start of the game declared that any player who fought twice would be ejected.,the brass from both teams was satisfied with how their players reacted to the heightened intensity.,"unsurprisingly,","however,"
5949,is the beretta the better of the two?,"it may be that the taurus is ""close enough"" in certain things to make it a best buy for many.","probably,",but
2141,Is that wrong?,i think it's to be expected.,"maybe,",but
6060,"The processing unit 10 is, for example, a RISC processing unit which can in principle start to execute an instruction in each clock period.","the execution of a previous instruction may cause a ""stall"", so that the processing unit 10 cannot start the execution of an instruction in a given clock period.","incidentally,","however,"
804,Our firm intention is to have every advertised item in stock.,an advertised item may not be available for purchase due to unforseen difficulties.,"occasionally,","however,"
102,"Siya brings Diamond (whose hair I am such a fan of), who just moved to New York from Atlanta, by the studio so they can meet.",shade is thrown when nyemiah tells diamond she's never heard of her as part of crime mob.,"immediately,","though,"
2021,"Marcello Garcia gi set are incredibly detailed and informative but VERY clinical, I mean VERY much so.",fabiol gurgels have very little detail and he flys through all kinds of great material in record time.,"oddly,","in contrast,"
4423,Removal of at least about 50 percent of the water from the intermediate product may substantially extend the useful life of the zeolite catalyst in the aromatization stage.,at least about percent of the water is re moved.,"preferably,","however,"
5759,"Klopp may be the flavour of the month, but his team has been a distant dot in Bayern Munich's rear view mirror this season.",any replacement is going to pall in comparison with his predecessor.,"perhaps,","though,"
5954,Some activities once started can be continued independently.,activities are most successful when done together or when done side by side.,"often,","however,"
6409,Louise and Brett would like to thank her and all on the WVYC committee for the decision to rent the ten phones.,they say that we only needed nine since one of our team (moi!),"realistically,","however,"
5222,"In the depths of the oceans, man-made sonar is nothing new, but this is the first time that it has been as loud and as powerful.",it has been tested for its effects on the creatures of the sea that depend upon sound in the way that we depend on sight: the whales and dolphins?,"surely,","then,"
253,This follicle is now called the corpus luteum.,"the escape opening of the egg seals off and fluid accumulates inside the follicle, causing the corpus luteum to expand into a cyst.","sometimes,","however,"
5796,Defensive lineman Kai Ellis spend part of his rookie season in Calgary and part of last season in Winnipeg.,this will be his first-ever labour day game.,"curiously,","though,"
6345,"You know, I have been hesitent, even though my derm said it was ok for me, to go on Accutane for my mild to moderate acne.","i never put it together that the smaller the dosage, the lessened the side effects will be.","oddly,","though,"
6030,any advice for young models coming up in the industry?,it's simply: stay true to yourself.,"absolutely,",and
4774,"Finally, the Colorado Desert has a number of nice ranges ringing it from the north to the southeast.","the chocolate mountains, the largest range, is completely taken up by the chocolate mountains naval gunnery range.","unfortunately,","however,"
848,"One thing though, hard drives generally aren't repaired anyway so it doesn't matter which brand is more or less difficult to service.",that's their problem and it worked out for me.,"perhaps,",but
5847,"connecting generations, saturday 3 p.m., and legends of the game, monday 10:30 a.m., both at clark sports center.",there are two men who wound their ways through some dense personal and professional thickets to arrive at this clearing in upper new york state.,"mostly,","though,"
29,It's the most striking part of his look.,he is in decent shape for a guy his age.,"absolutely,",and
924,Criticism is of capital importance in the work of creation itself.,"the larger part of the labour of sifting, combining, constructing, expunging, correcting, and testing: this frightful toil is as much critical as creative.","probably,","indeed,"
4095,All good institutions had his favor and co-operation--to many of which he was a contributing member and official representative.,"we may rank him among the truly great men of our day; ""there is a prince and a great man fallen. ""","surely,","then,"
3588,Denzel Washington gained some acting fame on television with his role on St.,his movie career took off with his roles in cry freedom and glory (morgan freeman).,"elsewhere,",but
245,Too much fat?,"people can control how much they eat, too.","maybe,",but
5697,"Researchers endeavored to measure the levels of bifidobacteria in the stool of elderly subjects and found that, indeed, levels were reduced.",was the fact that one individual highly skewed the results.,"remarkably,","however,"
467,Do I have my suscpions?,it would be hypocritical to label someone when this site was built on the foundation of being unbiased.,"absolutely,",but
5338,Executives routinely depend on insurance as a key means to limit risk.,leading organizations are seeking-and failing to find-comprehensive cyber security insurance options.,"increasingly,","however,"
2059,"So not even the highest seraphim who in Isaiah's vision never cease saying ""Holy, Holy, Holy"" could grasp her holiness.",we ask if she had at least at times the beatific vision?,"naturally,","then,"
479,White hands heckoning him on and on- he must go on.,steadi ly he advanced.,"slowly,",but
5111,"""But I wonder who ever heard of such a thing before,"" said Miss Fortune, pausing with her cup of coffee half way to her lips.","it was carried to her mouth, drunk off, and set down with an air of determination.","presently,","however,"
3158,The simple quality selection described above provides settings that satisfy the needs of the vast majority of resampling tasks.,"it may be desirable to fine-tune the resampler's filter response; this can be achieved using override options, as detailed in the following table:.","occasionally,","however,"
1529,"Our results show that all SRBSDV China isolates have higher identities and lower variation, which indicates that SRBSDV might derive from a single origin.",little is known about the origin of srbsdv and if the virus originates from vietnam.,"presently,","however,"
670,"The vendors have a vested interest, most of the time, in getting through to the right person, so in my experience they are more likely to make the correction.",i just delete them unless it's so many that it's more annoying than trying to fix it.,"mostly,","though,"
