sentence1,sentence2,dm1,dm2
"However, if the amount of the amide is too high, the composition may be cloudy and irritating to the skin of the wearer.","the amount of the amide is too low, the hydrophobic antimicrobial agent may not dissolve and the composition may not be homogeneous.",moreover,if
"On February 9, 2012, the Board of Directors of the Company appointed Stephen Alfers as Chairman and Chief Executive Officer of the Company.","mr. alfers' appointment, barry honig resigned from his position as chairman of the company but remains a member of the board of directors.",simultaneously,with
It's still above the critical $100-a-barrel figure that may spell economic trouble.,me relief on oil should have been good news.,nonetheless,so
Boards are not supposed to run a corporation's day-to-day operations--that is the job of the full-time management--and they are not supposed to work full-time in their capacity as board members.,"the elected representatives of the shareholders, directors are charged with protecting their interests by setting the direction for the corporation and by watching over management.",nevertheless,as
Wizardry is a rare thing among dwarves.,a dwarf sets her mind to learning a craft or a trade she will endure and become the best at it she can be.,nonetheless,when
A thermoelectric generator creates an electrical voltage when there is a temperature difference on each side.,"a voltage is applied, it creates a temperature difference.",conversely,when
The positive trend in dividend payments is noteworthy since only some companies in the Retail (Grocery) industry pay a dividend.,"measured on a five year annualized basis, both dividend per share and earnings per share growth ranked in-line with the industry average relative to its peers.",additionally,when
The most chilling sound during my opinion will be the sound of animals fighting.,"this creatures reached the adult years, they began to have older quicker as compared to ordinary too as developed chronic degenerative disease symptoms.",nevertheless,even though
"Higher prices, in turn, provide economic incentives for existing coal generators to remain online.","demand declines, so does overall power generation, and the economic incentive to keep a generator operating decreases, resulting in more generator retirements.",conversely,when
You want the caffeine so that you purchase it.,"you prefer assured outcomes, most of your objective should be to completely shut your account the moment possible.",nevertheless,if
Then I was the visual arts 2D instructor for a number of years at another school.,"some ""umpteen"" years later having to do it all, i'm a bit rusty and nervous.",consequently,now
(4) flow-rate setting knob 56 is controlled to separate plasma (Complemental plasma preparation) at a flow rate of about 20 ml/min.,"start of plasma separation, total quantity indicator 58 is set to zero by total quantity reset switch 62.",simultaneously,with
You know by now that I am not one to beat an issue into the ground or try to bring pain to you.,metimes the word of god is painful and it does hurt.,however,so
"They had a great game, you feel good about yourselves.","there's a lot of work ahead, you don't want them to be complacent.",but,at the same time
Were not inflated and installed ahead of time to assist the kayaker to reboard after a possible capsizing or to increase the stability of the kayaks.,"the kayakers entered an area of rough seas, they had to keep paddling to keep their kayaks upright.",consequently,when
cholesterol is essential for the normal function of the body.,"its level in the blood rises beyond the normal range it causes health complications, including heart disease.",nonetheless,when
The horizontal plate portions 522 of the guide bodies 52 of the armrest member 5 are engaged respectively and slidably within the slide slots 42 of the connector 4.,illustrated in fig.,accordingly,as
OMB must make a decision concerning the affected collections of information between 30 and 60 days after publication of the release.,"to ensure that your comments achieve their fullest effect, you should submit comments to omb within 30 days of this release's publication.",consequently,in order
"Coming into the Vancouver games, the U.S. had never won an Olympic Nordic combined medal in 86 years of competition.",they've got two: first johnny spillane took silver in the individual normal hill/10km cross-country pursuit.,but,now
"For such taxpayers, the focus should be on the practical, not on the theoretical or grand economics.","i cannot stress this enough, do not add to the irs's woes by creating a whole new tax system for them to administer without repealing an old tax regime.",additionally,and
"The integrated bladder tube 180 and treads 182 can be made of the same material and are formed simultaneously, for example, by the blow-molding technique discussed above.","elimination of a separate outsole, a lighter shoe may be manufactured with less expense.",accordingly,by
Since it is harder than the Tool Steel (600BHN) it will wear the Tool Steel down in short order.,"the chromium carbides in the chrome carbide iron are very much harder (1200bhn) than the abrading particles, the wear resistance of the chrome carbide iron is much greater.",conversely,since
"Hence, a confluence of political and economic forces exacerbated by the Cold War ""grown hot"" in East Asia necessitated the winning of Japanese loyalty through economic recovery and concessions.",the cold war brought the united states and japan together in many ways it would divide these nations on other issues.,nonetheless,although
"However, it could be close.",the 9x5 set up there is ample coverage of the flat hammock.,conversely,with
They thought it best to merely sit and wait for 'normality' to return.,thern irish workers also decided that they were irrelevant.,consequently,nor
Then the peachy kicks in.,the more typical oolong flavor reminds you that you're drinking tea and not some heavenly nectar of the gods.,and,later
It is probably no coincidence that their public presence waned at a time when the decline of the evil empire was diminishing the communist threat.,"mcgirr (suburban warriors the origins of the new american right) suggests, conservatives softened their message as they entered the political mainstream.",moreover,as
"Obviously, if there is no sidewall encapsulation, then pressure relief is via the open sidewalls.","sidewalls are enclosed, pressure could inhibit plate deflection and reduce the signal strength, and if this effect were non-linear, it would also produce distortion.",however,if
"In a perfect world, the Escalade would launch with both the Gen V engine and GM's new eight-speed automatic.","the company still discussing where to prioritize the debut of the gearbox, it presently looks as though the next escalade will initially appear with the general's six-speed 6l80-e transmission.",but,with
"A few Emperors, and an occasional King, was in such a hurry as to crown himself.","you think about the public posing done by obama as he speaks, is that anything other than a self-coronation?",but,when
the customer in this case would end up paying service tax twice on the same amount as the agents are barred from availing the cenvat credit paid by the sub-contractor.,is more possible in the competitive world the service provider to the industry would absorb the same.,alternatively,as
Thomas was a hard sell in the summer coming off a bad year.,"he lights it up early this season, perhaps he's easier to move.",but,if
"Sorry for the late response, but I was out of town for quite a while,.",came christmas and new year's eve and everything....,and,then
The secluded location near the Maryland Peninsula border will keep many from playing here and it's certainly not a classic destination course.,"you're passing through or nearby (as i was) and like a high-quality woods disc golf challenge, this is the 'must play' place for you.",however,if
I would rather travel or do things outside than accumulate stuff.,most people i have accumulated too much stuff.,nevertheless,like
"The Pentium M, as a platform, is very memory bandwidth limited.","the processors themselves run so cool, there is scope for overclocking.",conversely,because
The angled portion 24 and the periphery of the frusto-conical distributing member 20 form together a path 25 for separation of granules.,"in addition, obstacles are arranged on the inside of the housing 22 e.g.",alternatively,or
Preferably all of the outlet members are expanded simultaneously.,"the outward expansion, the multiple outlets are expanded into a substantially circular radial cross-sectional shape along their axial extent.",simultaneously,with
"Most translocations are ""balanced,"" which means there is no gain or loss of genetic material.","me are ""unbalanced,"" which means there may be too much genetic material in some places and not enough in others.",but,so
"Data cache 150 may be utilized as a transactional memory or other memory to track tentative accesses during execution of a transaction, as discussed in more detail below.","tracking tentative accesses utilizing a s® system, software tables/data may be held in system memory 175 and cached in lower level cache 150.",furthermore,when
"In addition to Palestinians, the protest included members of international solidarity groups as well as a number of Israeli peace activists.","in keeping with the biblical story of the entry of jesus to jerusalem, the marchers waving palms and olive branches were led by a man riding a donkey.",additionally,and
We are focused on finding these cases and believe the courts will help us stop this outrageous practice.,"we pursue this in the courts and get regulators' attention, it could be good for everyone.",and,if
I really don't think rapists have any excuse.,"someone tells you to stop and you don't because you think you ""deserve"" sex, that's rape.",nonetheless,if
You may note that this chart is in stark contrast to the flatline chart showed by Gary North.,mething interesting happened towards the end of this multi hundred year long trend of demonetizing silver.,but,so
The expo generated an avid interest among specialists.,"the stom-laser, the exhibitions focused on metals and sheet metal processing were held.",simultaneously,with
"If you set your drag ""tight"", you'll find it difficult to strip line off the real when casting.","the drag is set too ""loose"", you'll strip line too easily and end up with bird's nests on the reel.",conversely,if
"Sure it came with an only regular football game and I had to replace the save battery, but I think it was a good deal.","i need to find games for the system, so can you all help me with that?",however,now
It is great you beat battle for Noah but still It is going into poetry small.,good.,but,still
"for example, if your is required to remain on your premises or is unable to use their time for their own purposes, the on call time is likely compensable.","you simply require your employee to provide contact information so they can be reached after hours, then on call time is likely not compensable.",conversely,if
"He's really powerful and while I feel like we're going about 60 miles an hour, he's not even trying.",again my suit bottom goes shooting down my legs which everyone standing on the side of the pool finds hilarious.,nonetheless,once
"For example, two-thirds (67 percent) of the CMO respondents do not view IT as a strategic partner, compared to 50 percent of CMOs surveyed in all industries.","nearly 80 percent (77 percent) of pharmaceutical cios see the need for greater alignment with cmos, just 44 percent of pharmaceutical cmos feel that way.",additionally,while
"With no equivalent to Python's bound methods, and method calls are determined syntactically.",signing an object's method to a local variable will cause this to be computed completely differently depending on whether the method is called directly or through the local variable.,consequently,as
I was able to fit two onto a large dinner plate.,"i was to do this recipe again, i'd use the smaller fist-sized pumpkins.",however,if
"You would think you are in the hills of Saratoga, but you're trying to convince a bank to let a short sale go through.","you can convince them to think they're in the hills of saratoga, you're offering less than $500,000.",and,even if
It would work if I needed it in a pinch I suppose.,i put the sibylla dress on over that.,and,then
It focuses rather on the person as subject and object of activity and thus deals fundamentally with practical and ethical questions.,"every ethical theory depends on its underlying suppositions about the person, a proper anthropology is essential.",nonetheless,since
She used to be one of the most anti-sewer people in our town.,"people took down the ""no sewer"" signs from their front yards and replaced them with ""move the sewer"" signs i took them at their word.",nevertheless,when
The bearing portions 826D and 826E are open at the tops thereof.,"the separation roller 820 is removed upwardly, then also the shaft 832 an be removed from the separation roller system bearing members 824.",accordingly,if
"In this respect, her baptism in 1939 cannot be regarded as a repudiation of her faith.",she loved her husband and his parents--who were religious--she was married in synagogue.,nevertheless,because
"Often the best value can be discovered hidden in properties that are the less appealing, but with issues that are easily overcome.","me of the biggest problems we have witnessed arise from properties that had lots of surface appeal masking a location issue, structural problem or other permanent condition.",conversely,so
A new pastor is voted on by the deacons/elders in most churches (except possibly Catholic or Episcopal churches).,"the deacons or elders decide that a pastor is not serving the needs of the congregation, it's the deacons/elders who make that decision and vote to replace the pastor.",conversely,when
The real focus of the Bible is the story of humans and their response to God.,"it was normal human beings and their religious systems that crucified christ, not those who were demon possessed.",moreover,in the end
I respect your motivation.,"you win the law suit, i still feel it was not the right thing to do.",nevertheless,even if
"therefore, the introduction of laptop computers was considered an important interim measure to enable program specialists to do their own word processing.","streamlined work processes may not have been enough to address caseload growth, it was recommended that fcrb consider alternative review methods, such as paper or expedited reviews.",additionally,since
"We had exhibition games where teams, they lost, but they were just happy it wasn't a 50-point game.","sometimes even back home, like, we can't be arrogant.",and,then
"If someone usually lives below 3,000 metres, they are at more than 3 times the risk of those who reside at higher altitudes.","someone lives at a high altitude, an increased risk can develop even after a brief stay at lower elevations.",however,if
"In order to follow up with the client during the sales process, the internal systems synchronize to ensure technical collaboration is very efficient for client support.","a technician is having difficulty on a call, they can ask for a managerial decision and assistance on the call.",additionally,when
"However, high operational and maintenance cost associated with humidification systems is hindering the growth of indoor humidifier market.","technology advancements, various energy efficient and safe products are expected to be introduced by humidifier manufacturers in near future.",conversely,with
"On the hardwood, there's the opportunity to play alongside the Big Three and have a 50-50 shot at an NBA title.","players aren't willing to sign for significantly less than market value, the heat won't be able to sign them.",nevertheless,if
"Road classification data indicating, e.g., a highway classification for the current road may trigger the determination of the car mode as the consistent mode.","in addition, the evaluation and/or the determination may further depend on traffic information data available for the current road or the current location.",alternatively,or
It was found that performing the actions remarkably improves recall and recognition of these actions.,"instructed to mentally visualize the action during the learning phase, subjects retain contextual information better than action-related information (see engelkamp, 1995).",conversely,if
Another explanation is that the market is inefficient and investors don't recognize the potential gains from including foreign equity in their portfolio.,me studies suggest that domestic investors are overly optimistic about the returns on domestic equities.,additionally,so
"Unfortunately, the records of the time give no indication about his studies.","he left the army before 1870, his regimental roll does not exist among those kept in the central state archive, where they date from 1871.",furthermore,since
"I might have caved if there were equal amounts of male characters to bond with, but there isn't, so meh.","reading the gameplay isn't much fun, i'm just gonna put the game outta my head.",and,now
When i get a good bottle im always happy that i live in the us and the bottles are 750mls.,i get a bad bottle i always wish i lived in europe and only had a 700ml bottle.,conversely,when
"With the recent movements towards people accepting it as a valid form of currency, I wouldn't be surprised if it gets....","again, bitcoin (btc) is finally being considered a legitimate form of currency, so hey.",but,then
The royalties that we paid to the landowners of our mines were less than 1% of our revenues in 2011 and 2.4% in 2012.,"we have satisfied our minimum purchase obligations, a large proportion of the costs we incur in our sand segment are only incurred when we produce saleable frac sand.",additionally,once
We have made every effort to display as accurately as possible the colors of our products that appear on our Site.,"the actual colors you see will depend on your monitor, we cannot guarantee that your monitor's display of any color will be accurate.",however,as
Larry made us keenly aware breakfast at the Loews Regency is about power brokers not pots of coffee.,"a little native chutzpah ourselves we squeezed out of him how he starts the day while rubbing shoulders with the mayors, celebrities and other dealmakers of this town.",nonetheless,with
"Susceptible host, a confluence of events unlikely to occur.",in california.,simultaneously,particularly
"[0186] In this and other dual mode circuits, mode switching may be provided, for example based on the power source or on the active signal lines.","additionally, dual commanding is possible.",alternatively,or
All you have to do is ask.,me fire brigades find it hard to make a request for mutual aid part of their strategic thinking.,but,so
it is to remind the memory wrapped in the abstract scenery of the retina.,it is for re-building the view.,simultaneously,then
(E) is a polynomial of E then (2).,"v (e) and w (e) are polynomials, then we may the following definition of the operation q (e) /v (e) performed on f (x): the equation.",moreover,if
"In addition, the unique battery cell design will allow the battery to be configured in small areas and conform to other specialized design requirements.","the development agreement, eeei is entering into an $800,000 stock purchase and warrant agreement with in-q-tel, announced earlier today.",simultaneously,with
"Furthermore, they impose additional work, training, and guidelines for pharmacists and retail staff.","inconvenient and burdensome the restrictions, a perseverant customer can still walk into a pharmacy and purchase the product of his or her choice over-the-counter.",nevertheless,however
"If it sounds too good, it probably is.","it sounds really bad, it usually isn't.",conversely,if
"if there is a bumper crop, those prices could fall even further; a situation he said is great for dairy and beef farmers, but unwanted for cash crop farmers like himself.","long as the weather is wetter than last year, he expects local farmers should have a good year ahead of them.",nevertheless,as
The October 22 news story is clearly the origin of the tale she told.,"the story had mutated noticeably in 22 years, many of johnson's 53 other versions also contain recognizable elements of the october 1970 incidents.",moreover,although
Transferring the substrate to the destination station; and.,"the transferring step, sensing a location of an alignment feature of the substrate and orienting the substrate on the end-effector to place the alignment feature in a desired orientation.",simultaneously,with
"Place methods in classes based on what they need If a method does not require instance data, it should not be a member of the class.","all the method requires is the instance data, it should be a member of the class.",conversely,if
"if you need extra tools just download them from our site, we have half and full page ads, hosted galleries (many to choose from!)",link the banner to the corresponding pimpboss paysite and then sit back and earn top dollars on all sales referred from your site!,and,finally
"[Jackson] used me as a scapegoat because he was dating two women,"" Bennett told the Windy City Times. ""","i knew what was going on, he told his family and friends that i wrote a letter [outing one of the girlfriends], which was not true.",however,because
"despite its appeal to my students, with each passing year the stack of articles i was assigning to supplement the understandably dated material was becoming larger than the book itself!","my research developed into understanding the evolution of dinosaur locomotion, i was beginning to question why i had never paid more attention to classical mechanics in my physics courses.",simultaneously,as
"By doing so, you are increasing the noise without increasing the signal (try it).","you ettr, you have to darken the photo later on, which does not introduce any noise.",conversely,if
So I tried to tell long term.,i told her to wear make-up in too much like every other day.,additionally,if
"The French government even launched a 2011 program, 1001libraires, that would allow independent bookstores to distribute e-books themselves, though this program eventually failed.","there are relatively few french titles in the amazon france kindle store-around 100,000, as compared with 800,000 paper books.",but,still
"Sure enough, Watson had no clue about the only palm at Augusta National.","he heard the deal tesori had with his wife, watson couldn't help himself.",and,when
"4 Hurmuzd, not having his father's ability, found the system irksome and consequently was inclined to favour the lower at the expense of the higher orders.",on we have two stories of his even-handed justice.,accordingly,later
They searched his car and found a timer from a clothes dryer.,that they arrested him for violating the patriot act.,and,with
"This concept is basic, but still important.","your opponent is damaged and you aren't, fight them near the edges.",conversely,if
"Johnston tells us that this week marks the last chance to stop the EEW becoming law and, because it requires unanimity, it could be blocked with just one dissenting vote.","the misgivings of the government, britain does not intend to use its veto.",but,despite
"If sickness tortured your body, would you avoid the hospital or doctor because of embarrassment?","do not be led astray by certain people who wish to have read on them a ""blessing only"" without having previously confessed.",but,at the same time
Clearly we are at a loss to determine accurately the number of square yards covered by Rome.,"we speak of ""the city"" we must have in mind what we in modern times might refer to as the ""metropolitan area.""",consequently,when
A seal is set upon the door of his cell and a guard placed to insure that he remains incarcerated.,the aid of jesus he affects a miraculous escape.,however,with
"If governments tend to respond to big shocks with too much stimulation of demand, we should see higher-than-usual inflation as a result.","governments tend to respond to big shocks with too little stimulation of demand, we should see lower-than-usual inflation as a result.",conversely,if
"When one of the first electrode 50305 and the second electrode 50306 is a light-transmitting electrode and the other thereof is a reflective electrode, a reflective panel is obtained.","both of the electrodes have light-transmitting properties and part of one of the electrodes has reflectivity, a transflective panel is obtained.",alternatively,when
"Accuweather provides your current conditions that includes the temp, Real Feel temp (what it feels like outside), wind direction/speed, humidity, visibility, UV index, pressure, and sunrise/sunset times.",there are any weather alerts a red exclamation mark will appear that will link to the details of the alert.,additionally,if
"If no such discrepancy exists, then decision block 1730 routes execution, via YES path 1736, to block 1750.","a discrepancy between the contents of these two locations then exists, decision block 1730 routes execution, via no path 1732, to block 1740.",alternatively,if
"It's like tatting hay, you know?","mehow, i think it locks up the nutrients or something, and they can't get back into the roots.",and,so
This restriction can be lifted by using a look-aside table.,"alternatively, the extension 130 can be restricted so that it cannot declare an overridable or an overrides method.",additionally,or
It seems like only yesterday he was 1 mo old suffering from both the consternation of painful gas and the humiliation of his parents dressing him as a pea pod.,"at the age of 1, our little guy is a walking, talking (at least he thinks he's talking), grinning, laughing, and personable young man.",but,now
Dr. George H. Leach died at the poor house in this county last Thursday night and was buried in a pauper's grave last Friday.,me of the physicians of cairo and other friends raised money and had the body taken up and removed to villa ridge cemetery where it was again interred last monday.,afterward,so
if the end of the video has not been reached block 26 branches to block 22 to detect the next play.,the end of the video has been reached then block 26 branches to the summary description 28.,alternatively,if
"The SLP daemon uses active and passive DA discovery to find DAs, or it uses SA discovery if no DAs are running.","the property is configured, uas use only the configured scopes and do not discard them.",alternatively,if
they are called pluripotent because they can differentiate into anything they want.,"peter pan, some of these embryonic stem cells don't want to be anything but what they are.",but,like
This is where Episode 1 of S6 begins; finding the Oceanic 6 as they land in L.A. and go about their lives as if nothing happened.,"the dimension jack and friends left, still exists where jacob has now been killed by nemesis.",simultaneously,however
"It's a very rough measure of course, and there are many others.","that measure, during the clinton years investment in america's leading business had grown more than three times over.",but,by
"When most think of tailgating food, the thought of a turkey burger does not pop up.","i started making a new cheeseburger recipe for the tailgating season, i could not get turkey out of my head!",nonetheless,when
In Second Life we tend to use open source products.,"me people use the professional products from adobe, photoshop being the best known.",but,so
And to celebrate - I'm giving away my favorite crafting tool!!,"you haven't tried the silhouette heat transfer material, it's a great way to try it out!",and,if
"Hence, a superior connection can be made with this invention.","of its simplicity, it is easier to assemble than the devices illustrated in the muska patent.",moreover,because
"But thus much I say unto you, magistrates: if ye will not maintain schools and universities, ye shall have a brutality.",a suit again to your highness.,therefore,now
It is interesting to see my admit at Duke though- I did absolutely NOTHING- not even a letter to strengthen my case.,was given an admit.,and,still
"patches have been applied to all impacted servers, a process which was completed and confirmed by 1pm ist on april 10th 2014.","a precaution, we've replaced our private key and ssl certificate since it's plausible that sms-magic certificates could have been exposed.",nevertheless,as
"Since the release of the Strategy, additional scientific discoveries have greatly enhanced our understanding of how to prevent and treat HIV.",federal action is appropriate in response to these new developments.,accordingly,further
If you didn't have nerves on the first tee something would be wrong with you.,"i played the first hole, i felt calm and felt i should be here.""",but,after
"However, relatively flat employment in hardware - like manufacturing overall - has been, and is the new up.","ftware companies are driving job growth in the sector, much of which is concentrated in multnomah county.",conversely,so
"Conscious capitalists know how to generate emotional, social, and financial value simultaneously for all stakeholders.","they do, they start crusades that have a unifying purpose.",and,when
Advanced SystemCare This was recommended by a visitor and it seems very powerful.,me may find it too aggressive and gizmo's freeware says some have reported errors after using.,but,so
"Since insiders work at the companies in question, they have more knowledge about the firms than outsiders.","they use their own money to purchase shares of their company's stock, it may indicate they are bullish about the firm's future and believe current share price is undervalued.",therefore,when
One may be interested in screening for polymeric biomaterials that promote or inhibit the adhesion of a given cell type.,"additionally, one may be interested in screening for polymeric biomaterials that enhance the proliferation of a given cell type.",alternatively,or
"As a super-young-un', I was all about paleontology and marine biology, though.","middle school, on, theater was it.",but,from
"Poké Balls are specifically constructed for Pokémon capture, transport and training.","it is not known how caught pokémon perceives their time inside their ball, the device is said to replicate a ""pokémon-friendly"" environment that is ""designed for comfort"".",furthermore,while
However I generally think that 24 Hour TV News has had every right to cover this live.,"the police march in london was so little covered today because of leveson, it has made me rethink.",nonetheless,when
"During move-in weekend, there is time for trips to Bed Bath & Beyond with your parents to buy most of these larger items.","you are driving up, feel free to bring these items from home.",alternatively,if
Maybe laminate materials will be the way to make battenless sails one day.,then i agree with g-42.,nevertheless,until
"he is instantly likable, his charisma knows no bounds, and he has a way of making you forget the details of his story.","again, there's no way the members of st. james don't know what they've signed up for.",but,then
"The circlet also has 4 charges, which are renewed each day at dawn.","a standard action, all 4 charges can be spent to apply a heal effect to a touched target, using the wearer's caster level +1.",additionally,as
"When the amount of the organic lubricant to be added is lower than 0.05, it does not contribute to the improvement of the slip property.","the amount of the organic lubricant exceeds 0.30 wt%, the film unpreferably shows degraded transparency and low adhesiveness of the film surface.",conversely,when
"First, it has a good formula with a lot of testosterone that should be able to boost your natural testosterone amounts.","what we've found, this formula shouldn't cause any negative side-effects to occur.",additionally,from
"Next, as the descriptive terms are presumed to be correct, no spell-checking is performed and the routine simply loops back to step 301 to get the next word.","the word does not exist in the short-hand code file in step 302, the routine performs a look-up in a cache containing the vocabulary in step 304.",alternatively,if
"During that entire period, he never ceased taking medicines and handing large sums of money to physicians.","had he not recovered, but his condition deteriorated.",nevertheless,not only
I can totally see your point of why this should be manditory.,you've seen how organs are harvested it isn't pretty and i can understand why the thoughts of it upset the families left behind.,however,if
A recently published study by Kraus et al 26 that included 36000 subjects reported a reduction in acute low back injury rate.,"of the nonrandomized, noncontrolled design of the trial, the findings may be explained by confounding factors, such as changes in exposure or workers' compensation laws.",however,because
"Upon detecting a message on the regional ring and destined for the node, the RBR routes it into the node.","detecting on the nodal ring a message destined for another node, the rbr routes that message onto the regional ring.",conversely,upon
"When the screen sits on the base, a traditional keyboard/trackpad setup would have the keyboard abutting the screen way too closely, and make typing difficult.","the screen is facing the opposite direction, having the touchpad up top allows for additional navigation if needed.",conversely,when
The prolific Los Angeles basin in California may be the most petroliferous province on Earth per volume of sedimentary fill.,"most exploration in the basin occurred prior to the advent of modern geochemical methods, genetic relationships among the various petroleum accumulations and their source rocks have remained speculative.",however,because
"For example, the three largest political action committees involved in the presidential campaign collected a combined $343 million.","one recycling industry leader, daniel dimicco, ceo of nucor steel, donated to any of these funds.",nonetheless,only
"if we do not consider a migration process, the total execution time is 3.0440 seconds.","we use our proposed algorithm, the total execution time is 2.8677 seconds.",conversely,if
"""Piezos"" as Littlefield refers to them, are materials that change shape when electricity is applied to them.","pressure is applied to piezos, they discharge electricity.",conversely,when
Her pandering fauxlksyness (remember I invented that word) somehow comes through even when she's reading sober lines about cuttlefish sex.,"it comes to discussing the oscars, sigourney weaver should probably just shut her whore mouth.",nonetheless,when
Congress needs to cut corn ethanol from the RFS entirely to protect the economy and the environment from this destructive and dirty fuel.,"the united opposition, the obama administration appears resolute in following its predecessor, the republican bush administration, in choosing to side with the big corn special interest groups.",but,despite
"For this purpose, an acting force can be detected, for example, directly by means of a force sensor or a force moment sensor, advantageously at a tool flange of the manipulator.","alternatively, it can be indirectly detected on the basis of deformations of the manipulator, for example curvatures of its elements.",additionally,or
Is meant to be useful to the commercial breeder and offers a wealth of information about large-scale apiary management and marketing.,me of the journal's articles-often prepared by usda agricultural engineers-are highly technical presentations of the latest research on disease control or modern colony maintenance.,accordingly,so
"unfortunately, contaminants are unavoidable during transport or use in dusty environments.","coherent light sources hold the promise of improved optical navigation for optical pointing devices, there is a need to improve the contaminant resistance of coherently illuminated pointing devices.",accordingly,while
"For example, according to Roseman, although relief is a positive emotion, it includes an evaluation that some important aspect of the event is aversive.","rrow, a negative emotion, includes an evaluation that some important aspect of the event is appetitive.",conversely,so
"at 17:02, the amount of space remaining in the quality property information storage area 221 becomes smaller than the threshold value.","17:02, the controller 21 of the communication control apparatus 2 operates in the second mode.",accordingly,after
The location of each Byumba hotel listed is shown on the detailed zoomable map.,umba hotel map is available where all hotels in byumba are marked.,moreover,by
"There's also a significant increase in the blood volume during pregnancy, which tends to distend veins, causing valve dysfunction which leads to blood pooling in the veins.","in pregnancy, the enlarged uterus can compress veins, causing higher vein pressure leading to dilated veins.",moreover,later
"In 2D, the Liouville field is the metric, and expanding the Liouville field around zero is equivalent to expanding the metric around Minkowski.","you cannot even trust the expansion around the minkowski metric even in 2d, how can you attach any significance to it in 4d?",conversely,if
I'd imagine on Wii-mote it'd work quite nicely though.,"me of the touch-line shouts could be replaced by letting you wildly gestigulate, bilic-style.",furthermore,so
"5-10, both the coupon information and the coupon identifier are embedded in the televised video signal representing the advertisement.",in the embodiment described above with respect to figs.,nevertheless,as
there are quite a lot of things that you can do to take good care of the car exteriors.,"it comes to maintaining the beauty of the interiors, the job is not always easy.",however,when
"The question seemed oddly-placed, granted.","they said they'd love a comeback story like that, there hopes weren't high.",but,while
hot & cold streaks - link together three or more hits in a game and you'll be in the zone with increases in batting attributes for contact and power.,"you're struggling, attributes are decreased and you'll be praying for a flare to get you back on track.",conversely,if
