File Number,Explicit Connective,Implicit Connective,Arg1 Complete,Arg2 Complete,Explicit Sense1,Implicit Sense1
wsj_0453,and,so,"""People see extra messages in advertising,","if a manufacturer is clearly trying to get something out of it . . . if it's too transparent . . . then consumers will see through that,"" warns John Philip Jones, chairman of the advertising department at the Newhouse School of Public Communications at Syracuse University.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1643,and,thus,Then I noticed the overhead light was swaying on its cord,realized what had happened.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2407,and,thus,"To the extent we lack manpower to staff menial jobs in hospitals, for example, we should raise pay, pursue labor-saving technology, or allow more legal immigration, rather than overpay high school graduates as short-term workers",cause resentment among permanent workers paid lesser amounts to do the same jobs.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0931,but,rather,"He says that the Chinese never asked him to convey their statements to President Bush,",that the White House spontaneously invited him to do so.,Comparison.Contrast,Expansion.Substitution.Arg2-as-subst
wsj_1272,and,as a result,This left the computer with a broader range of plausible replies --,"it immediately blundered by moving a queenside pawn, to the neglect of kingside development.",Expansion.Conjunction,Contingency.Cause.Result
wsj_2023,and,for that reason,"This year, a number of retail leveraged buyouts have failed, causing jitters among suppliers,",Mr. Merksamer apparently wanted assurances that he won't have delivery problems.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2372,but,then,One high-profile provision that was originally in the Senate bill,"was cut out because it lost money was the proposal by Chairman Lloyd Bentsen (D., Texas) of the Senate Finance Committee to expand the deduction for individual retirement accounts.",Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
wsj_0300,and,however,Mr. Nakamura cites the case of a customer who wants to build a giant tourism complex in Baja,has been trying for eight years to get around Mexican restrictions on foreign ownership of beachfront property.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_1778,and,thus,wondering if those huge windows would buckle,shower us with glass,Expansion.Conjunction,Contingency.Cause.Result
wsj_0416,and,then,"""Ten years ago, a physician would go to a town","take out a loan (to start a practice),"" says James Merritt, president of Merritt, Hawkins & Associates, an Irvine, Calif., physician recruiter that conducted the survey.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0609,and,then,"Senate Minority Leader Robert Dole (R., Kan.), for one, accepts this argument and earlier this year publicly urged Mr. Bush ""to use the line-item veto","allow the courts to decide whether or not it is constitutional.""",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2352,and,instead,"When you suggest otherwise, you leave the realm of reporting",enter the orbit of speculation.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_1730,and,at the same time,"As they conferred near East Berlin, a pro-democracy protest erupted in the Baltic city of Greifswald,",activists threatened further rallies against leader Krenz's expected hard-line policies.,Expansion.Conjunction,Temporal.Synchronous
wsj_0413,and,then,"Mr. Baker hears her out, pokes around a bit, asks a few questions",proposes some explanations.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0604,and,thus,"And that means 42-year-old Michael Carpenter, president and chief executive since January, will for the first time take complete control of Kidder",try to make good on some grandiose plans.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0485,and,therefore,"The appeals court held: ""When a distinctive voice of a professional singer is widely known","is deliberately imitated in order to sell a product, the sellers have appropriated what is not theirs.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_1120,and,then,"It gave the Japanese people a value system, based on the rationalization that given the country's lack of natural resources, they must work hard to create value through exports",buy food with the surplus.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0214,and,specifically,The league's promoters hope retirees and tourists will join die-hard fans like Mr. de Castro,pack the stands to see the seniors.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_1154,and,therefore,They have a life of their own,can be counted on to look good and perform whenever a cast isn't up to either.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0937,and,as a result,"We didn't stampede into it, we slithered and slipped down the long slope,",now we have as its quintessential symbol a former president huckstering for a foreign poohbah.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1291,and,then,It would extinguish all of Eagle's existing capital stock,issue new stock to York as sole holder.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2232,and,therefore,"But in another dramatic burst, the Dow tacked on 42 points in five minutes,",at 10:25 the index showed a gain of 5.74.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0400,and,then,"Tomorrow, the October purchasing managers report is due",on Thursday comes October chain-store sales.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1007,and,instead,Foreign-exchange dealers noted that the impact of the chairman's remarks was slight,warned that the currency remains sensitive to developments on Wall Street.,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_0666,and,thus,A company such as Federal Paper Board may be overly discounted,"looks ""tempting"" to him, he says, though he isn't yet recommending the shares.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1570,and,therefore,"Confronted with the evidence, Mr. Tharp pleaded guilty to one charge of filing a false return","was fined $5,000 and sentenced to 18 months in prison.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1302,and,thus,"Bigger rivals, such as Aetna and Allianz, backed by armies of statisticians using computers in hundreds of branches, operate more efficiently","often can offer lower rates, brokers say.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0520,and,as part of that,Nashua immediately responded by strengthening a poison-pill plan,"saying it will buy back up to one million of its shares, or 10.4% of the 9.6 million outstanding.",Expansion.Conjunction,Expansion.Instantiation.Arg2-as-instance
wsj_1332,and,so,"Interstate banking is scheduled to begin in California in 1991,","larger California banks, such as Wells Fargo & Co., have been paying fat premiums to buy smaller banks to control markets before any out-of-state banks enter the fray.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0121,and,so,"He adds that his shares in a company savings plan are invested in a mutual fund,","volatility, on a given day, may hurt the fund.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1331,and,in fact,"Criminal convictions under the federal Superfund law are rare,",the decision is the first jury verdict in such a case.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0961,without,but,"Mr. Greenspan said the inflation rate, currently about 4 1/2%, ""could be brought down to levels which are close to zero","putting the economy into a recession, but I do suspect that there might be some modest loss of economic output.""",Expansion.Manner.Arg2-as-manner,Comparison.Concession.Arg2-as-denier
wsj_0465,and,thus,"But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson was right,",set out to repeat the Cavenee experiment in cells from other cancers.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1952,and,hence,"Save the sequester,",let Washington scream.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0279,and,as a result,"Southern Co. 's Gulf Power Co. subsidiary pleaded guilty to two felony charges of conspiracy to make illegal political contributions and tax evasion,","paid $500,000 in fines.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0149,and,as a result,Takeover stock traders were puzzled by the Reliance filing,cautioned that it doesn't mean Mr. Steinberg will definitely seek control.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1705,and,as a result,"Stan Richards of Richards Group Inc., Dallas, tells of the Texan who saw the agency's tear-jerking commercial for First Gibraltar Bank F.S.B. -- complete with the state's anthem --","promptly invested $100,000 in the thrift's CDs.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1766,and,thus,"Many plant floors currently resemble a Tower of Babel, with computers, robots and machine tools that generally speak their own language",have trouble talking to each other.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1227,and,thus,Asarco said it plans to shut down or sell its Rapatee coal mine,will end its involvement in southern Illinois strip mining.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1915,and,as a result,"ANACOMP INC., Indianapolis, NYSE, said its Xidex Corp. unit, a Sunnyvale maker of computer disks and microfilm with annual sales of $637 million, had only minor damage",is fully operational.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1852,but,then,"Charles Daggs, chairman and chief executive officer of Sutro & Co., said traders came to work at 5 a.m. PDT -- many on foot because of uncertain road and traffic conditions --",learned that they would have to await a required inspection by the city in order to turn the power back on at the company's two main facilities there.,Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
wsj_1986,and,as a result,"A handful of the New Crowd operators have crossed the line from the immoral to the illegal,",have ended up in the slammer or paying huge fines:,Expansion.Conjunction,Contingency.Cause.Result
wsj_1552,and,as a result,"""We expect near-term sluggishness in the electronics market,"" he said, ""","we will take ongoing cost-reduction actions as necessary to keep operations aligned with demand.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_0987,and,thereby,He argued that program-trading by roughly 15 big institutions is pushing around the markets,scaring individual investors.,Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
wsj_1640,and,then,They need only position themselves near a company's satellite dish,wait.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0020,and,then,"Saudi Arabia, for its part, has vowed to enact a copyright law compatible with international standards","to apply the law to computer software as well as to literary works, Mrs. Hills said.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1809,and,thus,IBM is five times the size of Digital -- and 40 times the size of Tandem --,wields enormous market power.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0351,and,then,"""We were oversold",today we bounced back.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0362,and,instead,What TV News Doesn't Report About Congress --,Should,Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_1057,and,then,"""This isn't outlandish bidding; this is a situation of very careful businessmen making judgments about the worth of product",acting on it. . . .,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0985,and,yet,"The Bank of England, on the other hand, had gold reserves that averaged about 30% of its outstanding currency,",Bank of England notes were accepted throughout the world.,Expansion.Conjunction,Comparison.Concession.Arg2-as-denier
wsj_0128,and,as a result,"""The recent disarray in the junk bond market suggests that brokers may become longer-term creditors than they anticipated","may face long delays"" in getting their money back, says Jeffrey Bowman, a vice president at S&P, which raised a warning flag for the industry in April when it downgraded CS First Boston.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0437,and,specifically,"The Colombian minister was said to have referred to a letter that he said President Bush sent to Colombian President Virgilio Barco,",in which President Bush said it was possible to overcome obstacles to a new agreement.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_2381,and,therefore,"""The last crash taught institutional investors that they have to be long-term holders,","that they can't react to short-term events, good or bad,"" said Stephen L. Nesbitt, senior vice president for the pension consultants Wilshire Associates in Santa Monica, Calif.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1162,and,thereby,To justify their exempt status,"avoid penalties, these businesses must show once a year that each and every transaction on which they didn't pay sales tax was a legitimate business expense.",Expansion.Conjunction,Expansion.Manner.Arg1-as-manner
wsj_1099,and,as a result,"What miffed many USX executives and shareholders was that the acquisition, for $3 billion of stock, doubled the USX shares outstanding",considerably diluted them.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2032,and,in particular,"Flanked by flight attendants, pilots and gate agents dressed in spiffy new blue uniforms, they said Eastern has exceeded its operational goals",is filling its seats.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0990,and,therefore,Japan plans to send the Chinese back home,"is negotiating with the Chinese government, a Justice Ministry official said.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1264,and,similarly,"Within the same nine months, News Corp. closed down In Fashion, a once-promising young woman's fashion magazine, Drake Publications Inc. has folded the long-troubled Venture magazine,","Lang Communications has announced Ms. magazine, after 17 years, will no longer carry advertising as of January.",Expansion.Conjunction,Comparison.Similarity
wsj_1187,and,thus,The trade and CBI reports refocused attention on high interest rates and corporate profitability,"helped rekindle underlying concerns over prospects for a recession in the U.K., dealers said.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0178,and,as a result,USX was cited by OSHA for several health and safety violations at two Pennsylvania plants,may face a record fine of $7.3 million.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1122,and,therefore,Ben earns any fees sent directly to charity,"is taxable on them, the IRS says; of course, he also may take a charitable deduction for them.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0758,and,then,"""The Giants got swamped in the second game, 100,",trailed 4-1 going into the bottom of the ninth of the third and deciding game.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2429,and,thus,"So the UAL deal has problems,",the market loses 190 points.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0946,and,then,"Few now recall the actual outcome: Scopes was convicted and fined $100,",his conviction was reversed on appeal because the fine was excessive under Tennessee law.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0259,then,and,"David Mullins, assistant secretary of the Treasury, said that the working capital is necessary to reduce the final costs of the bailout, by allowing the agency to sell savings and loans without their bad assets,",hold the assets until they can be sold under favorable conditions.,Temporal.Asynchronous.Precedence,Expansion.Conjunction
wsj_2027,and,instead,"Mr. Weisel, 49, resigned as president and chief executive","will work on special projects, said John J. Wallace, chairman.",Expansion.Conjunction,Expansion.Substitution.Arg2-as-subst
wsj_0989,and,then,"""If they get 50 packets of something, they open one, see what it says, throw 48 away","send two to people or departments they think are appropriate,"" a spokesman says.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0568,and,as a result,He said the move toward standard operating systems means customers aren't locked into buying from their traditional computer supplier,can force prices down.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0109,and,as a result,"For example, Campbell is a distant third in the U.K. frozen foods market, where it recently paid 24 times earnings for Freshbake Foods PLC",wound up with far more capacity than it could use.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1128,and,therefore,"It ripens later than most apples,",growing it in U.S. areas with chilly autumns may be tricky.,Expansion.Conjunction,Contingency.Cause+Belief.Result+Belief
wsj_1059,and,therefore,But the 3090 line is nearly five years old -- which is getting up there in mainframe years --,its growth is expected to slow in 1990.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0174,and,afterwards,"Gunmen in Lebanon assassinated a Saudi Arabian Embassy employee,",the pro-Iranian Islamic Jihad took responsibility for the slaying to avenge the beheading of 16 terrorists by Riyadh's government in September.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_0576,and,therefore,"The newspaper quoted KGB chairman Vladimir A. Kryuchkov as saying the definition of anti-Soviet crimes had narrowed, the laws had changed",people no longer have to fear a simple slip of the tongue.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1418,and,specifically,"A spokesman for the city wouldn't confirm the size of the bond issue, but did say that a general obligation offering is in the works","should be priced sometime in the next two weeks, before the November mayoral election.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0687,and,then,The next time expansion plans are mentioned at the old company,"somebody says, ""Aw heck, guys, nobody can do it like Japan or South Korea,"" I wish you would butt in and say, ""Hold it, fellas, why don't we compare prices and use our own little Third World country.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1162,and,thereby,"Mr. West cites the Federal Communications Commission and its standards for telecommunications equipment: ""They monitor product quality","prevent junk from flooding the market.""",Contingency.Purpose.Arg2-as-goal,Expansion.Manner.Arg1-as-manner
wsj_1696,and,in particular,"The odd mix of departments in the bill makes it one of the more eclectic of the annual appropriations measures,",the assorted provisions attached by lawmakers run from $1.5 million for a fish farm in Arkansas to a music festival in Moscow under the United States Information Agency.,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_1331,and,as a result,"After 93 hours of deliberation, the jurors in the second trial said they were hopelessly deadlocked,",another mistrial was declared on March 22.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1603,and,at the same time,Readers were electrified by the paper's audacity,appalled by the dark side of life it uncovered.,Expansion.Conjunction,Temporal.Synchronous
wsj_0629,and,thus,He said industry should build plants on the same scale as those outside India,benefit from economies of scale.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1174,but,then,"Consider Spendthrift Farm, a prominent Lexington horse farm that went public in 1983",hit hard times and filed for bankruptcy-court protection last year.,Comparison.Concession.Arg2-as-denier,Temporal.Asynchronous.Precedence
wsj_0210,and,so,"""I think it would be irresponsible","I am not about to be blackmailed by Japanese banks or any other international interests.""",Expansion.Conjunction,Contingency.Cause.Result
wsj_0537,and,so,"Neither plan is dead, however,",the judge could force creditors to accept some version of them after ruling on the Minpeco-Manufacturers Hanover dispute.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0914,and,as a result,"If approved at a shareholder meeting in December, the number of shares outstanding would decrease to five million from 50 million,",par value would rise to 10 cents from a penny.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2104,and,it is because,"In his statement, Mr. Wolf said, ""We continue to believe our approach is sound,","that it is far better for all employees than the alternative of having an outsider own the company with employees paying for it just the same.""",Expansion.Conjunction,Contingency.Cause.Reason
wsj_1778,and,at the same time,"I felt the temblor begin and glanced at the table next to mine, smiled that guilty smile","we both mouthed the words, ""Earth-quake!"" together.",Expansion.Conjunction,Temporal.Synchronous
wsj_2032,and,therefore,"At a later news conference here, Frank Lorenzo, chairman of Eastern's parent Texas Air Corp., said Eastern was exceeding its goals for getting back into operation","predicted it would emerge from Chapter 11 protection from creditors early next year, operating with more service than it originally had scheduled.",Expansion.Conjunction,Contingency.Cause.Result
wsj_2142,and,then,"When the market stabilized, he added, the firm sold the bonds",quickly paid the loans back.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1320,and,then,The New York market made its high for the day on the opening,"when it dropped below the $1.23-a-pound level, selling picked up as previous buyers bailed out of their positions and aggressive short sellers -- anticipating further declines -- moved in.",Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_2200,and,so,"But Congress didn't anticipate or intend more public debt, say opponents of the RTC's working-capital plan,","Rep. Charles Schumer (D., N.Y.) said the RTC Oversight Board has been remiss in not keeping Congress informed.",Expansion.Conjunction,Contingency.Cause.Result
wsj_1506,and,because,"One senior administration official called the guideline ""outrageous""",said it could make U.S. operatives reluctant to even listen to coup plans for fear they may get into legal trouble.,Expansion.Conjunction,Contingency.Cause.Reason
wsj_0149,and,as a result,"The filing adds a new twist to market speculation that Coniston Partners, a New York money manager, has bought more than 5% of UAL stock",may challenge the UAL board's decision last week to remain independent.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1820,and,thus,"But that deal fell through in September after it became clear that the sale would lead to a major real estate tax reassessment, raising property taxes,",making it difficult to lease the building at competitive prices.,Expansion.Conjunction,Contingency.Cause.Result
wsj_2144,and,then,"SOFT CONTACT LENSES WON federal blessing on March 18, 1971,",quickly became eye openers for their makers.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1883,and,as a result,"Commodore, West Chester, Pa., had said in August that it was consolidating manufacturing to cut costs",expected to be profitable in the fiscal first quarter.,Expansion.Conjunction,Contingency.Cause.Result
wsj_0996,and,then,President Bush should take the Constitution in one hand and a budget ax in the other,get to work.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
wsj_1257,and,in particular,Ramada Inc. revised the terms of its restructuring,"extended to Feb. 28, 1990, the deadline to complete the sale of its hotel business to New World Development Co. of Hong Kong and Prime Motor Inns Inc. of Fairfield, N.J.",Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail
wsj_0981,and,therefore,"MGM Grand said the latest stock offering won't cover the $600 million or more cost of building the proposed resort and theme park,","added it will need to seek additional financing, either through bank borrowings or debt and equity offerings, at a later date.",Expansion.Conjunction,Contingency.Cause.Result
wsj_0367,and,so,"Founded by bike enthusiasts rather than businessmen, Specialized spotted the appeal of fat-tired bikes that go almost anywhere",began mass-producing them in 1981.,Expansion.Conjunction,Contingency.Cause.Result
wsj_1050,and,now,Mesa President Larry Risley said his board had received Stateswest's most recent offer,was reviewing it.,Expansion.Conjunction,Temporal.Asynchronous.Precedence
